pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Possession in,furnishing,features,ratings,Overlooking,Property Age
"3 BHK Flat in Bairagarh Chichali, Bhopal",Unitech Unihomes 2,₹37 Lac,"₹2,587 /sqft",Ready To Move,"Situated in bairagarh chichali, bhopal, unitech unihomes 2 is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. Constructed on a built up area of 1430 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the top level of a 5 storey building. This is a ready to move project and the property is 1-5 years old.","Built Up area: 1430
(132.85 sq.m.)
Carpet area: 1300 sq.ft. (120.77 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 37 Lac
@ 2,587 per sq.ft.","Unitech Unihomes 2
Bairagarh Chichali, Bhopal",5th   of 5 Floors,,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Danish Kunj, Bhopal",Danish Kunj jain mandir,₹18 Lac,"₹2,250 /sqft",Ready To Move,"Best location near by hospital, market , school, atm and etc","Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 18 Lac
@ 2,250 per sq.ft. (Negotiable)","Danish Kunj jain mandir
Danish Kunj, Bhopal",3rd   of 4 Floors,,,[],"['Lift(s)', 'False Ceiling Lighting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"1 BHK Flat in Bairagarh Chichali, Bhopal","Gaurav Nagar, Bairagarh Chichli, Kolar Road",₹8 Lac,"₹2,272 /sqft",Ready To Move,Property in a well maintained and a good shape.,"Carpet area: 352
(32.7 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 8 Lac
@ 2,272 per sq.ft.","Gaurav Nagar, Bairagarh Chichli, Kolar Road
Bairagarh Chichali, Bhopal",3rd   of 3 Floors,,,[],"['Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"3 BHK Flat in Airport Road, Bhopal",Anmol Maple Tree Phase 2,₹39 Lac,"₹2,888 /sqft",Ready To Move,Mapple tree apartment new jail road,"Carpet area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 39 Lac
@ 2,888 per sq.ft. (All inclusive, Negotiable)","Anmol Maple Tree Phase 2
Airport Road, Bhopal",1st   of 1 Floors,,,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old    View Construction Status
"2 BHK Flat in Bawadia Kalan, Bhopal",Shaligram Rudraksh Park phase 2,₹35.5 Lac,"₹4,015 /sqft",Ready To Move,"2bhk flat for sale Best locality Near railway station, malls, market, schools","Built Up area: 884
(82.13 sq.m.)
Carpet area: 813 sq.ft. (75.53 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35.5 Lac
@ 4,015 per sq.ft.","Shaligram Rudraksh Park phase 2
Bawadia Kalan, Bhopal",6th   of 7 Floors,East,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"2 BHK Flat in Janki Nagar, Bhopal",Fortune Tulip Heights,₹14 Lac,"₹2,212 /sqft",Ready To Move,"Fortune tulip heights is one of bhopal's most sought after destination for apartments and this 2 bhk flat in janki nagar is your opportunity to be a part of this community. The flat is over 633 sq.Ft. Built up area and comes with 2 bedroom(s), 1 bathroom and 1 balcony. This flat lies on the 3rd level of a 5 storey building. This is a ready to move project and the property is 0-1 year old.","Built Up area: 633
(58.81 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 14 Lac
@ 2,212 per sq.ft.","Fortune Tulip Heights
Janki Nagar, Bhopal",3rd   of 5 Floors,,undefined,[],[],[],,
"4 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹70 Lac,"₹3,111 /sqft",Ready To Move,"We are the proud owners of this 4 bhk apartment available in nirupam royal palms, hoshangabad road, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 2250 sq.Ft. . It has 4 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 2150
(199.74 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies
View Floor Plan","₹ 70 Lac
@ 3,111 per sq.ft. (Negotiable)","Nirupam Royal Palms
Hoshangabad Road, Bhopal",3rd   of 6 Floors,,,"['1 Bed', '1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Sofa', '1 Geyser', '1 Microwave', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"3 BHK Flat in Katara Hills, Bhopal",Signature 360,₹31 Lac,"₹2,460 /sqft",Ready To Move,"Selling 3 bhk flat available in 1st floor of signature 360, colony, katara hills, bhopal. Society is covered campus and all amenities like club house, park, gym, mandir and basketball ground . If any one intrested please call or text me for more info.","Super Built up area 1260
(117.06 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)
Carpet area: 902 sq.ft. (83.8 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 31 Lac+ Govt Charges & Tax
@ 2,460 per sq.ft. (All inclusive, Negotiable)","Signature 360
Katara Hills, Bhopal",1st   of 6 Floors,West,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club,Main Road",1 to 5 Year Old
"1 BHK Flat in Kolar Road, Bhopal",Crystal H Singapore City,₹11 Lac,"₹1,718 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in crystal h singapore city, kolar road, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 640 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 640
(59.46 sq.m.)  
sq.ft.","1 Bedroom , 2 Bathrooms, 2 Balconies","₹ 11 Lac
@ 1,718 per sq.ft.","Crystal H Singapore City
Kolar Road, Bhopal",2nd   of 6 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"3 BHK Flat in Bagmugaliya, Bhopal",The Prospera,₹55 Lac,"₹4,074 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in the prospera, a popular residential project that houses in-Demand flats in bagmugaliya, bhopal. The flat is over 1350 sq.Ft. Carpet area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. The flat has a total of 6 floors and this property is situated on 5th floor. This is a ready to move project and the property is 5-10 years old.","Carpet area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 55 Lac
@ 4,074 per sq.ft. View Price Details","The Prospera
Bagmugaliya, Bhopal",5th   of 6 Floors,,undefined,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Vijay Nagar, Bhopal",Mangalam Apartment,₹23 Lac,"₹3,833 /sqft",Ready To Move,Prime location in vijay nagar lalghati main road back side near hallalpur bustend 7 km international airport 3 km sant hirdaram nagar ready to move flat Complete white wash 2 badroom 2 wash room with geyser modular kichan,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Pooja Room","₹ 23 Lac
@ 3,833 per sq.ft. (Negotiable)","Mangalam Apartment
Vijay Nagar, Bhopal",1st   of 3 Floors,,,"['3 Fan', '2 Geyser', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],,10+ Year Old
"3 BHK Flat in Govindpura, Bhopal",Govind Garden,₹30 Lac,"₹3,333 /sqft",Ready To Move,Reddy to move flat good parking space near by mato hospital park gym,"Carpet area: 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 30 Lac
@ 3,333 per sq.ft.","Govind Garden
Govindpura, Bhopal",Ground of 4 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"2 BHK Flat in Sankhedi, Bhopal",park serine apartment sunkhedi bhopal,₹20 Lac,"₹3,245 /sqft",Ready To Move,"This 2 bhk flat is located in park serine apartment sunkhedi bhopal, which houses some of the most spacious flats in navakaar park serine , bhopal. Constructed on a super built up area of 69 sq.M., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The residential building has 5 floors in total and the flat for sale is located on the top floor. Being a ready to move project, you can expect immediate possession of this 10+ years old property.","Super Built up area 68.68
Built Up area: 57.25 sq.m.  
sq.m.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 20 Lac+ Govt Charges & Tax
@ 34,934 per sq.m. (Negotiable)","park serine apartment sunkhedi bhopal
Sankhedi, Bhopal",5th   of 5 Floors,,,[],[],[],,10+ Year Old
"3 BHK Flat in Kotra Sultanabad, Bhopal",Vardhaman Enclave,₹33 Lac,"₹3,300 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in kotra sultanabad is available for sale in one of bhopal's most popular projects, vardhaman enclave. Containing 3 bedroom(s), 2 bathrooms , this flat is spread over a built up area of 1000 sq.Ft. The flat has a total of 1 floor and this property is situated on ground floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.","Built Up area: 1000
(92.9 sq.m.)
Carpet area: 840 sq.ft. (78.04 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 33 Lac
@ 3,300 per sq.ft.","Vardhaman Enclave
Kotra Sultanabad, Bhopal",Ground of 1 Floors,,undefined,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in panchwati, Bhopal",c-block,₹8 Lac,"₹1,066 /sqft",Ready To Move,"Check out this 2 bhk apartment for sale in c-Block, a popular residential project that houses in-Demand flats in panchwati , bhopal. The flat is facing the west direction. The flat is over 750 sq.Ft. Carpet area and comes with 2 bedroom(s), 1 bathroom and 2 balconies. This flat is situated on the 1st floor of this 2 floors tall residential building. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. This residential property is situated near close to hospital, close to school and close to railway station. Many of the modern amenities being offered, like visitor parking, will provide a pleasant living experience for you. The residential project is well equipped to meet all your water needs through access to municipal corporation supply.","Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 2 Balconies","₹ 8 Lac+ Govt Charges & Tax
@ 1,066 per sq.ft. (All inclusive, Negotiable)","c-block
panchwati, Bhopal",1st   of 2 Floors,West,,[],['Visitor Parking'],[],Others,10+ Year Old
"2 BHK Flat in Shirdipuram, Bhopal",Agrawal Sagar Premium Towers,₹36 Lac,"₹2,880 /sqft",Ready To Move,"Agrawal sagar premium towers is one of bhopal's most sought after destination for apartments and this 2 bhk flat in shirdipuram is your opportunity to be a part of this community. The flat is over 1250 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 5 floors and this property is situated on top floor. This 10+ years old property is available for immediate possession as the project is ready to move. The floor of this flat is beautifully designed using wood flooring, giving the flat an alluring look. This residential property is situated near close to hospital, close to school and close to market. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, lift(s), security personnel and water softening plant. The residents of this project enjoy a 24*7 access to clean water.","Super Built up area 1250
(116.13 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 36 Lac+ Govt Charges & Tax
@ 2,880 per sq.ft. (Negotiable)","Agrawal Sagar Premium Towers
Shirdipuram, Bhopal",5th   of 5 Floors,,,"['3 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",[],Park/Garden,10+ Year Old
"4 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Landmark,₹75 Lac,"₹3,797 /sqft",Ready To Move,"Spacious rooms , good ventilation and well maintained facilities","Super Built up area 1975
(183.48 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 75 Lac
@ 3,797 per sq.ft. (All inclusive, Negotiable)","Agrawal Sagar Landmark
Ayodhya Bypass , Bhopal",7th   of 12 Floors,North,,"['1 Wardrobe', '1 Fan', '1 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road",5 to 10 Year Old
"3 BHK Flat in Salaiya, Bhopal",Shiv Angan,₹55 Lac,"₹5,045 /sqft",Ready To Move,The flat is located in a good location and is ready for immediate sale.,"Carpet area: 1090
(101.26 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 55 Lac+ Govt Charges & Tax
@ 5,045 per sq.ft. (Negotiable)","Shiv Angan
Salaiya, Bhopal",3rd   of 6 Floors,North,,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,1 to 5 Year Old
"3 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹55 Lac,"₹3,089 /sqft",Ready To Move,"Flat for sale at agarwal sagar lake view homes, ayodhya bypass, bhopal","Super Built up area 1867
(173.45 sq.m.)
Carpet area: 1780 sq.ft. (165.37 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Pooja Room,Study Room","₹ 55 Lac
@ 3,089 per sq.ft. (Negotiable)","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",1st   of 6 Floors,,,"['6 Fan', '12 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road,Sea facing",0 to 1 Year Old
"3 BHK Flat in Katara Hills, Bhopal",Fast Track Heavens Life,₹26 Lac,"₹1,914 /sqft",Ready To Move,Luxurious 3 bedroom duplex penthouse available for sale on the 6th floor. (Stairs from inside the sixth floor to go to the 7th floor),"Super Built up area 1358
(126.16 sq.m.)
Built Up area: 1006 sq.ft. (93.46 sq.m.)
Carpet area: 827 sq.ft. (76.83 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 26 Lac+ Govt Charges & Tax
@ 1,914 per sq.ft. (Negotiable) View Price Details","Fast Track Heavens Life
Katara Hills, Bhopal",6th   of 7 Floors,North-East,,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,1 to 5 Year Old
"2 BHK Flat in Lalita Nagar, Bhopal",Shakun Samriddhi,₹30 Lac,"₹3,750 /sqft",Ready To Move,Residential apartment for sell.The property comes with a good construction quality which ages 1-5 years old propertylocated in lalita nagar.It is a unfurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 3000000.Located on 1st floor out of the 4 na,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 3,750 per sq.ft. (Negotiable)","Shakun Samriddhi
Lalita Nagar, Bhopal",1st   of 4 Floors,,,[],[],[],,1 to 5 Year Old
"2 BHK Flat in Kolar Road, Bhopal",Soumya Evergreen EWS,₹19 Lac,"₹3,275 /sqft",Ready To Move,"Located in the popular residential address of kolar road, bhopal, soumya evergreen ews is one of the most preferred destination for apartments in bhopal. This 2 bhk flat is your ticket to be a part of this community. Constructed on a built up area of 580 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . The flat has a total of 1 floor and this property is situated on ground floor. This is a ready to move project and the property is 0-1 year old.","Built Up area: 580
(53.88 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 19 Lac
@ 3,275 per sq.ft.","Soumya Evergreen EWS
Kolar Road, Bhopal",Ground of 1 Floors,,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Trilanga, Bhopal",Ashirwad Apartment,₹17 Lac,"₹2,720 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in ashirwad apartment, trilanga, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 625 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 625
(58.06 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Study Room","₹ 17 Lac
@ 2,720 per sq.ft.","Ashirwad Apartment
Trilanga, Bhopal",2nd   of 3 Floors,,,"['2 Fan', '1 Exhaust Fan', '3 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],,5 to 10 Year Old
"3 BHK Flat in Gulmohar Colony, Bhopal",Metro Gulmohar,₹40 Lac,"₹3,400 /sqft",Ready To Move,Gated society with a clubhouse,"Super Built up area 1175
(109.16 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Store Room
View Floor Plan","₹ 40 Lac+ Govt Charges & Tax
@ 3,400 per sq.ft. (Negotiable)","Metro Gulmohar
Gulmohar Colony, Bhopal",3rd   of 6 Floors,,,[],"['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"2 BHK Flat in Singarcholi, Bhopal",haidar manzil,₹25 Lac,"₹3,571 /sqft",Ready To Move,"Spacious 2bhk flat for sale in data colony, near airport road","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,571 per sq.ft.","haidar manzil
Singarcholi, Bhopal",3rd   of 3 Floors,,,"['1 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],,0 to 1 Year Old
"3 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹45 Lac,"₹2,990 /sqft",Ready To Move,"Property is located infront of saint francis school..Within campus state bank ,shops ,mandir and other facility is available.. At walking distance petrol pump, sage university and other schools are available","Super Built up area 1505
(139.82 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies with Pooja Room","₹ 45 Lac
@ 2,990 per sq.ft. (Negotiable)","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",6th   of 7 Floors,North,,"['1 Wardrobe', '1 Water Purifier', '7 Fan', '7 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road",5 to 10 Year Old
"3 BHK Flat in Katara Hills, Bhopal",Amaltas Ambreen Homes,₹30 Lac,"₹3,000 /sqft",Ready To Move,"Corner flat, east facing, 2 lifts, garden, splash pool, temple.","Super Built up area 1435
(133.32 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac
@ 3,000 per sq.ft. (Negotiable)","Amaltas Ambreen Homes
Katara Hills, Bhopal",4th   of 6 Floors,East,,"['4 Fan', '6 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road",5 to 10 Year Old
"3 BHK Flat in Kohefiza, Bhopal",Relaible Heritage,₹33 Lac,"₹4,125 /sqft",Ready To Move,"It is near sultania road, near to collectorate, gmc bhopal. It is a very safe locality and has a public park behind it","Carpet area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 1 Bathroom, 1 Balcony","₹ 33 Lac
@ 4,125 per sq.ft. (All inclusive, Negotiable) View Price Details","Relaible Heritage
Kohefiza, Bhopal",2nd   of 4 Floors,,,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,10+ Year Old
"3 BHK Flat in Idgah Hills, Bhopal",Kamal Krishnanchal,₹70 Lac,"₹5,833 /sqft",Ready To Move,"Located in the popular residential address of idgah hills, bhopal, kamal krishnanchal is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1600 sq.Ft. The property is located on the 1st floor of a 6 floors tall building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. Kamal krishnanchal is designed very well to provide modern facilities such as park and lift(s).","Super Built up area 1600
(148.64 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 70 Lac+ Govt Charges & Tax
@ 5,833 per sq.ft.","Kamal Krishnanchal
Idgah Hills, Bhopal",1st   of 6 Floors,,,"['1 Bed', '5 Wardrobe', '4 Fan', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"3 BHK Flat in Janki Nagar, Bhopal",IBD Hallmark Citii,₹18.3 Lac,"₹1,702 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in ibd hallmark citii, a popular residential project that houses in-Demand flats in janki nagar, bhopal. The flat is over 1075 sq.Ft. Built up area and comes with 3 bedroom(s), 2 bathrooms . The flat has a total of 2 floors and this property is situated on top floor. This 0-1 year old property is available for immediate possession as the project is ready to move.","Built Up area: 1075
(99.87 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 18.3 Lac
@ 1,702 per sq.ft.","IBD Hallmark Citii
Janki Nagar, Bhopal",2nd   of 2 Floors,,undefined,[],[],[],,
