pname,society,colony,property_type,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area,zone,location,latitude,longitude
"3 BHK Flat in Kohefiza, Bhopal",relaible heritage,shahjahanabad,Flat,33.0,4125,Ready To Move,"It is near sultania road, near to collectorate, gmc bhopal. It is a very safe locality and has a public park behind it","Carpet area: 800
(74.32 sq.m.)  
sq.ft.",2.0,,10+ Year Old,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park']",,3,1,1,Not Available,800.0,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Shahjahanabad, Bhopal",garcious taj residency,shahjahanabad,Flat,25.0,4385,Ready To Move,Newly constructed 2bhk flat with car parking in kidwai shahjanabad,"Carpet area: 570
(52.95 sq.m.)  
sq.ft.",2.0,,0 to 1 Year Old,,,,2,2,1, view floor plan,570.13,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"3 BHK Flat in Kohefiza, Bhopal",afroz appartment,shahjahanabad,Flat,46.0,4181,Ready To Move,"We are the proud owners of this 3 bhk apartment available in afroz avenue appartment , kohefiza, bhopal. This is located on 3rd floor and has a super built-Up area of 1100 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1100
(102.19 sq.m.)  
sq.ft.",3.0,,1 to 5 Year Old,,"['Security / Fire Alarm', 'Water Storage']",,3,2,0,Not Available,1100.22,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"5 Bedroom House for sale in Lakherapura, Bhopal",lakherapura,peer gate area,House,180.0,21176,Ready To Move,"I have a house/villa available for sale in lakherapura, bhopal. Available at price of rs 1.8 crores. It has plot area of 850 sq ft. It has 5 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 850
(78.97 sq.m.)  
sq.ft.",3.0,,5 to 10 Year Old,,,,5,3,1,Not Available,850.02,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"5 Bedroom House for sale in Jahangirabad, Bhopal",jahangirabad,aishbagh,House,35.0,7000,Ready To Move,"3 story house, well maintain, nice locality","Plot area 500
(46.45 sq.m.)  
sq.ft.",3.0,,10+ Year Old,,,,5,3,2, pooja room,500.0,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"3 Bedroom House for sale in Lakherapura, Bhopal",lakherapura,peer gate area,House,65.0,10833,Ready To Move,For residential and commercial use within the main market in the city centre.,"Plot area 600
(55.74 sq.m.)
Built Up area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.",3.0,,10+ Year Old,"['1 Wardrobe', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,3,3,Not Available,600.02,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Gurunanak Pura, Bhopal",bhagwan enclave phase 2,aishbagh,Flat,30.0,6000,Ready To Move,2 bhk house in good locality and centre point of bhopal where all things including medical and all groceries are available nearby,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.",3.0,East,10+ Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],Main Road,2,2,1,Not Available,500.0,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"3 Bedroom House for sale in Idgah Hills, Bhopal",neori mandir road,shahjahanabad,House,75.0,7281,Ready To Move,Next to mp alok sharma residence,"Plot area 1030
(95.69 sq.m.)
Built Up area: 1700 sq.ft. (157.94 sq.m.)  
sq.ft.",2.0,North-East,5 to 10 Year Old,,['Park'],,3,2,1, others,1030.08,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"7 Bedroom House for sale in Peer Gate Area, Bhopal",peer gate area,peer gate area,House,300.0,10714,Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 7 bhk house for sale in peer gate area, bhopal seems to be an ideal choice for a peaceful abode for a family. The house has over built up area of 2800 sq.Ft. And comes with 7 bedrooms, 7 bathrooms . As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. By paying just 3 crore, you can become the proud owner of this independent house.","Built Up area: 2800
(260.13 sq.m.)  
sq.ft.",1.0,,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,7,7,0,Not Available,2800.07,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"5 Bedroom House for sale in Idgah Hills, Bhopal",idgah hills,shahjahanabad,House,130.0,7428,Ready To Move,Independent house at great location..,"Plot area 1750
(162.58 sq.m.)  
sq.ft.",2.0,,10+ Year Old,,,,5,4,1,Not Available,1750.13,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"3 Bedroom House for sale in Ashoka Garden, Bhopal",ashoka garden,ashoka garden,House,120.0,6857,Ready To Move,Proper sunlight Close to market,"Plot area 1750
(162.58 sq.m.)  
sq.ft.",1.0,,10+ Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,3,0, others,1750.04,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Ashoka Garden, Bhopal",shree jee tower,ashoka garden,Flat,32.0,5714,Ready To Move,Ready to move..... Main road Railway station 2.5 km,"Carpet area: 560
(52.03 sq.m.)  
sq.ft.",3.0,,10+ Year Old,,,,2,2,1,Not Available,560.03,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"5 Bedroom House for sale in Ashoka Garden, Bhopal",vardhman green park,ashoka garden,House,100.0,10526,Ready To Move,"On the lookout for a spacious house in bhopal? Go for this 5 bhk house for sale in ashoka garden, a well-Connected locality within bhopal. Containing 5 bedrooms, 4 bathrooms and 3 balconies, this independent house is spread over a super built up area of 950 sq.Ft. This is a ready to move house, which is 10+ years old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 1 crore.","Plot area 950
(88.26 sq.m.)  
sq.ft.",3.0,,10+ Year Old,,,,5,4,3,Not Available,950.03,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"1 BHK Flat in Talaiya, Bhopal",ma apartment,peer gate area,Flat,60.0,10000,Ready To Move,"This 1 bhk apartment is available for sale in ma apartment, one of the most prominent projects for flats in talaiya, bhopal. The flat is over 600 sq.Ft. Super built up area and comes with 1 bedroom(s), 1 bathroom and 1 balcony. The residential building has 5 floors in total and the flat for sale is located on the ground floor. As the project is already ready to move, so you can easily move into this 5-10 years old property.","Super Built up area 600
(55.74 sq.m.)  
sq.ft.",0.0,,5 to 10 Year Old,,,,1,1,1,Not Available,600.0,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Shahjahanabad, Bhopal",aamir apprtment,shahjahanabad,Flat,25.0,4166,Ready To Move,2bhk flat sale karna hai new construction hai 4 wheel parking hai lift hai ready to move hai shahjahabad near by star shadi hall,"Super Built up area 600
(55.74 sq.m.)
Carpet area: 585 sq.ft. (54.35 sq.m.)  
sq.ft.",2.0,West,0 to 1 Year Old,,"['Lift(s)', 'Water Storage', 'Park']",Park/Garden,2,2,1, servant room,600.1,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"4 Bedroom House for sale in Ashoka Garden, Bhopal",vardhman green park,ashoka garden,House,65.0,6879,Ready To Move,"A newly constructed 4 bhk (West phasing) in centre location of bhopal. It is heart location of bhopal. From where every market distance is around 10-15 minutes like new market, City, Mp nagar, Indrapuri, Rly station (Just 1.5 km). It is very beautiful colony with 24 hours security. No water problem. Garden for playing kids & old age persons. Festival celebrations.","Plot area 945
(87.79 sq.m.)  
sq.ft.",,,0 to 1 Year Old,,,,4,3,0,Not Available,944.9,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Ashoka Garden, Bhopal",glorious tower samrat colony,ashoka garden,Flat,17.0,3238,Ready To Move,Hi i am the property owner this property is best property and freehold ready to move . This property is very beautiful and compeletly good environment.,"Built Up area: 525
(48.77 sq.m.)  
sq.ft.",2.0,,1 to 5 Year Old,,,,2,2,2,Not Available,525.02,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Ibrahimpura, Bhopal",city tower,peer gate area,Flat,25.0,3333,Ready To Move,"Flat for sale in the heart of bhopal! Spacious and well-Maintained flat with: Pop ceiling Modular kitchen Lift & 4-Wheeler parking All modern amenities Nearby local market, fish market & daily-Need shops everything just a short walk away!","Built Up area: 750
(69.68 sq.m.)  
sq.ft.",1.0,,5 to 10 Year Old,,,Main Road,2,2,1,Not Available,750.08,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"3 BHK Flat in Shahjahanabad, Bhopal",imperial heights,shahjahanabad,Flat,35.0,3888,Ready To Move,"Situated in shahjahanabad, bhopal, imperial heights is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. This property faces the east direction. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 900 sq.Ft. This flat lies on the 3rd level of a 4 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The beautifully designed vitrified flooring enhances the beauty of the flat. Another plus point for this is that it is situated near close to school, close to hospital, close to market and close to highway. The flat will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff and lift(s). The project provides access to clean water through municipal corporation and borewell/tank supply.","Carpet area: 900
(83.61 sq.m.)  
sq.ft.",3.0,East,1 to 5 Year Old,"['1 Wardrobe', '2 Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas']",Main Road,3,2,1,Not Available,900.21,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"5 Bedroom House for sale in Kohefiza, Bhopal",housing board colony,shahjahanabad,House,125.0,12500,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in housing board colony, bhopal. Available at price of rs 1.25 crores. It has plot area of 1000 sq ft. It has 5 bhk, 4 bathroom, 1 balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.",2.0,,1 to 5 Year Old,,,,5,4,1,Not Available,1000.0,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Kohefiza, Bhopal",goyal flats,shahjahanabad,Flat,27.0,3600,Ready To Move,"2bhk flat for sale in kohefiza, bhopal prime location","Super Built up area 750
(69.68 sq.m.)  
sq.ft.",2.0,,5 to 10 Year Old,,"['Water Storage', 'Visitor Parking']",Main Road,2,2,2,Not Available,750.0,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Chowki Talaiya, Bhopal",kaushal apartment,peer gate area,Flat,35.0,4861,Ready To Move,As property is available in posh area so everything is near,"Carpet area: 720
(66.89 sq.m.)  
sq.ft.",4.0,East,1 to 5 Year Old,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Geyser', '15 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Stove']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage']",Main Road,2,2,1,Not Available,720.02,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 BHK Flat in Ashoka Garden, Bhopal",deep apartment,ashoka garden,Flat,25.0,4310,Ready To Move,Ashoka hights apartment parihaar chourahe se 100 meter aage hai main road pe urgent sell karna hai,"Carpet area: 580
(53.88 sq.m.)  
sq.ft.",1.0,,5 to 10 Year Old,,,,2,2,1,Not Available,580.05,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"3 Bedroom House for sale in Ashoka Garden, Bhopal",ashoka garden,ashoka garden,House,65.0,8666,Ready To Move,"Saiz 15x50 Total = 750 sqft Naveen nagar , Near 80","Plot area 750
(69.68 sq.m.)  
sq.ft.",1.0,,1 to 5 Year Old,,,,3,2,1,Not Available,750.06,North Bhopal (Old City & Junction Area),North Bhopal (Old City & Junction Area),23.26,77.4024
"2 Bedroom House for sale in Bairagarh, Bhopal",bairagarh,bairagarh,House,65.0,3611,Ready To Move,"This 2 bhk house for sale in bairagarh, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. Constructed on a built up area of 1800 sq.Ft., this house comprises 2 bedrooms, 4 bathrooms . This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 65 lac, you can become the proud owner of this independent house.","Built Up area: 1800
(167.23 sq.m.)  
sq.ft.",3.0,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,4,0,Not Available,1800.06,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"3 Bedroom House for sale in Bairagarh, Bhopal",bairagarh,bairagarh,House,40.0,5925,Ready To Move,"On the lookout for a spacious house in bhopal? Go for this 3 bhk house for sale in bairagarh, a well-Connected locality within bhopal. Containing 3 bedrooms, 3 bathrooms , this independent house is spread over a built up area of 675 sq.Ft. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. This independent house is available at an attractive price of 40 lac.","Built Up area: 675
(62.71 sq.m.)  
sq.ft.",1.0,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,3,0,Not Available,675.11,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"1 BHK Flat in Gandhinagar, Bhopal",maharshi patanjali,gandhinagar,Flat,7.0,1272,Ready To Move,"2nd floor, spacious, near balcony opening to nature","Carpet area: 550
(51.1 sq.m.)  
sq.ft.",1.0,,5 to 10 Year Old,,,,1,1,1,Not Available,550.31,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"3 Bedroom House for sale in Gandhinagar, Bhopal",aerocity,gandhinagar,House,85.0,5666,Ready To Move,It's a 3bhk duplex build by bhopal development Authority and the house is at corner every room have Attached washroom and balcony 2 cars parking in house Area and normal size garden in front of living room in Front of house 12meter road and there was 24hr guard Service and safety only serious buyer can contact prices Are negotiable on table.,"Plot area 1500
(139.35 sq.m.)
Built Up area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.",1.0,South-West,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Water Storage', 'No open drainage around', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","Main Road,Park/Garden",3,4,2,Not Available,1500.18,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"7 Bedroom House for sale in Sanjeev Nagar, Bhopal",sanjeev nagar,gandhinagar,House,175.0,3696,Ready To Move,Best in class property available at sanjeev nagar location in bhopal,"Built Up area: 4600
(427.35 sq.m.)
Carpet area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.",1.0,West,1 to 5 Year Old,,,,7,6,3,Not Available,4734.85,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"8 Bedroom House for sale in Sanjeev Nagar, Bhopal",sanjeev nagar,gandhinagar,House,115.0,7666,Ready To Move,Great society ready to move in semi furnished house all amenities close to the house,"Plot area 1500
(139.35 sq.m.)  
sq.ft.",2.0,West,5 to 10 Year Old,"['3 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Waste Disposal']",Park/Garden,8,5,3, pooja room,1500.13,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"2 BHK Flat in Gandhinagar, Bhopal",kamal the bellaire,gandhinagar,Flat,30.0,3000,Ready To Move,"This 2bhk apartment offers 1000 sq ft of built-Up area, located on the 4th floor with a clear road view and plenty of natural light. With no flat directly in front, it ensures complete privacy. Situated in a peaceful and well-Connected neighborhood, close to schools, markets, and public transport. Suitable for families or as an investment.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.",4.0,,5 to 10 Year Old,,,,2,2,3,Not Available,1000.0,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"3 BHK Flat in Airport Road, Bhopal",harshit lifestyle,gandhinagar,Flat,40.0,4255,Ready To Move,"This 3 bhk flat is located in harshit lifestyle, which houses some of the most spacious flats in airport road, bhopal. The flat occupies a carpet area of 940 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The residential building has 6 floors in total and the flat for sale is located on the 1st floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Many of the modern amenities being offered, like fitness centre / gym, club house / community center, park, cctv surveillance and lift(s), will provide a pleasant living experience for you.","Carpet area: 940
(87.33 sq.m.)  
sq.ft.",1.0,,0 to 1 Year Old    View Construction Status,,"['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,3,2,1,Not Available,940.07,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"2 BHK Flat in Gandhinagar, Bhopal",maharishi patanjali parisar,gandhinagar,Flat,13.5,2250,Ready To Move,"Flat near by airport 2 km, rgpv 1 km, nursing college 500 meter, local bus stand 800 meter. Railway station 8 km. Main market 2 km. New earth quake resistant property ready to move. Payment recieved only by bank draft.","Built Up area: 600
(55.74 sq.m.)  
sq.ft.",4.0,East,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Park', 'Maintenance Staff', 'Visitor Parking', 'Water Storage', 'Security Personnel', 'Bank Attached Property', 'Waste Disposal', 'Rain Water Harvesting']","Park/Garden,Main Road",2,1,1, others,600.0,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"3 Bedroom House for sale in Bairagarh, Bhopal",bairagarh,bairagarh,House,42.0,3500,Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in bairagarh, bhopal and make it your new address. The house has over built up area of 1200 sq.Ft. And comes with 3 bedrooms, 2 bathrooms . Being a ready to move house, you can expect immediate possession of this 0-1 year old property. The nature of ownership of this independent house is freehold. By paying just 42 lac, you can become the proud owner of this independent house.","Built Up area: 1200
(111.48 sq.m.)  
sq.ft.",3.0,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,2,0,Not Available,1200.0,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"2 BHK Flat in Data Colony, Bhopal",appartment,lalgathi,Flat,26.0,3466,Ready To Move,Newly constructed property having specious & ventilated rooms. Unlock the door to your dream home.,"Carpet area: 750
(69.68 sq.m.)  
sq.ft.",2.0,,0 to 1 Year Old,,,,2,2,1,Not Available,750.14,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"2 BHK Flat in New Central Jail, Bhopal",satya prakash nice space,gandhinagar,Flat,35.0,2788,Ready To Move,Luxurious 2 bhk apartment with all the modern amenities,"Super Built up area 1255
(116.59 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.",3.0,West,1 to 5 Year Old,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Park/Garden,Club,Pool,Main Road",2,2,3,Not Available,1255.38,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"3 Bedroom House for sale in Tilak Society, Bhopal",tilak society,lalgathi,House,62.0,8539,Ready To Move,"Looking for buyer to purchase our house/villa available for sale in tilak society, bhopal. Available at price of rs 60 lacs. It has built up area of 1350 sqft. It has 3 bhk, 3 bathroom, 1 balcony.It is a freehold property peacefull environment airprot , railway station, hospital, restaurant, gym walking distance","Plot area 726
(67.45 sq.m.)
Built Up area: 1350 sq.ft. (125.42 sq.m.)
Carpet area: 726 sq.ft. (67.45 sq.m.)  
sq.ft.",2.0,,1 to 5 Year Old,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,3,1,Not Available,726.08,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"3 Bedroom House for sale in Airport Road, Bhopal",airport road,gandhinagar,House,370.0,13703,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in airport road, bhopal. Available at price of rs 3.7 crores. It has plot area of 2700 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a power of attorney property","Plot area 2700
(250.84 sq.m.)  
sq.ft.",1.0,,10+ Year Old,,,,3,2,1,Not Available,2700.14,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"4 Bedroom House for sale in Lalghati, Bhopal",globus greens,lalgathi,House,210.0,14000,Ready To Move,"We are proud owners of house/villa available for sale in nayapura, bhopal. Available at price of rs 2.1 crores. It has plot area of 1500 sq ft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 1500
(139.35 sq.m.)  
sq.ft.",2.0,,5 to 10 Year Old,,,,4,3,1,Not Available,1500.0,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"3 BHK Flat in Airport Road, Bhopal",satya prakash nice space,gandhinagar,Flat,45.0,2844,Ready To Move,"Property is situated opposite to podar world school. It is having garden area, swimming pool, club house, function separate areas","Super Built up area 1582
(146.97 sq.m.)
Built Up area: 1130 sq.ft. (104.98 sq.m.)  
sq.ft.",6.0,,1 to 5 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",Park/Garden,3,3,3,Not Available,1582.28,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"3 BHK Flat in New Central Jail, Bhopal",harshit lifestyle,gandhinagar,Flat,33.99,3468,Ready To Move,Luxurious 3 bhk apartment with all the modern amenities,"Built Up area: 1200
(111.48 sq.m.)
Carpet area: 980 sq.ft. (91.04 sq.m.)  
sq.ft.",5.0,East,0 to 1 Year Old    View Construction Status,,"['Lift(s)', 'No open drainage around', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Park/Garden,Club,Main Road",3,3,2,Not Available,980.1,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"1 Bedroom House for sale in Gandhinagar, Bhopal",maharishi patanjali parisar,gandhinagar,House,12.5,2777,Ready To Move,Al facilities available. Near to airport and railway station,"Plot area 450
(41.81 sq.m.)  
sq.ft.",1.0,,10+ Year Old,,,,1,1,0,Not Available,450.13,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
"4 Bedroom House for sale in Raja Bhoj Airport Area, Bhopal",raja bhoj airport area,gandhinagar,House,75.0,7614,Ready To Move,"This 4 bhk house for sale in raja bhoj airport area is an ideal abode for a family. Even better, it is situated in one of the prominent localities of bhopal. The house has over super built up area of 985 sq.Ft. And comes with 4 bedrooms, 4 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 75 lac. Many of the modern amenities being offered, like park, will provide a pleasant living experience for you. The house provides continuous water supply from municipal corporation and borewell/tank. This is a east-Facing property. The house comes well built with marble flooring options.","Plot area 985
(91.51 sq.m.)  
sq.ft.",2.0,East,1 to 5 Year Old,,['Park'],Park/Garden,4,4,2,Not Available,985.03,West Bhopal (Airport & Bairagarh Side),West Bhopal (Airport & Bairagarh Side),23.2773,77.364
