pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Overlooking,Possession in,furnishing,features,ratings,Facing,Property Age
"3 Bedroom House for sale in Kolar Road, Bhopal","Kolar Road, Bhopal",₹1.05 Cr,"₹84,000 /sqft",Ready To Move,Property description:,"Plot area 125
(11.61 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Others","₹ 1.05 Crore+ Govt Charges & Tax
@ 84,000 per sq.ft. (Negotiable) View Price Details","Kolar Road, Bhopal",2 Floors,"Others,Main Road",,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,0 to 1 Year Old
"3 Bedroom House for sale in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹1.6 Cr,"₹10,666 /sqft",Ready To Move,Good for residential use,"Plot area 1500
(139.35 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Study Room,Others","₹ 1.6 Crore
@ 10,666 per sq.ft. (Negotiable) View Price Details","Saket Nagar, Bhopal",1 Floors,"Park/Garden,Main Road,Others",,[],"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,10+ Year Old
"6 Bedroom House for sale in Bawadia Kalan, Bhopal",bawariya kalan,₹1.8 Cr,"₹12,000 /sqft",Ready To Move,Corner 6bhk luxury triplex for sale,"Plot area 1500
(139.35 sq.m.)
Built Up area: 3500 sq.ft. (325.16 sq.m.)  
sq.ft.","6 Bedrooms , 5 Bathrooms, 3 Balconies with Study Room,Others,Pooja Room,Servant Room","₹ 1.8 Crore
@ 12,000 per sq.ft. (Negotiable) View Price Details","bawariya kalan
Bawadia Kalan, Bhopal",3 Floors,"Main Road,Park/Garden,Others",,[],"['Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-West,1 to 5 Year Old
"6 Bedroom House for sale in E8 Arera Colony, Bhopal","E8 Arera Colony, Bhopal",₹2.65 Cr,"₹11,736 /sqft",Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 6 bhk house in e 8 arera colony, which is an ideal choice for a family. This house occupies a super built up area of 2258 sq.Ft. And contains 6 bedrooms, 6 bathrooms and 2 balconies. There are 2 covered & 2 open parking available with this house. Another added advantage of this 5-10 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. By paying just 2.65 crore, you can become the proud owner of this independent house. Many of the modern amenities being offered, like park, visitor parking and club house / community center, will provide a pleasant living experience for you. The house provides a continuous supply of water for its residents. This is a north-Facing property.","Plot area 2258
(209.78 sq.m.)  
sq.ft.","6 Bedrooms , 6 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Store Room","₹ 2.65 Crore
@ 11,736 per sq.ft. View Price Details","E8 Arera Colony, Bhopal",2 Floors,Park/Garden,,"['1 Water Purifier', '8 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '10 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', '3 AC', '2 TV', '5 Wardrobe', '5 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Visitor Parking', 'Club house / Community Center']",[],North,5 to 10 Year Old
"3 Bedroom House for sale in Karamveer Nagar, Bhopal","Karamveer Nagar, Bhopal",₹1.5 Cr,"₹10,000 /sqft",Ready To Move,"Karamveer nagar is one of bhopal's most sought after destination for residential houses and this 3 bhk house in karamveer nagar is your opportunity to be a part of this community. Constructed on a super built up area of 1500 sq.Ft., this house comprises 3 bedrooms, 2 bathrooms and 1 balcony. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.5 crore, you can become the proud owner of this independent house. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 1.5 Crore
@ 10,000 per sq.ft. (All inclusive) View Price Details","Karamveer Nagar, Bhopal",2 Floors,,,[],[],[],East,1 to 5 Year Old
"4 Bedroom House for sale in Chuna Bhatti, Bhopal",Agrawal Sagar Garden Homes,₹2 Cr,"₹15,151 /sqft",Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 4 bhk house in chuna bhatti, which is an ideal choice for a family. This house occupies a super built up area of 1320 sq.Ft. And contains 4 bedrooms, 2 bathrooms and 1 balcony. The houses comes with dedicated 4 open parking space(s) where you can easily park your vehicle(s). As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under freehold contract. This independent house is available at an attractive price of 2 crore. Many of the modern amenities being offered, like visitor parking, maintenance staff, park, security personnel and fitness centre / gym, will provide a pleasant living experience for you. The house provides a continuous supply of water for its residents. This is a east-Facing property. The house comes well built with marble flooring options.","Plot area 1320
(122.63 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 2 Crore
@ 15,151 per sq.ft. View Price Details","Agrawal Sagar Garden Homes
Chuna Bhatti, Bhopal",,"Park/Garden,Others",,"['4 Wardrobe', '4 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,1 to 5 Year Old
"4 Bedroom House for sale in Bawadia Kalan, Bhopal","Bawadia Kalan, Bhopal",₹1.75 Cr,"₹12,367 /sqft",Ready To Move,"Check out this 4 bhk house for sale in star homes bawadiya kalan, a popular residential locality that contains many of the in-Demand properties in bhopal. This house occupies a super built up area of 1415 sq.Ft. And contains 4 bedrooms, 3 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 2 covered and 1 open parking. This 5-10 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 1.75 crore. Many of the modern amenities being offered, like maintenance staff, visitor parking, park and club house / community center, will provide a pleasant living experience for you. The house provides continuous water supply from borewell/tank. This is a north-West-Facing property. The house comes well built with ceramic flooring options.","Plot area 1415
(131.46 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Store Room","₹ 1.75 Crore
@ 12,367 per sq.ft. (Negotiable) View Price Details","Bawadia Kalan, Bhopal",,"Park/Garden,Main Road",,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '10 Light', '1 Chimney', '1 Modular Kitchen', '4 AC', '1 Curtains', '2 TV', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Microwave']","['Private Garden / Terrace', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Spacious Interiors', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-West,5 to 10 Year Old
"4 Bedroom House for sale in Hinotiya Alam, Bhopal",Abhyudayam Janki Residency,₹80 Lac,"₹8,888 /sqft",Ready To Move,4 bhk duplex for sale plot size 900 s.F. Par close campus etc,"Plot area 900
(83.61 sq.m.)
Built Up area: 1450 sq.ft. (134.71 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 80 Lac
@ 8,888 per sq.ft. View Price Details","Abhyudayam Janki Residency
Hinotiya Alam, Bhopal",2 Floors,,,[],"['Maintenance Staff', 'Park', 'Visitor Parking']",[],East,0 to 1 Year Old    View Construction Status
"4 Bedroom House for sale in Panchvati Market, Bhopal","Panchvati Market, Bhopal",₹2.35 Cr,"₹15,666 /sqft",Ready To Move,"It is a prime location property on 80 feet wide road. It can be used for commercial purpose ,like showroom ,beautyparlor, superbazar,bank, nursing home, doctors or any other purpose , it is only 1 km from aiims bhopal","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 2.35 Crore
@ 15,666 per sq.ft. View Price Details","Panchvati Market, Bhopal",2 Floors,Main Road,,[],"['Water Storage', 'Visitor Parking']",[],East,10+ Year Old
"3 Bedroom House for sale in Bawadia Kalan, Bhopal",Fortune Landmark,₹95 Lac,"₹8,585 /sqft",Ready To Move,This proparty is very good locations in coverd compus duplax in bawadiya kala,"Plot area 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 95 Lac
@ 8,585 per sq.ft. View Price Details","Fortune Landmark
Bawadia Kalan, Bhopal",2 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,0 to 1 Year Old    View Construction Status
"5 Bedroom House for sale in Danish Kunj, Bhopal",kolar,₹3 Cr,"₹14,285 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 5 bhk house for sale in danish kunj kolar road, bhopal and make it your new address. This house occupies a super built up area of 2100 sq.Ft. And contains 5 bedrooms, 5 bathrooms and more than 3 balconies. There are 2 covered & 1 open parking available with this house. This is a ready to move house, which is 10 years old. The ownership right of this property is freehold. This independent house is available at an attractive price of 1.9 crore.","Plot area 2100
(195.1 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 3+ Balconies with Servant Room,Store Room","₹ 3 Crore
@ 14,285 per sq.ft. (Negotiable) View Price Details","kolar
Danish Kunj, Bhopal",2 Floors,,,"['2 Bed', '5 Wardrobe', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"4 Bedroom House for sale in Arera Colony, Bhopal",brokar,₹5.5 Cr,"₹15,714 /sqft",Ready To Move,Dismental house and very good locations,"Plot area 2400
(222.97 sq.m.)
Built Up area: 4000 sq.ft. (371.61 sq.m.)
Carpet area: 3500 sq.ft. (325.16 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 2 Balconies","₹ 5.5 Crore
@ 15,714 per sq.ft. View Price Details","brokar
Arera Colony, Bhopal",2 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,10+ Year Old
"4 Bedroom House for sale in Jatkhedi, Bhopal",Swadesh Red Square,₹1.2 Cr,"₹10,300 /sqft",Ready To Move,Best locality and unit.,"Plot area 1165
(108.23 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)
Carpet area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Study Room,Others","₹ 1.2 Crore
@ 10,300 per sq.ft. (Negotiable) View Price Details","Swadesh Red Square
Jatkhedi, Bhopal",2 Floors,"Park/Garden,Main Road,Others",,"['2 Bed', '3 Fan', '1 Sofa', '3 Light', '2 AC', '1 TV', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",[],East,1 to 5 Year Old
"2 Bedroom House for sale in Gautam Nagar, Bhopal","Gautam Nagar, Bhopal",₹2.2 Cr,"₹12,222 /sqft",Ready To Move,Gautam nagar is very close from mp nagar and isbt and railway station . So it will be very valuable property for investment or for residential purpose.,"Plot area 1800
(167.23 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 2.2 Crore
@ 12,222 per sq.ft. View Price Details","Gautam Nagar, Bhopal",2 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,10+ Year Old
"5 Bedroom House for sale in E 5 Arera colony, Bhopal","E 5 Arera colony, Bhopal",₹6 Cr,"₹25,000 /sqft",Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 5 bhk house for sale in e 5 arera colony, bhopal seems to be an ideal choice for a peaceful abode for a family. Containing 5 bedrooms, 4 bathrooms and 3 balconies, this independent house is spread over a super built up area of 2400 sq.Ft. There are 2 covered & 2 open parking available with this house. Another added advantage of this 10+ years old house is that it is available for immediate possession. The type of ownership of this property is freehold. This spacious house can be all yours at an attractive price of 6 crore. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is north-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.","Plot area 2400
(222.97 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 6 Crore
@ 25,000 per sq.ft. (Negotiable) View Price Details","E 5 Arera colony, Bhopal",2 Floors,Main Road,,[],[],[],North,10+ Year Old
"2 Bedroom House for sale in E 3 Arera Colony, Bhopal","E 3 Arera Colony, Bhopal",₹3.25 Cr,"₹21,666 /sqft",Ready To Move,"It is in arera colony e3 sector , near national hospital and narmada hospital. It is south facing and park facing property. Ample parking space .Ideal residential as well as commercial purpose.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 3.25 Crore
@ 21,666 per sq.ft. View Price Details","E 3 Arera Colony, Bhopal",1 Floors,Park/Garden,,[],[],[],South,10+ Year Old
"3 Bedroom House for sale in Bagmugaliya, Bhopal","Bagmugaliya, Bhopal",₹1 Cr,"₹10,000 /sqft",Ready To Move,"It is duplex house in bagmugalia , Well maintained ,east facing , near 80 feet wide road .Near aiims bhopal, only 3.5 km from aiims.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 1 Crore
@ 10,000 per sq.ft. (Negotiable) View Price Details","Bagmugaliya, Bhopal",2 Floors,,,"['2 Wardrobe', '4 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,5 to 10 Year Old
