pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Possession in,furnishing,features,ratings,Property Age,Facing
"3 BHK Flat in Katara Hills, Bhopal",Amaltas Ambreen Homes,₹32 Lac,"₹3,200 /sqft",Ready To Move,"Modular kitchen, corner flat, garden and pool side, east facing full vastu based. 2 lifts. 2 gardens. Curtains. Lights.","Super Built up area 1435
(133.32 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac
@ 3,200 per sq.ft.","Amaltas Ambreen Homes
Katara Hills, Bhopal",4th   of 7 Floors,"Pool,Park/Garden,Club,Main Road",,[],"['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Security Personnel', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,East
"2 BHK Flat in Aashirwad Colony, Bhopal",Shri Shankar Residency,₹32 Lac,"₹5,633 /sqft",Ready To Move,"Shri shankar residency is situated in one of the most prime location of aashirwad colony, kolar road, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. The flat occupies a carpet area of 568 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The residential building has 4 floors in total and the flat for sale is located on the 1st floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.","Carpet area: 568
(52.77 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room","₹ 32 Lac+ Govt Charges & Tax
@ 5,633 per sq.ft. (Negotiable)","Shri Shankar Residency
Aashirwad Colony, Bhopal",1st   of 4 Floors,,,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Light', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],1 to 5 Year Old,West
"2 BHK Flat in Patel Nagar, Bhopal",Archana Balaji Towers,₹25 Lac,"₹2,500 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in archana balaji towers, patel nagar, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 25 Lac
@ 2,500 per sq.ft.","Archana Balaji Towers
Patel Nagar, Bhopal",2nd   of 3 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹45 Lac,"₹3,333 /sqft",Ready To Move,"3 bhk flat for sale at 2/19, shiva wispring woods, sallaiya, 5th floor, phase 2, misrod, bhopal","Carpet area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies
View Floor Plan","₹ 45 Lac+ Govt Charges & Tax
@ 3,333 per sq.ft. (All inclusive, Negotiable) View Price Details","Shiva Whispering Woods
Salaiya, Bhopal",5th   of 6 Floors,,,"['2 Wardrobe', '1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,East
"2 BHK Flat in Kolar Road, Bhopal",kartika home's,₹22 Lac,"₹3,520 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in kartika home's, kolar bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 625 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 625
(58.06 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 22 Lac
@ 3,520 per sq.ft.","kartika home's
Kolar Road, Bhopal",2nd   of 3 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"2 BHK Flat in Harshavardhan Nagar, Bhopal",MAHAVEER APARTMENT,₹30 Lac,"₹4,615 /sqft",Ready To Move,"East facing 2bhk apartment for sale in smart city , bhopal.Harsh wardhan nagar colony is opposite to reveira town. Manitand new market is in 1.0 km radius. Habib ganj railway station is 3-4 kms. Apartment is having one master bed room with attached toilet, common bed room, common toilet, drawing room, modular kitchen and balcony (Fully covered with grill) . Apartment is full of light and ventilation, car parking space available, lift is also there in the building. Perfect apartment for small (Nuclear) family.","Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac
@ 4,615 per sq.ft. (Negotiable)","MAHAVEER APARTMENT
Harshavardhan Nagar, Bhopal",2nd   of 4 Floors,Main Road,,"['3 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage', 'Visitor Parking', 'Natural Light', 'Airy Rooms']",[],5 to 10 Year Old,East
"2 BHK Flat in Lalita Nagar, Bhopal",Raj harsh colony,₹21.5 Lac,"₹3,071 /sqft",Ready To Move,"It is prime location and walking distace from school,hospital,transport ,market etc","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 21.5 Lac+ Govt Charges & Tax
@ 3,071 per sq.ft. (All inclusive, Negotiable)","Raj harsh colony
Lalita Nagar, Bhopal",2nd   of 4 Floors,,,"['2 Fan', '1 Exhaust Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],5 to 10 Year Old,East
"2 BHK Flat in Ayodhya Bypass , Bhopal",Paras Heights,₹38 Lac,"₹2,921 /sqft",Ready To Move,"This lovely 2 bhk apartment/flat in ayodhya bypass is available for sale in one of bhopal's most popular projects, paras heights. The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a built up area of 1027 sq.Ft. The flat has a total of 6 floors and this property is situated on top floor. This is a ready to move project and the property is 0-1 year old.","Built Up area: 1027
(95.41 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 38 Lac
@ 2,921 per sq.ft. (Negotiable)","Paras Heights
Ayodhya Bypass , Bhopal",6th   of 6 Floors,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old    View Construction Status,East
"2 BHK Flat in Vijay Nagar, Bhopal",Kanha Kunj An Apartment,₹6.5 Cr,"₹19,817 /sqft",Under Construction,"Urgent sale .....An property free for sale covered parking currently in under construction 15 flats are there lift space is also vacant inside it. 10 under construction flats and 16 constructed rooms are available boring is available, 15 feet road is build main road is backside of this property, 24/7 water supply. (Price is bit negotiable) plot rate is 15000/sqft plot size is 3280/sqft. Build up in 2808/sqft., 4 floors are there g+3. 26 x 108 build up size","Carpet area: 3280
(304.72 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 6.5 Crore
@ 19,817 per sq.ft. (All inclusive, Negotiable)","Kanha Kunj An Apartment
Vijay Nagar, Bhopal",1st   of 4 Floors,Main Road,,[],"['Water Storage', 'Visitor Parking']",[],Under Construction,North-East
"2 BHK Flat in Trilanga, Bhopal",Ashirwad Apartment,₹17 Lac,"₹2,720 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in ashirwad apartment, trilanga, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 625 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 625
(58.06 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Study Room","₹ 17 Lac
@ 2,720 per sq.ft.","Ashirwad Apartment
Trilanga, Bhopal",2nd   of 3 Floors,,,"['2 Fan', '1 Exhaust Fan', '3 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],5 to 10 Year Old,
"3 BHK Flat in Kohefiza, Bhopal",ashoka palace apartment,₹51 Lac,"₹5,905 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in ashoka palace apartment, kohefiza colony, madhya pradesh others. This furnished apartment it is a and the unit is located on 3rd floor and has a carpet area of 762 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is leasehold type.","Carpet area: 762
(70.79 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 51 Lac+ Govt Charges & Tax
@ 5,905 per sq.ft. (All inclusive, Negotiable)","ashoka palace apartment
Kohefiza, Bhopal",3rd   of 3 Floors,Main Road,,"['4 Wardrobe', '1 Exhaust Fan', '1 Geyser', '36 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,East
"2 BHK Flat in Barkhedi, Bhopal",Bhopal Mahalaxmi Awasiy Parisar,₹50 Lac,"₹3,424 /sqft",Ready To Move,"This is east phasing and looking temple, garden, main gate and main road.Well maintain like curtain, modular kitchen, ro ,exhaust fan in kitchen, bath room, iron almirah, double bed, easy chair with table, ceiling fans, tube lights with callbell,double doors on main gate to protect masscuits etc","Super Built up area 1460
(135.64 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Others","₹ 50 Lac
@ 3,424 per sq.ft. (Negotiable)","Bhopal Mahalaxmi Awasiy Parisar
Barkhedi, Bhopal",2nd   of 9 Floors,,,"['1 Bed', '2 Wardrobe', '1 Water Purifier', '4 Fan', '1 Exhaust Fan', '12 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",[],[],0 to 1 Year Old,
"3 BHK Flat in Airport Road, Bhopal",Anmol Maple Tree Phase 2,₹56 Lac,"₹3,081 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in anmol maple tree phase 2, one of the most prominent projects for flats in airport road, bhopal. The flat is east-Facing. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1590 sq.Ft. This flat is situated on the 6th floor of this 7 floors tall residential building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. This flat is located near close to school, close to hospital, close to railway station and close to airport. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park, lift(s), visitor parking and maintenance staff, will provide a pleasant living experience for you. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.","Super Built up area 1590
(147.72 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room,Study Room","₹ 56 Lac+ Govt Charges & Tax
@ 3,081 per sq.ft. (Negotiable)","Anmol Maple Tree Phase 2
Airport Road, Bhopal",6th   of 7 Floors,"Pool,Park/Garden,Club,Main Road",,"['1 Water Purifier', '6 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '8 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC', 'No TV']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old    View Construction Status,East
"3 BHK Flat in Jr LIG Colony, Bhopal",Mahalaxmi Awasiya parisar,₹65 Lac,"₹5,909 /sqft",Ready To Move,"Property situated at heart of the city. All important places are ( Like railway station bhopal & habibganj new market, vallabh bhavan, mp nagar) very near. Covered campus. Metro rail station proposed at 100m distance.","Super Built up area 1350
(125.42 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 65 Lac+ Govt Charges & Tax
@ 5,909 per sq.ft. (Negotiable)","Mahalaxmi Awasiya parisar
Jr LIG Colony, Bhopal",10th   of 10 Floors,"Park/Garden,Main Road",,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",[],0 to 1 Year Old,North
"2 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹40 Lac,"₹3,703 /sqft",Ready To Move,2 bhk furnished flat with 2 covered balcony and with terrace exclusive rights .,"Super Built up area 1080
(100.34 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 40 Lac
@ 3,703 per sq.ft. (Negotiable) View Price Details","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",6th   of 6 Floors,,,"['3 Wardrobe', '3 Fan', '1 Geyser', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'False Ceiling Lighting', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,
"2 BHK Flat in Lambakheda, Bhopal",Mansa Vaidyanath Dham,₹26.5 Lac,"₹2,751 /sqft",Ready To Move,Urgent sale karna hain lene wale hii call kare,"Super Built up area 963
(89.47 sq.m.)
Carpet area: 758 sq.ft. (70.42 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 26.5 Lac
@ 2,751 per sq.ft. (All inclusive, Negotiable)","Mansa Vaidyanath Dham
Lambakheda, Bhopal",2nd   of 6 Floors,,,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '48 Light', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No AC', 'No Microwave']","['Power Back-up', 'Lift(s)', 'Park', 'Rain Water Harvesting']",[],5 to 10 Year Old,East
"1 BHK Flat in Hoshangabad Road, Bhopal",Sheetal Dham,₹18 Lac,"₹3,000 /sqft",Ready To Move,Corner side flat which feels as separate and privacy as compared with other flats,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony with Others","₹ 18 Lac
@ 3,000 per sq.ft. (All inclusive)","Sheetal Dham
Hoshangabad Road, Bhopal",3rd   of 6 Floors,"Pool,Park/Garden,Club,Main Road,Others",,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,East
"2 BHK Flat in Ibrahimganj, Bhopal",Vardhaman city plaza,₹27 Lac,"₹3,600 /sqft",Ready To Move,Its near bus stand and main city,"Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 27 Lac
@ 3,600 per sq.ft. (All inclusive)","Vardhaman city plaza
Ibrahimganj, Bhopal",3rd   of 4 Floors,,,"['1 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",[],10+ Year Old,
"3 BHK Flat in Hoshangabad Road, Bhopal",Chinaar Fortune City,₹45 Lac,"₹4,891 /sqft",Ready To Move,"1. Gated community 2. Adjacent to highway (Hoshangabad road) 3. Close to metro station and habibganj railway station 4. All bedrooms and balcony are east facing. 5. Vastu compliant 6. Covered / stilt parking available 7. Lift available 8. Recently renovated including new woodwork, plumbing, water-Proofing, new overhead water tank, etc.","Carpet area: 920
(85.47 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 45 Lac+ Govt Charges & Tax
@ 4,891 per sq.ft. View Price Details","Chinaar Fortune City
Hoshangabad Road, Bhopal",1st   of 4 Floors,Park/Garden,,"['1 Bed', '2 Wardrobe', '4 Fan', '8 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Centrally Air Conditioned', 'Water Storage', 'Park', 'Recently Renovated', 'Piped-gas', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,East
"3 BHK Flat in Hoshangabad Road, Bhopal",GMR Golden Palm,₹40 Lac,"₹2,807 /sqft",Ready To Move,"3bhk flat is on hoshangabad road behind capital mall,it has a covered stilt and basement parking,temple,gym and club house inside society.","Super Built up area 1425
(132.39 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 40 Lac+ Govt Charges & Tax
@ 2,807 per sq.ft. (Negotiable)","GMR Golden Palm
Hoshangabad Road, Bhopal",5th   of 6 Floors,"Pool,Park/Garden,Club,Main Road",,"['4 Fan', '1 Exhaust Fan', '5 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,East
"3 BHK Flat in Rohit Nagar, Bhopal",Mahendra Plaza,₹45 Lac,"₹3,208 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in mahendra plaza, rohit nagar, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 1340 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1340
(124.49 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 45 Lac
@ 3,208 per sq.ft. (Negotiable)","Mahendra Plaza
Rohit Nagar, Bhopal",3rd   of 3 Floors,Main Road,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"2 BHK Flat in Bairagarh Chichali, Bhopal",Vandana Homes,₹19 Lac,"₹2,533 /sqft",Ready To Move,"We have a apartment available for sale in kolar road, bhopal. Available at price of rs 19 lacs. It has super area of 750 sq ft. It has 2 bhk, 2 bathroom, 1 balcony.It is a freehold property","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 19 Lac
@ 2,533 per sq.ft.","Vandana Homes
Bairagarh Chichali, Bhopal",1st   of 1 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,
"3 BHK Flat in Hoshangabad Road, Bhopal",Century Heights,₹48 Lac,"₹6,153 /sqft",Ready To Move,"Corner flat with ample of sunlight in all 3 bedroom with 2 bathroom, 3 balcony, 1150 super built-Up area, 780 carpet area, modular kitchen with chimney, one king size bed with two custom made almera. Society century heights, near efotel by sayaji, 700 m from hoshangabad road,","Super Built up area 1180
(109.63 sq.m.)
Carpet area: 780 sq.ft. (72.46 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 48 Lac+ Govt Charges & Tax
@ 6,153 per sq.ft. (Negotiable)","Century Heights
Hoshangabad Road, Bhopal",6th   of 8 Floors,,,"['1 Bed', '2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,East
"3 BHK Flat in Rasla Khedi, Bhopal",BM Coral Casa,₹34.95 Lac,"₹2,609 /sqft",Ready To Move,"Situated at prime location, hospital, college, school within one km range, air port about 15 minute drive. Project -Coral casa apartment , flat at sixth floor","Super Built up area 1150
(106.84 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 34.95 Lac+ Govt Charges & Tax
@ 2,609 per sq.ft.","BM Coral Casa
Rasla Khedi, Bhopal",6th   of 6 Floors,Park/Garden,,[],[],[],1 to 5 Year Old,
"3 BHK Flat in Kolar Road, Bhopal",Janki Apartments,₹37 Lac,"₹2,960 /sqft",Ready To Move,Prime front facing property with a complete view of the society and main road,"Built Up area: 1250
(116.13 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 37 Lac
@ 2,960 per sq.ft. (Negotiable)","Janki Apartments
Kolar Road, Bhopal",5th   of 6 Floors,,,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"2 BHK Flat in Gandhinagar, Bhopal",Maharishi Patanjali Parisar,₹13.5 Lac,"₹2,250 /sqft",Ready To Move,"Flat near by airport 2 km, rgpv 1 km, nursing college 500 meter, local bus stand 800 meter. Railway station 8 km. Main market 2 km. New earth quake resistant property ready to move. Payment recieved only by bank draft.","Built Up area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony with Others","₹ 13.5 Lac
@ 2,250 per sq.ft.","Maharishi Patanjali Parisar
Gandhinagar, Bhopal",4th   of 4 Floors,"Park/Garden,Main Road",,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Park', 'Maintenance Staff', 'Visitor Parking', 'Water Storage', 'Security Personnel', 'Bank Attached Property', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,East
"2 BHK Flat in Gandhinagar, Bhopal",Rishikesh Nirmaan The Bellaire Mint,₹30 Lac,"₹4,000 /sqft",Ready To Move,"Corner flat, entry from east side, additional balcony facing garden and road..","Super Built up area 1060
(98.48 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 30 Lac+ Govt Charges & Tax
@ 4,000 per sq.ft. (Negotiable)","Rishikesh Nirmaan The Bellaire Mint
Gandhinagar, Bhopal",6th   of 7 Floors,"Park/Garden,Main Road",,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,East
"3 BHK Flat in Hoshangabad Road, Bhopal",Fortune Divine City,₹44 Lac,"₹4,631 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in fortune divine city, hoshangabad road, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 950 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 950
(88.26 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 44 Lac
@ 4,631 per sq.ft.","Fortune Divine City
Hoshangabad Road, Bhopal",4th   of 6 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"3 BHK Flat in Katara Hills, Bhopal",Macker Silver Estate Vertica,₹55 Lac,"₹4,515 /sqft",Ready To Move,"2436 sq.Ft penthouse , semifurnished with cupboards, cabinets, bed; Well furnished including all interior; All balconies and terrace secured by steel railing; Swimming pool at terrace; Alotted parking space in closed campus; 20 min distance from rani kamlapati railway station; 15min distance from aiims, bhopal","Built Up area: 2436
(226.31 sq.m.)
Carpet area: 1218 sq.ft. (113.16 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room","₹ 55 Lac
@ 4,515 per sq.ft. (Negotiable)","Macker Silver Estate Vertica
Katara Hills, Bhopal",6th   of 6 Floors,"Main Road,Pool,Park/Garden,Club",,"['2 Bed', '3 Wardrobe', '4 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,
