pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"2 BHK Flat in Bawadia Kalan, Bhopal",Chinarr Sapphire,₹40 Lac,"₹3,076 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in chinarr sapphire, bawadia kalan, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 1300 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1300
(120.77 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 3,076 per sq.ft.","Chinarr Sapphire
Bawadia Kalan, Bhopal",4th   of 6 Floors,,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Katara Hills, Bhopal",Centurion Sky,₹30 Lac,"₹3,333 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in centurion sky, katara hills, bhopal. This semi-Furnished apartment it is a and the unit is located on 4th floor and has a built up area of 900 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Built Up area: 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 3,333 per sq.ft.","Centurion Sky
Katara Hills, Bhopal",4th   of 8 Floors,,,1 to 5 Year Old,"['1 Wardrobe', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Washing Machine', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Chuna Bhatti, Bhopal",Soumya Enclave,₹45 Lac,"₹3,600 /sqft",Ready To Move,East facing 3 bhk flat in top locality of chuna bhatti. Lift Separate car parking Spacious bigger rooms Wood work in all bedrooms Electrical fittings lights fans included Split ac in master bedroom,"Super Built up area 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac+ Govt Charges & Tax
@ 3,600 per sq.ft. (All inclusive, Negotiable)","Soumya Enclave
Chuna Bhatti, Bhopal",2nd   of 3 Floors,East,,10+ Year Old,"['4 Wardrobe', '5 Fan', '10 Light', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Hoshangabad Road, Bhopal",Aryavrat British Park,₹30 Lac,"₹3,750 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in aryavrat british park, hoshangabad road, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 800 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 30 Lac
@ 3,750 per sq.ft.","Aryavrat British Park
Hoshangabad Road, Bhopal",Ground of 1 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Hoshangabad Road, Bhopal",C21 Corporate Park,₹26 Lac,"₹3,250 /sqft",Ready To Move,"Hospital, bus stop, mall & highway touch society with security","Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 26 Lac
@ 3,250 per sq.ft. (Negotiable)","C21 Corporate Park
Hoshangabad Road, Bhopal",4th   of 7 Floors,,"Main Road,Park/Garden",10+ Year Old,"['1 Wardrobe', '3 Fan', '1 Geyser', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Saket Nagar, Bhopal",Ishita Paradise,₹28 Lac,"₹2,883 /sqft",Ready To Move,"3 bhk to sell at prime location near to aiims, school, railway and bus station. Road garden facing, 4 wheeler parking. 28 lakhs","Carpet area: 971
(90.21 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony
View Floor Plan","₹ 28 Lac
@ 2,883 per sq.ft. (Negotiable)","Ishita Paradise
Saket Nagar, Bhopal",Ground of 2 Floors,South-East,,10+ Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Bairagarh Chichali, Bhopal",Unitech Unihomes,₹22 Lac,"₹2,242 /sqft",Ready To Move,"On main kolar 6 lane with 50 ft wide internal road with clubhouse, lift , garden and cover campus","Super Built up area 981
(91.14 sq.m.)
Carpet area: 740 sq.ft. (68.75 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 22 Lac
@ 2,242 per sq.ft. (All inclusive, Negotiable)","Unitech Unihomes
Bairagarh Chichali, Bhopal",5th   of 5 Floors,East,"Pool,Park/Garden,Club,Main Road",0 to 1 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Nehru Nagar , Bhopal",LIG Flats,₹43 Lac,"₹10,804 /sqft",Ready To Move,Well maintended property. 2 flats (1bhk) with free hold terrace.,"Carpet area: 398
(36.98 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 43 Lac+ Govt Charges & Tax
@ 10,804 per sq.ft. (Negotiable)","LIG Flats
Nehru Nagar , Bhopal",1st   of 3 Floors,,,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Stove', '1 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in MP Nagar, Bhopal",Raj Rishi Parisar,₹85 Lac,"₹11,333 /sqft",Ready To Move,Fully furnished office premises,"Carpet area: 750
(69.68 sq.m.)  
sq.ft.","3 Bedrooms , 1 Bathroom, No Balcony","₹ 85 Lac+ Govt Charges & Tax
@ 11,333 per sq.ft. (Negotiable)","Raj Rishi Parisar
MP Nagar, Bhopal",2nd   of 3 Floors,,,10+ Year Old,"['4 Wardrobe', '6 Fan', '1 Sofa', '21 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Hoshangabad Road, Bhopal",Aryavrat British Park,₹32 Lac,"₹2,424 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in aryavrat british park, hoshangabad road, bhopal. This it is a and the unit is located on 2nd floor and has a carpet area of 1320 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Carpet area: 1320
(122.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 32 Lac
@ 2,424 per sq.ft.","Aryavrat British Park
Hoshangabad Road, Bhopal",2nd   of 11 Floors,,,0 to 1 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Sarvadharam C Sector, Bhopal",Vaibhav apartment,₹12 Lac,"₹2,000 /sqft",Ready To Move,Prime location and best area. It is 2 bedroom apartment mostly for small family.,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 12 Lac
@ 2,000 per sq.ft.","Vaibhav apartment
Sarvadharam C Sector, Bhopal",4th   of 4 Floors,,,10+ Year Old,[],[],[],
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹12 Lac,"₹1,846 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in sarvadharm colony, kolar road, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 650 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 12 Lac
@ 1,846 per sq.ft.","Sarvadharm Colony
Kolar Road, Bhopal",4th   of 4 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Khajuri Kalan , Bhopal",Essarjee Sampada,₹17 Lac,"₹2,266 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in essarjee sampada, khajuri kalan , bhopal. This it is a and the unit is located on 5th floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 17 Lac
@ 2,266 per sq.ft.","Essarjee Sampada
Khajuri Kalan , Bhopal",5th   of 5 Floors,,"Park/Garden,Club,Main Road",1 to 5 Year Old    View Construction Status,[],"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Bypass Road, Bhopal",bhuvi madhurban phase1,₹25 Lac,"₹4,166 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in bhuvi madhurban phase1, bypass road, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 450 sq.Ft. . It has 1 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 600
(55.74 sq.m.)
Carpet area: 460 sq.ft. (42.74 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 2 Balconies","₹ 25 Lac
@ 4,166 per sq.ft.","bhuvi madhurban phase1
Bypass Road, Bhopal",1st   of 4 Floors,,,1 to 5 Year Old,[],[],[],
"3 BHK Flat in Vijay Nagar, Bhopal",Abhi Homes,₹50 Lac,"₹5,000 /sqft",Ready To Move,This is a 3bhk apartment with 2 bathrooms. The flat is on the ground floor. Flat is located behind tata showroom near to halalpur bus stand. The location of the flat is very prime with nearby markets and easy convenience. Also flat is at the corner location with good ventilation and light. Flat is also semi furnished with lights and fans.,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 50 Lac+ Govt Charges & Tax
@ 5,000 per sq.ft. (Negotiable)","Abhi Homes
Vijay Nagar, Bhopal",Ground of 2 Floors,,,10+ Year Old,"['5 Fan', '1 Fridge', '1 Sofa', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],
"2 BHK Flat in Katara Hills, Bhopal",Devki Nikunj Heights,₹28 Lac,"₹3,544 /sqft",Ready To Move,"Spacious, well-Ventilated apartment in prime katara hills location with modern amenities and serene surroundings","Carpet area: 790
(73.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 28 Lac+ Govt Charges & Tax
@ 3,544 per sq.ft. (Negotiable)","Devki Nikunj Heights
Katara Hills, Bhopal",6th   of 9 Floors,,,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Shopping Centre', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Indus Towne, Bhopal",Chinarr Dream CT,₹23 Lac,"₹3,194 /sqft",Ready To Move,"1. 2 bhk | 720 sq.Ft | 6th floor (Top) bright, airy, and peaceful 2. located in chinarr dream ct, indus towne a gated, secure society 3. equipped with elevators, power backup, and ample parking 4. access to clubhouse, gym, garden, kids play area & more 5. prime location near hoshangabad road, close to schools, malls & hospitals","Carpet area: 720
(66.89 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 23 Lac+ Govt Charges & Tax
@ 3,194 per sq.ft.","Chinarr Dream CT
Indus Towne, Bhopal",6th   of 7 Floors,,,1 to 5 Year Old,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Katara Hills, Bhopal",Fast Track Heavens Life,₹36 Lac,"₹3,750 /sqft",Ready To Move,"Located in the popular residential address of katara hills, bhopal, fast track heavens life is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. The flat is facing the east direction. The flat occupies a carpet area of 960 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 2 balconies. This flat lies on the 2nd level of a 7 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The flat comes well built with ceramic flooring options. This flat is located near close to hospital, close to school, close to metro station and close to market. Fast track heavens life is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, club house / community center, park, lift(s) and maintenance staff. Borewell/tank provides a regular supply of water to this residential project.","Carpet area: 960
(89.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 36 Lac+ Govt Charges & Tax
@ 3,750 per sq.ft.","Fast Track Heavens Life
Katara Hills, Bhopal",2nd   of 7 Floors,East,Park/Garden,1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Water purifier', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Ayodhya Bypass , Bhopal",Amaltas Westminster,₹41 Lac,"₹4,270 /sqft",Ready To Move,"Experience comfort, convenience, and class in this well-Designed 1300 sq. Ft. 3bhk flat located in a prime residential area adjacent to people's mall. This thoughtfully built home offers:","Super Built up area 1300
(120.77 sq.m.)
Carpet area: 960 sq.ft. (89.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 41 Lac+ Govt Charges & Tax
@ 4,270 per sq.ft. (All inclusive, Negotiable)","Amaltas Westminster
Ayodhya Bypass , Bhopal",1st   of 8 Floors,,,0 to 1 Year Old    View Construction Status,[],"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Ayodhya Bypass , Bhopal",Raj Minal Residency,₹15 Lac,"₹3,260 /sqft",Ready To Move,Best ventilation in the whole building located near minal residencys biggest temple. Clean and a very good view from the balcony. Rental income of 8500 is fixed. The flat is built and located as per the vastu shastra which will make this property very much profitable investment.,"Built Up area: 460
(42.74 sq.m.)
Carpet area: 450 sq.ft. (41.81 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 15 Lac
@ 3,260 per sq.ft. (Negotiable)","Raj Minal Residency
Ayodhya Bypass , Bhopal",3rd   of 4 Floors,East,"Park/Garden,Main Road",1 to 5 Year Old,"['1 Bed', '2 Fan', '3 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Katara Hills, Bhopal",BDA Swami Vivekanand Parisar,₹13.5 Lac,"₹3,000 /sqft",Ready To Move,Well furnished and maintain with newly bharoom,"Carpet area: 450
(41.81 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 13.5 Lac
@ 3,000 per sq.ft. (Negotiable)","BDA Swami Vivekanand Parisar
Katara Hills, Bhopal",1st   of 4 Floors,East,"Main Road,Park/Garden",5 to 10 Year Old,"['3 Wardrobe', '1 Exhaust Fan', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Katara Hills, Bhopal",BDA Swami Vivekanand Parisar,₹13.5 Lac,"₹3,000 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in bda swami vivekanand parisar, katara hills, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 450 sq.Ft. . It has 1 bathroom(s). The ownership is leasehold type.","Super Built up area 450
(41.81 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 13.5 Lac
@ 3,000 per sq.ft.","BDA Swami Vivekanand Parisar
Katara Hills, Bhopal",1st   of 4 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Katara Hills, Bhopal",Centurion Sky,₹26 Lac,"₹2,539 /sqft",Ready To Move,"Centurion sky is one of bhopal's most sought after destination for apartments and this 2 bhk flat in katara hills is your opportunity to be a part of this community. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1024 sq.Ft. The flat has a total of 8 floors and this property is situated on 3rd floor. This 1-5 years old property is available for immediate possession as the project is ready to move. Centurion sky is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, club house / community center, park and lift(s). The flat has fall ceiling and both balconies are packed by net and iron.","Super Built up area 1024
(95.13 sq.m.)
Built Up area: 720 sq.ft. (66.89 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 26 Lac
@ 2,539 per sq.ft. (Negotiable)","Centurion Sky
Katara Hills, Bhopal",3rd   of 8 Floors,North,"Pool,Park/Garden,Club,Main Road",1 to 5 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Kolar Road, Bhopal",Samriddhi Apartment,₹23 Lac,"₹2,875 /sqft",Ready To Move,Small multi of 6-7 flats with lift nice locality,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 23 Lac
@ 2,875 per sq.ft.","Samriddhi Apartment
Kolar Road, Bhopal",2nd   of 3 Floors,,,10+ Year Old,[],"['Lift(s)', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Rajharsh Colony, Bhopal",Navaakar Parke Serene,₹10 Lac,"₹2,000 /sqft",Ready To Move,1 bhk flat gud condition in covered campus,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 10 Lac
@ 2,000 per sq.ft. (All inclusive)","Navaakar Parke Serene
Rajharsh Colony, Bhopal",5th   of 6 Floors,North,,1 to 5 Year Old,[],"['Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Internet/wi-fi connectivity']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹33 Lac,"₹2,750 /sqft",Ready To Move,"Very spacious, ventilated and well connected to hoshangabad road, highway, near to ashima mall. The green and clean campus with kids plays, senior citizens sit out, gym, temple and garden area and with security.","Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 33 Lac+ Govt Charges & Tax
@ 2,750 per sq.ft. (Negotiable)","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",4th   of 6 Floors,West,,5 to 10 Year Old,"['1 Fan', '1 Geyser', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Awadhpuri, Bhopal","Surabhi Nikunj, Surabhi Mohini Homes",₹35 Lac,"₹4,117 /sqft",Ready To Move,1. This is corner flat and very much near to habibganj railways station i.E. Only 5-6 km. 2. Aiims is only 3-4 km. 3. You can find all household or groceries near to you as all famous stores is reachable in 1-2 km. 5. Local bus stand is near about 0.5 km.,"Carpet area: 850
(78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac
@ 4,117 per sq.ft. (All inclusive, Negotiable)","Surabhi Nikunj, Surabhi Mohini Homes
Awadhpuri, Bhopal",3rd   of 4 Floors,East,,1 to 5 Year Old,"['1 Wardrobe', '1 Water Purifier', '3 Fan', '1 Geyser', '10 Light', '1 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Lift(s)', 'Water purifier', 'Water Storage', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bawadia Kalan, Bhopal",Fortune Signature,₹95 Lac,"₹6,054 /sqft",Ready To Move,"Flat is corner and garden facing, well furnished and best location of bawadia kalan.","Super Built up area 1569
(145.76 sq.m.)
Carpet area: 1180 sq.ft. (109.63 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 95 Lac+ Govt Charges & Tax
@ 6,054 per sq.ft. (All inclusive)","Fortune Signature
Bawadia Kalan, Bhopal",5th   of 6 Floors,,,5 to 10 Year Old,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Ayodhya Bypass , Bhopal",Sagar Estate,₹32 Lac,"₹4,000 /sqft",Ready To Move,No lift urgent bechna hai sagar state ayodhya bypass near sharma vishnu restaurant 800 sq,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac
@ 4,000 per sq.ft. View Price Details","Sagar Estate
Ayodhya Bypass , Bhopal",3rd   of 3 Floors,,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Gehun Kheda, Bhopal",Shri Krishna Campus,₹19 Lac,"₹2,235 /sqft",Ready To Move,"Cover campus with 24 security inhouse temple, play ground with camera & from current day u can take rent.","Carpet area: 850
(78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 19 Lac
@ 2,235 per sq.ft. (All inclusive, Negotiable)","Shri Krishna Campus
Gehun Kheda, Bhopal",4th   of 5 Floors,North-East,,5 to 10 Year Old,"['3 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹35 Lac,"₹2,916 /sqft",Ready To Move,"Located in the popular residential address of hoshangabad road, bhopal, lakhumal nikhil nestles is one of the most preferred destination for apartments in bhopal. This 2 bhk flat is your ticket to be a part of this community. The flat is facing the west direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1200 sq.Ft. The property is located on the 3rd floor of a 6 floors tall building. This is a ready to move project and the property is 1-5 years old. The well built vitrified flooring enhances the aesthetic appeal of this flat. This flat is located near close to market, close to school, close to hospital and close to railway station. The flat will offer a modern lifestyle as it is presented with many of the amenities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel, maintenance staff, water softening plant and visitor parking. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.","Super Built up area 1200
(111.48 sq.m.)
Built Up area: 940 sq.ft. (87.33 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Others","₹ 35 Lac+ Govt Charges & Tax
@ 2,916 per sq.ft. (All inclusive, Negotiable) View Price Details","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",3rd   of 6 Floors,West,"Main Road,Park/Garden,Club,Others",1 to 5 Year Old,"['4 Fan', '1 Exhaust Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
