pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Property Age,furnishing,features,ratings,Facing,Possession in
"2 BHK Flat in Kolar Road, Bhopal",Balaji tower kolar eoad,₹20 Lac,"₹2,928 /sqft",Ready To Move,"This 2 bhk apartment is available for sale in balaji tower kolar eoad, one of the most prominent projects for flats in kolar road, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 683 sq.Ft. The residential building has 4 floors in total and the flat for sale is located on the 3rd floor. This is a ready to move project and the property is 1-5 years old.","Carpet area: 683
(63.45 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac+ Govt Charges & Tax
@ 2,928 per sq.ft.","Balaji tower kolar eoad
Kolar Road, Bhopal",3rd   of 4 Floors,,1 to 5 Year Old,"['1 Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹35 Lac,"₹4,268 /sqft",Ready To Move,"This beautiful 2 bhk flat in hoshangabad road, bhopal is situated in nirupam royal palms, one of the popular residential society in bhopal. The flat is east-Facing. The flat occupies a carpet area of 820 sq.Ft. That consists of 2 bedrooms, 1 bathroom and 1 balcony. This flat lies on the 3rd level of a 6 storey building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. Proximity to landmarks like close to highway, close to school, close to hospital and close to market makes this an ideal property for families. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, lift(s) and security personnel. The housing society ensures a continuous supply of water to your flat from municipal corporation and borewell/tank.","Carpet area: 820
(76.18 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 35 Lac
@ 4,268 per sq.ft. (Negotiable)","Nirupam Royal Palms
Hoshangabad Road, Bhopal",3rd   of 6 Floors,,5 to 10 Year Old,"['2 Fan', '2 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Kolar Road, Bhopal",Fortune Soumya Tulip Heights,₹14.5 Lac,"₹2,290 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in fortune soumya tulip heights, kolar road, bhopal. This it is a and the unit is located on ground floor and has a carpet area of 633 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Carpet area: 633
(58.81 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 14.5 Lac
@ 2,290 per sq.ft.","Fortune Soumya Tulip Heights
Kolar Road, Bhopal",Ground of 7 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Ayodhya Bypass , Bhopal",Paras Heights,₹35 Lac,"₹4,545 /sqft",Ready To Move,"Situated in ayodhya bypass , bhopal, n/a is a well planned society that offers a pleasant living experience to its residents. This 2bhk flat in bhopal is your opportunity to be a part of this community. The floor plan additionally contains 2bedroom(s), 2bathroom . All in all, the flat is spread over a built up area of 1027 sq.Ft. This flat 6th flor.As the project is already ready to move, so you can easily move into this 1-5year old property.","Super Built up area 1027
(95.41 sq.m.)
Built Up area: 770 sq.ft. (71.54 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac+ Govt Charges & Tax
@ 4,545 per sq.ft. (All inclusive, Negotiable)","Paras Heights
Ayodhya Bypass , Bhopal",6th   of 6 Floors,,1 to 5 Year Old    View Construction Status,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Washing Machine', '1 Stove', '4 Light', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No TV', 'No Wardrobe']","['Lift(s)', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Hoshangabad Road, Bhopal",Ruchi Lifescapes,₹32 Lac,"₹2,285 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in ruchi lifescapes, one of the most prominent projects for flats in hoshangabad road, bhopal. This is a east-Facing property. The flat occupies a carpet area of 1400 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 6 floors and this property is situated on 1st floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The flat comes well built with marble flooring options. Ruchi lifescapes is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, club house / community center, grocery shop, lift(s), security personnel and maintenance staff.","Carpet area: 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 32 Lac
@ 2,285 per sq.ft. (Negotiable) View Price Details","Ruchi Lifescapes
Hoshangabad Road, Bhopal",1st   of 6 Floors,"Pool,Park/Garden,Club,Main Road",5 to 10 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"1 BHK Flat in Narayan Nagar, Bhopal",Omen Residency,₹26 Lac,"₹4,031 /sqft",Ready To Move,Pasand h location to diye gye no me call kre or call whi kre jo interested ho plz...,"Carpet area: 645
(59.92 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony with Pooja Room","₹ 26 Lac
@ 4,031 per sq.ft. (Negotiable)","Omen Residency
Narayan Nagar, Bhopal",2nd   of 2 Floors,,10+ Year Old,"['1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Geyser', '7 Light', '1 TV', '1 Curtains', '1 Modular Kitchen', '1 AC', '3 Wardrobe', '1 Bed', '1 Sofa', '1 Washing Machine', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Stove']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Hoshangabad Road, Bhopal",Fortune Divine City,₹27 Lac,"₹3,020 /sqft",Ready To Move,"Located in the popular residential address of hoshangabad road, bhopal, fortune divine city is one of the most preferred destination for apartments in bhopal. This 2 bhk flat is your ticket to be a part of this community. The flat is over 894 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 1 balcony. This flat is situated on the 4th floor of this 6 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The flat comes well built with vitrified flooring options. This residential property is situated near close to hospital, close to market and close to school. The society is well equipped with many modern amenities, including security personnel, maintenance staff, shopping centre, club house / community center, park, lift(s) and visitor parking. Borewell/tank provides a regular supply of water to this residential project.","Super Built up area 894
(83.06 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac
@ 3,020 per sq.ft. View Price Details","Fortune Divine City
Hoshangabad Road, Bhopal",4th   of 6 Floors,Park/Garden,10+ Year Old,"['3 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in E8 Arera Colony, Bhopal",fine homes,₹30 Lac,"₹3,52,941 /sqft",Ready To Move,Ground flour or 2 flat me ane jane k liye 2 man gate diye gaye hai piche ek badi gallery hai jisse aap ped lagane ya room banane k liye use kar sakte hai..Baki jo kharidne k ikchuk ho wo hi sampark kare...Or marke ek dum pass me aura mall bhi walking distance per hai pass me hi sanchi park hai janha aap tahlne yoga karne ya bacho lekar ja sakte hai..,"Carpet area: 8.5
(0.79 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 30 Lac
@ 3,52,941 per sq.ft.","fine homes
E8 Arera Colony, Bhopal",Ground of 3 Floors,,10+ Year Old,[],[],[],,
"2 BHK Flat in Nayapura, Bhopal",Shashi Hi Tech City,₹18 Lac,"₹2,643 /sqft",Ready To Move,"Spacious rooms, well maitained society","Carpet area: 681
(63.27 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 18 Lac+ Govt Charges & Tax
@ 2,643 per sq.ft. (Negotiable)","Shashi Hi Tech City
Nayapura, Bhopal",1st   of 8 Floors,,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",[],,
"3 BHK Flat in Kolar Road, Bhopal",Faith Imperial Heights,₹18 Lac,"₹1,969 /sqft",Ready To Move,Clubhouse park and well maintained society,"Super Built up area 914
(84.91 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 18 Lac
@ 1,969 per sq.ft. (Negotiable)","Faith Imperial Heights
Kolar Road, Bhopal",3rd   of 6 Floors,,10+ Year Old    View Construction Status,[],"['Lift(s)', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in E 7 Arera colony, Bhopal","Rachna kunj , 01/313",₹35 Lac,"₹5,384 /sqft",Ready To Move,In the ground floor / front side / 11 no market round the corner / parking area,"Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 5,384 per sq.ft.","Rachna kunj , 01/313
E 7 Arera colony, Bhopal",Ground of 4 Floors,,10+ Year Old,[],[],[],,
"1 BHK Flat in Industrial Area, Bhopal",appartment,₹8 Lac,"₹2,000 /sqft",Ready To Move,1 bedroom 1 hall kichen balcony road parking garden,"Carpet area: 400
(37.16 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony with Others","₹ 8 Lac+ Govt Charges & Tax
@ 2,000 per sq.ft. (All inclusive, Negotiable)","appartment
Industrial Area, Bhopal",2nd   of 3 Floors,"Park/Garden,Main Road",10+ Year Old,[],"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park']",[],North,
"3 BHK Flat in Ayodhya Bypass , Bhopal",Welcome Apartments,₹51 Lac,"₹3,333 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in welcome apartments, ayodhya bypass , bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 1530 sq.Ft. . It has 3 bathroom(s). The ownership is freehold type.","Super Built up area 1530
(142.14 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 51 Lac
@ 3,333 per sq.ft.","Welcome Apartments
Ayodhya Bypass , Bhopal",1st   of 3 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹40 Lac,"₹6,153 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in agrawal sagar golden palm, katara hills, bhopal. This it is a and the unit is located on 4th floor and has a carpet area of 650 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 40 Lac
@ 6,153 per sq.ft.","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",4th   of 4 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"1 BHK Flat in Talaiya, Bhopal",Ma Apartment,₹60 Lac,"₹10,000 /sqft",Ready To Move,"This 1 bhk apartment is available for sale in ma apartment, one of the most prominent projects for flats in talaiya, bhopal. The flat is over 600 sq.Ft. Super built up area and comes with 1 bedroom(s), 1 bathroom and 1 balcony. The residential building has 5 floors in total and the flat for sale is located on the ground floor. As the project is already ready to move, so you can easily move into this 5-10 years old property.","Super Built up area 600
(55.74 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 60 Lac
@ 10,000 per sq.ft.","Ma Apartment
Talaiya, Bhopal",Ground of 5 Floors,,5 to 10 Year Old,[],[],[],,
"3 BHK Flat in Salaiya, Bhopal",Aakriti Greens,₹45 Lac,"₹3,157 /sqft",Ready To Move,"Ideal for those who want to stay with nature cool and pollution free environment. Aakriti greens offers spacious campus, adequate parking,lush green environment, siddhivinayak and hanuman temple. Very good for morning and evening walk and spiritual atmosphere. Those who wants peace of mind can chose this place. There are regular ganesh festivals,navaratri,bhajan kirtan and other cultural programmes suitable for all age groups. All leading school buses stops infront of aakriti gate. All amenities are nearby including super shop,vegetable vendors, medical stores etc. Maids etc are readily avlble. Aakriti green has got 2 big and 2 small gardens, children play area, open gym is coming up very soon and huge open space.","Built Up area: 1425
(132.39 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac+ Govt Charges & Tax
@ 3,157 per sq.ft. View Price Details","Aakriti Greens
Salaiya, Bhopal",5th   of 6 Floors,Park/Garden,10+ Year Old,"['4 Fan', '1 Exhaust Fan', '6 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-West,
"2 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹32.5 Lac,"₹3,080 /sqft",Ready To Move,Nice place and society to live in,"Super Built up area 1055
(98.01 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 32.5 Lac+ Govt Charges & Tax
@ 3,080 per sq.ft. (Negotiable) View Price Details","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",Ground of 6 Floors,"Pool,Park/Garden",10+ Year Old,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"3 BHK Flat in Shirdipuram, Bhopal",Agrawal Sagar Premium Towers,₹52 Lac,"₹3,795 /sqft",Ready To Move,"Heres a professional description for the **3bhk apartment at sagar premium tower, shrinipuram**:","Super Built up area 1370
(127.28 sq.m.)
Carpet area: 1076 sq.ft. (99.96 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 52 Lac
@ 3,795 per sq.ft. View Price Details","Agrawal Sagar Premium Towers
Shirdipuram, Bhopal",5th   of 7 Floors,"Park/Garden,Main Road",5 to 10 Year Old,"['4 Wardrobe', '2 Bed', '4 Fan', '1 Exhaust Fan', '4 Light', '1 AC', '1 Modular Kitchen', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting']",[],,
"4 BHK Flat in Katara Hills, Bhopal",Signature 360,₹44 Lac,"₹1,770 /sqft",Ready To Move,"This lovely 4 bhk apartment/flat in katara hills is available for sale in one of bhopal's most popular projects, signature 360. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2485 sq.Ft. This flat lies on the top level of a 6 storey building. As the project is already ready to move, so you can easily move into this 0-1 year old property. The society is well equipped with many modern amenities, including fitness centre / gym, club house / community center, park and lift(s).","Super Built up area 2485
(230.86 sq.m.)
Built Up area: 1558 sq.ft. (144.74 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 44 Lac
@ 1,770 per sq.ft. (Negotiable) View Price Details","Signature 360
Katara Hills, Bhopal",6th   of 6 Floors,,0 to 1 Year Old,[],"['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Trilanga, Bhopal",Swarn Kunj,₹47 Lac,"₹5,875 /sqft",Ready To Move,"Looking for a 2 bhk property for sale in bhopal? Buy this 2 bhk flat in swarn kunj that is situated in trilanga, bhopal. This residential flat is east-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 800 sq.Ft. The property is located on the ground floor of a 3 floors tall building. This is a ready to move project and the property is 0-1 year old. The beautifully designed marble flooring enhances the beauty of the flat. You enjoy a 24*7 access to water in your flat.","Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 47 Lac
@ 5,875 per sq.ft. (Negotiable) View Price Details","Swarn Kunj
Trilanga, Bhopal",Ground of 3 Floors,"Park/Garden,Main Road",0 to 1 Year Old,[],[],[],East,
"2 BHK Flat in Kolar Road, Bhopal",Bima Kunj,₹15 Lac,"₹3,409 /sqft",Ready To Move,Heres a more attractive version of your message:,"Carpet area: 440
(40.88 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 15 Lac
@ 3,409 per sq.ft. (Negotiable)","Bima Kunj
Kolar Road, Bhopal",3rd   of 3 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Bagmugaliya, Bhopal",Sagar Royal Villas,₹35 Lac,"₹2,755 /sqft",Ready To Move,"Located in the popular residential address of bagmugaliya, bhopal, sagar royal villas is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. This residential flat is north-Facing direction. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 1270 sq.Ft. This flat lies on the 4th level of a 5 storey building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. This residential property is situated near close to mall, close to hospital and close to market. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, club house / community center, park, lift(s), security personnel and maintenance staff. The housing society ensures a continuous supply of water to your flat from borewell/tank.","Carpet area: 1270
(117.99 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac
@ 2,755 per sq.ft. View Price Details","Sagar Royal Villas
Bagmugaliya, Bhopal",4th   of 5 Floors,"Pool,Park/Garden,Main Road",5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹22 Lac,"₹2,046 /sqft",Ready To Move,"This beautiful 3 bhk flat in mahawadiya, bhopal is situated in ibd hallmark citii, one of the popular residential society in bhopal. Containing 3 bedroom(s), 2 bathrooms and 3 balconies, this flat is garden facing, this flat is spread over a carpet area of 1075 sq.Ft. The residential building has 3 floors in total and the flat for sale is located on the 2nd floor. This is a ready to move project and the property is 5-10 years old.","Carpet area: 1075
(99.87 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 22 Lac
@ 2,046 per sq.ft. (Negotiable)","IBD Hallmark Citii
Mahawadiya, Bhopal",2nd   of 3 Floors,"Club,Park/Garden",5 to 10 Year Old,[],"['Maintenance Staff', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"3 BHK Flat in Hoshangabad Road, Bhopal",Sterling Globe Grand,₹40 Lac,"₹2,985 /sqft",Ready To Move,"Corner 3bhk semi-Furnished flat for sale garden facing, hoshangabad road, bhopal","Super Built up area 1340
(124.49 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Study Room","₹ 40 Lac+ Govt Charges & Tax
@ 2,985 per sq.ft. (Negotiable) View Price Details","Sterling Globe Grand
Hoshangabad Road, Bhopal",5th   of 7 Floors,"Park/Garden,Main Road,Club",5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Gulmohar Colony, Bhopal",RSR Satyam Estate,₹2 Cr,"₹9,090 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in rsr satyam estate, gulmohar colony, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 2200 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 2200
(204.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 2 Crore
@ 9,090 per sq.ft.","RSR Satyam Estate
Gulmohar Colony, Bhopal",Ground of 2 Floors,,0 to 1 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Badwai, Bhopal",Satya Prakash Nice Space,₹25 Lac,"₹3,834 /sqft",Ready To Move,"Colony have community hall, jim, pool, garden. Seperate parking space, gated colony with full time guards.","Carpet area: 652
(60.57 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 2 Balconies","₹ 25 Lac
@ 3,834 per sq.ft. (All inclusive, Negotiable)","Satya Prakash Nice Space
Badwai, Bhopal",2nd   of 6 Floors,"Pool,Park/Garden,Club",1 to 5 Year Old,"['1 Bed', '3 Fan', '1 Exhaust Fan', '3 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",[],South-East,
"2 BHK Flat in Rajharsh Colony, Bhopal",Soumya Evergreen,₹35 Lac,"₹3,500 /sqft",Ready To Move,Prime locatin property with all basic amenities for more details contact us,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,500 per sq.ft. (All inclusive, Negotiable)","Soumya Evergreen
Rajharsh Colony, Bhopal",2nd   of 5 Floors,,5 to 10 Year Old,"['1 Wardrobe', '2 Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 BHK Flat in Kolar Road, Bhopal",Signature 99,₹95 Lac,"₹2,984 /sqft",Ready To Move,"Check out this 4 bhk apartment for sale in signature 99, a popular residential project that houses in-Demand flats in kolar road, bhopal. This property faces the west direction. Containing 4 bedroom(s), 4 bathrooms and 2 balconies, this flat is spread over a super built up area of 3183 sq.Ft. The flat has a total of 6 floors and this property is situated on 3rd floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to hospital, close to market and close to school. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park and lift(s). The project provides a continuous supply of water to its flats.7","Super Built up area 3183
(295.71 sq.m.)
Built Up area: 2358 sq.ft. (219.07 sq.m.)
Carpet area: 1677 sq.ft. (155.8 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Servant Room","₹ 95 Lac
@ 2,984 per sq.ft. View Price Details","Signature 99
Kolar Road, Bhopal",3rd   of 6 Floors,Park/Garden,1 to 5 Year Old,"['3 Wardrobe', '6 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
