pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in BDA Colony, Bhopal","BDA Colony, Bhopal",₹37.5 Lac,"₹2,582 /sqft","1,452 sqft",(135 sqm),Plot Area,Ready To Move,Planning to build residence in bhopal? This plot in bda colony is the best deal for you. It spreads over 1452 sq.Ft. Super built up area. This property allows you to construct upto 2 floors. Expected possession of property immediately. The owner of the property has leasehold entitlement over the land. The asking price is only 37.5 lac. Negotiable. It's a east-Facing plot.,"Plot area 1452
(134.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 29.04 ft.(8.85 mt.)  
sq.ft.","₹ 37.5 Lac
@ 2,582 per sq.ft. (Negotiable) View Price Details","BDA Colony, Bhopal",East,2.0,,Immediate,No,,,,2 Floors,
"Residential land / Plot in Samardha, Bhopal",Signature S Nine,₹50 Lac,"₹3,641 /sqft","1,373 sqft",(128 sqm),Plot Area,Ready To Move,1373 square feet plot available in prime location hoshangabad road se 500 meters ke distance me covered campus colony me front row me available ha i,"Plot area 1373
(127.56 sq.m.)
l x b : 55.00 ft.(16.76 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 50 Lac
@ 3,641 per sq.ft. (All inclusive)","Signature S Nine
Samardha, Bhopal",,2.0,,Immediate    View Construction Status,Yes,,,,3 Floors,
"Residential land / Plot in Airport Road, Bhopal",Brij Dham smile city,₹10 Lac,₹811 /sqft,"1,232 sqft",(114 sqm),Plot Area,Ready To Move,Plot for sale in covered campus,"Plot area 1232
(114.46 sq.m.)  
sq.ft.","₹ 10 Lac
@ 811 per sq.ft. (All inclusive)","Brij Dham smile city
Airport Road, Bhopal",,1.0,,Immediate,Yes,Yes,,Yes,,
"Residential land / Plot in Mahawadiya, Bhopal",Fortune Tulip Greens,₹33 Lac,"₹3,000 /sqft","1,100 sqft",(102 sqm),Plot Area,Ready To Move,Plot for sale tulip green 1100 square feet size west facing ect,"Plot area 1100
(102.19 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 22.00 ft.(6.71 mt.)  
sq.ft.","₹ 33 Lac
@ 3,000 per sq.ft. View Price Details","Fortune Tulip Greens
Mahawadiya, Bhopal",West,1.0,,Immediate    View Construction Status,,Yes,,,2 Floors,
"Residential land / Plot in Katara Hills, Bhopal",Global Park City,₹42.51 Lac,"₹4,497 /sqft",945 sqft,(88 sqm),Plot Area,Ready To Move,Planning to build residence in bhopal? This plot in katara hills is the best deal for you. It spans over spectacular 945 sq.Ft. Super built up area. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. The property belongs to owner through freehold ownership. This residential plot is all yours for 42.51 lac. This plot is facing the east direction. The ...,"Plot area 945
(87.79 sq.m.)
l x b : 45.00 ft.(13.72 mt.) x 21.00 ft.(6.40 mt.)  
sq.ft.","₹ 42.51 Lac
@ 4,497 per sq.ft. View Price Details","Global Park City
Katara Hills, Bhopal",East,1.0,,Immediate,,,,Yes,2 Floors,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹5 Lac,₹556 /sqft,900 sqft,(84 sqm),Plot Area,Ready To Move,"I have a land available for sale in bypass road, moradabad. Available at price of rs 5 lacs. It has plot area of 100 sq yards. It is a freehold property","Plot area 100
(83.61 sq.m.)  
sq.yards","₹ 5 Lac
@ 5,000 per sq.yards","Bypass Road, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Kolar Road, Bhopal",Fortune Blue Ridge,₹27.72 Lac,"₹3,300 /sqft",840 sqft,(78 sqm),Plot Area,Ready To Move,Plot for sale kolar 6 lin man road colony fortune blue ridge close campus etc,"Plot area 840
(78.04 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 19.00 ft.(5.79 mt.)  
sq.ft.","₹ 27.72 Lac
@ 3,300 per sq.ft. View Price Details","Fortune Blue Ridge
Kolar Road, Bhopal",East,1.0,"Club,Park/Garden,Main Road,Others",Immediate    View Construction Status,,Yes,,,,
"Residential land / Plot in Bagmugaliya, Bhopal","Bagmugaliya, Bhopal",₹1.39 Cr,"₹5,800 /sqft","2,402 sqft",(223 sqm),Plot Area,Under Construction,"Covered campus, in gated society, near hospital, near school","Plot area 2402
(223.15 sq.m.)  
sq.ft.","₹ 1.39 Crore
@ 5,800 per sq.ft. View Price Details","Bagmugaliya, Bhopal",North,1.0,,Within 6 months,No,Yes,,,,
"Residential land / Plot in Indus Towne, Bhopal","Indus Towne, Bhopal",₹42 Lac,"₹3,500 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,Sell ...............Sell.........,"Plot area 1200
(111.48 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 42 Lac
@ 3,500 per sq.ft. (All inclusive, Negotiable)","Indus Towne, Bhopal",East,2.0,,Immediate,No,,,,,Yes
"Residential land / Plot in Airport Road, Bhopal","Airport Road, Bhopal",₹20 Lac,"₹2,157 /sqft",927 sqft,(86 sqm),Plot Area,Ready To Move,"We are proud owners of land available for sale in airport road, bhopal. Available at price of rs 2000000. It has plot area of 927 sq ft. It is a freehold property","Plot area 927
(86.12 sq.m.)  
sq.ft.","₹ 20 Lac
@ 2,157 per sq.ft.","Airport Road, Bhopal",East,,"Park/Garden,Others,Main Road",Immediate,Yes,Yes,,,,
"Residential land / Plot in Narela, Bhopal","Narela, Bhopal",₹50 Lac,"₹6,250 /sqft",800 sqft,(74 sqm),Plot Area,Ready To Move,"I have a land available for sale in plot no d 105 narela sankri ward no 63, bhopal. Available at price of rs 50 lacs. It has plot area of 800 sq ft. It is a freehold property","Plot area 800
(74.32 sq.m.)  
sq.ft.","₹ 50 Lac
@ 6,250 per sq.ft.","Narela, Bhopal",,,,Immediate,No,,,,,
"Residential land / Plot in New Market, Bhopal","New Market, Bhopal",₹55 Lac,"₹73,333 /sqft",75 sqft,(7 sqm),Plot Area,Ready To Move,"We are proud owners of land available for sale in new market, kolkata. Available at price of rs 55 lacs. It has super area of 75 sq ft. It is a leasehold property","Plot area 75
(6.97 sq.m.)  
sq.ft.","₹ 55 Lac
@ 73,333 per sq.ft.","New Market, Bhopal",,,,Immediate,No,,,,,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹6 Cr,"₹30,000 /sqft","2,000 sqft",(186 sqm),Plot Area,Ready To Move,"I am looking for buyer to purchase land available for sale in bypass road, meerut. Available at price of rs 6 crores. It has plot area of 2000 sq ft. It is a freehold property","Plot area 2000
(185.81 sq.m.)  
sq.ft.","₹ 6 Crore
@ 30,000 per sq.ft.","Bypass Road, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in New TT Nagar, Bhopal",new diamond city,₹21.12 Lac,"₹1,600 /sqft","1,320 sqft",(123 sqm),Plot Area,Ready To Move,"We have a land available for sale in new tt nagar, bhopal. Available at price of rs 2112000. It has plot area of 1320 sqft. It is a cooperative property","Plot area 1320
(122.63 sq.m.)  
sq.ft.","₹ 21.12 Lac
@ 1,600 per sq.ft.","new diamond city
New TT Nagar, Bhopal",,,,Immediate,Yes,,,,3 Floors,
"Residential land / Plot in Kalyanpur, Bhopal","Kalyanpur, Bhopal",₹30 Lac,"₹2,000 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Near to highway, mahakal estate commercial plot available for sale .1500sqft.","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 30 Lac+ Govt Charges & Tax
@ 2,000 per sq.ft. (All inclusive, Negotiable)","Kalyanpur, Bhopal",East,3.0,Park/Garden,Immediate,,,,,,Yes
"Residential land / Plot in Airport Road, Bhopal",Airport City,₹3 Lac,₹333 /sqft,900 sqft,(84 sqm),Plot Area,Ready To Move,Near from airport and a reputed cbse school,"Plot area 900
(83.61 sq.m.)  
sq.ft.","₹ 3 Lac+ Govt Charges & Tax
@ 333 per sq.ft. (All inclusive, Negotiable)","Airport City
Airport Road, Bhopal",,4.0,,Immediate,No,,,,,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹40 Lac,"₹2,352 /sqft","1,700 sqft",(158 sqm),Plot Area,Ready To Move,"We have a land available for sale in bypass road, agartala. Available at price of rs 40 lacs. It has plot area of 1700 sq ft. It is a freehold property","Plot area 1700
(157.94 sq.m.)  
sq.ft.","₹ 40 Lac
@ 2,352 per sq.ft.","Bypass Road, Bhopal",,,,Immediate,No,,,,,
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹42 Lac,"₹2,800 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Plot is situated in vindhya nagar near shiv lok bda road awadhpuri. Gated community .,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 42 Lac
@ 2,800 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",North,1.0,,Immediate,No,Yes,,,,
"Residential land / Plot in Karond Chouraha, Bhopal","Karond Chouraha, Bhopal",₹7.8 Lac,"₹1,300 /sqft",600 sqft,(56 sqm),Plot Area,Ready To Move,Location people's mall ke piche 2 kilometer ki duri par new project launch sabhi size ke plot uplabdh covered campus 30 chodi rcc road light pani nali men gate bank finance suvidha uplabdh 12 mah ki asan kisto par plot uplabdh diversion noc registry namantaran ke sath,"Plot area 600
(55.74 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 7.8 Lac
@ 1,300 per sq.ft. (Negotiable)","Karond Chouraha, Bhopal",East,2.0,"Others,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Bagli, Bhopal",JDN Kasturi Smart City,₹42.5 Lac,"₹4,000 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,1000 sqft plot for sale in katara hills,"Plot area 1000
(92.9 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 42.5 Lac
@ 4,000 per sq.ft. View Price Details","JDN Kasturi Smart City
Bagli, Bhopal",East,1.0,Park/Garden,,,Yes,,Yes,,
"Residential land / Plot in Sukhi Sewania, Bhopal","Sukhi Sewania, Bhopal",₹14 Lac,"₹1,400 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,"We are proud owners of land available for sale in sukhi sewania, bhopal. Available at price of rs 14 lacs. It has plot area of 1000 sq ft. It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 14 Lac
@ 1,400 per sq.ft.","Sukhi Sewania, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Morga, Bhopal","Morga, Bhopal",₹7.2 Lac,₹900 /sqft,800 sqft,(74 sqm),Plot Area,Ready To Move,Prime location par plot uplabdh hai morga airport city,"Plot area 800
(74.32 sq.m.)  
sq.ft.","₹ 7.2 Lac
@ 900 per sq.ft. (Negotiable)","Morga, Bhopal",East,2.0,"Main Road,Others",Immediate,,,,,,Yes
"Residential land / Plot in Sector A Shahpura, Bhopal","Sector A Shahpura, Bhopal",₹2.2 Cr,"₹7,333 /sqft","3,000 sqft",(279 sqm),Plot Area,Ready To Move,Best plot in shahpura bhopal location,"Plot area 3000
(278.71 sq.m.)  
sq.ft.","₹ 2.2 Crore
@ 7,333 per sq.ft. View Price Details","Sector A Shahpura, Bhopal",,1.0,,Immediate,Yes,,,,,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹18 Lac,"₹3,333 /sqft",540 sqft,(50 sqm),Plot Area,Ready To Move,"We have a land available for sale in bypass road, bareilly. Available at price of rs 18 lacs. It has plot area of 6 sq yards. It is a freehold property","Plot area 60
(50.17 sq.m.)  
sq.yards","₹ 18 Lac
@ 30,000 per sq.yards","Bypass Road, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Acharpura, Bhopal",iatkheri,₹5 Lac,₹833 /sqft,600 sqft,(56 sqm),Plot Area,Under Construction,Plot bechna hi jo ki akvm acharpura se lage indutial aria se lage huye hi ager kisi ko chahiye to sampark karo,"Plot area 600
(55.74 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 5 Lac
@ 833 per sq.ft. (Negotiable)","iatkheri
Acharpura, Bhopal",North-West,4.0,,By 2030,,,,Yes,0 Floors,
"Residential land / Plot in Airport Road, Bhopal","Airport Road, Bhopal",₹3.6 Cr,₹413 /sqft,"87,120 sqft","(8,094 sqm)",Plot Area,Ready To Move,"We are proud owners of land available for sale in airport road, bhopal. Available at price of rs 3.6 crores. It has plot area of 2 acres. It is a leasehold property","Plot area 2
(8093.72 sq.m.)  
acres","₹ 3.6 Crore
@ 1,80,00,000 per acres","Airport Road, Bhopal",,,,Immediate,No,,,,,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹1.5 Cr,"₹12,346 /sqft","1,215 sqft",(113 sqm),Plot Area,Ready To Move,"I have a land available for sale in bypass road, bareilly. Available at price of rs 1.5 crores. It has plot area of 135 sq yards. It is a freehold property","Plot area 135
(112.88 sq.m.)  
sq.yards","₹ 1.5 Crore
@ 1,11,111 per sq.yards","Bypass Road, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Kalara, Bhopal","Kalara, Bhopal",₹55.66 Lac,₹53 /sqft,"1,05,415 sqft","(9,793 sqm)",Plot Area,Under Construction,Es zameen k pass naddi lagi hoi h or fancing ho rahe hai bhopal se 32k. Duri par h zameen m full pani h koa h damar rod k pass h 20 fit ka rasta hai 1 km ki range m masjid or mandir h,"Plot area 2.42
(9793.4 sq.m.)  
acres","₹ 55.66 Lac
@ 23,00,000 per acres (Negotiable)","Kalara, Bhopal",North-East,1.0,Main Road,,,Yes,,Yes,,
"Residential land / Plot in Phanda, Bhopal","Phanda, Bhopal",₹25 Lac,₹467 /sqft,"5,350 sqft",(497 sqm),Plot Area,Ready To Move,"We are proud owners of land available for sale in fanda fatak, bhopal. Available at price of rs 25 lacs. It has plot area of 5350 sq ft. It is a freehold property","Plot area 5350
(497.03 sq.m.)  
sq.ft.","₹ 25 Lac
@ 467 per sq.ft.","Phanda, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Arera Colony, Bhopal",Pallvi Nagar,₹60.55 Lac,"₹5,000 /sqft","1,211 sqft",(113 sqm),Plot Area,Ready To Move,"An excellent opportunity to own a premium residential plot in one of bhopals most well-Developed and peaceful localities. Pallavi nagar, located in bawadia kalan, arera colony, offers a perfect balance of serenity and connectivity. Plot size: 1211 sq.Ft Ocation: Pallavi nagar, bawadia kalan, arera colony, bhopal Status: Ready for registry & construction Title: Clear title with all approvals Loc...","Plot area 1211
(112.51 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.20 ft.(9.20 mt.)  
sq.ft.","₹ 60.55 Lac
@ 5,000 per sq.ft. View Price Details","Pallvi Nagar
Arera Colony, Bhopal",West,1.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in ISRO Colony, Bhopal","ISRO Colony, Bhopal",₹9 Lac,"₹1,125 /sqft",800 sqft,(74 sqm),Plot Area,Under Construction,"Spacious, ready to build plot in isro colony, bhopal. It spans over spectacular 800 sq.Ft. Super built up area. This residential plot is ready to move. The property belongs to owner through freehold ownership. This residential plot is all yours for 9 lac.","Plot area 800
(74.32 sq.m.)  
sq.ft.","₹ 9 Lac
@ 1,125 per sq.ft.",", Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Airport Road, Bhopal","Airport Road, Bhopal",₹8 Lac,₹888 /sqft,900 sqft,(84 sqm),Plot Area,Ready To Move,"I am looking for buyer to purchase land available for sale in airport road, bhopal. Available at price of rs 800000. It has plot area of 900 sq ft. It is a freehold property","Plot area 900
(83.61 sq.m.)  
sq.ft.","₹ 8 Lac
@ 888 per sq.ft.","Airport Road, Bhopal",,,,Immediate,No,Yes,,,,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹50 Lac,"₹1,235 /sqft","4,050 sqft",(376 sqm),Plot Area,Ready To Move,"I am looking for buyer to purchase land available for sale in bypass road, bikaner. Available at price of rs 50 lacs. It has plot area of 450 sq ft. It is a freehold property","Plot area 450
(376.26 sq.m.)  
sq.yards","₹ 50 Lac
@ 11,111 per sq.yards","Bypass Road, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹1.12 Cr,"₹4,014 /sqft","2,790 sqft",(259 sqm),Plot Area,Ready To Move,"Property is unique, because gow mukhi, very auspicious property, lesser in the front and more in the back, resembling the face of cow. We are asking honest price for the invested amount we made in 2011. Looking forward for clients who wants to buy for their genuine need.","Plot area 2790
(259.2 sq.m.)
l x b : 68.00 ft.(20.73 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 1.12 Crore+ Govt Charges & Tax
@ 4,014 per sq.ft.","Hoshangabad Road, Bhopal",East,1.0,,Immediate,,Yes,,,,Yes
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",Price on Request,,"34,848 sqft","(3,237 sqm)",Plot Area,Ready To Move,"I have a land available for sale in bypass road, kottayam. Available at price of rs 150000 per cents. It has plot area of 80 cents. It is a freehold property","Plot area 80
(3237.6 sq.m.)  
cents","Price on Request
@ 1,50,000 per cents","Bypass Road, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Hinotiya Alam, Bhopal",Abhyudayam Janki Residency,₹45 Lac,"₹4,500 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,"Garden-Facing plots for sale prime location In abhyudayam janki society, before mansarovar college on 80-Ft main road.","Plot area 1000
(92.9 sq.m.)
l x b : 45.50 ft.(13.87 mt.) x 22.00 ft.(6.71 mt.)  
sq.ft.","₹ 45 Lac+ Govt Charges & Tax
@ 4,500 per sq.ft. View Price Details","Abhyudayam Janki Residency
Hinotiya Alam, Bhopal",East,1.0,Park/Garden,,,Yes,,Yes,,
"Residential land / Plot in Rohit Nagar, Bhopal","Rohit Nagar, Bhopal",₹67.5 Lac,"₹4,500 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"For sale 1500 sqft plot area north facing in rohit nagar phase 3 Price - 4500/sqft (67,50,000/-) (Abhinav)","Plot area 1500
(139.35 sq.m.)  
sq.ft.","₹ 67.5 Lac
@ 4,500 per sq.ft. View Price Details","Rohit Nagar, Bhopal",North,1.0,Park/Garden,Immediate,,Yes,,,,
"Residential land / Plot in Patel Nagar, Bhopal",IBD Raisina,₹45 Lac,"₹4,285 /sqft","1,050 sqft",(98 sqm),Plot Area,Ready To Move,Covered campus with all the development work done,"Plot area 1050
(97.55 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 21.00 ft.(6.40 mt.)  
sq.ft.","₹ 45 Lac
@ 4,285 per sq.ft. (Negotiable)","IBD Raisina
Patel Nagar, Bhopal",West,1.0,"Park/Garden,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Sarvdharm, Bhopal","Sarvdharm, Bhopal",₹1.2 Cr,"₹5,000 /sqft","2,400 sqft",(223 sqm),Plot Area,Ready To Move,"West facing plot sarvdharam b sect near vishal mega mart mandakini and near jain mandir also, Daimantion 40*60","Plot area 2400
(222.97 sq.m.)  
sq.ft.","₹ 1.2 Crore
@ 5,000 per sq.ft. (Negotiable)","Sarvdharm, Bhopal",West,1.0,,Immediate,Yes,,30.0 Feet,,,
"Residential land / Plot in Phase 2, Misrod, Bhopal",BDA Scheme Sector A,₹43.56 Lac,"₹4,500 /sqft",968 sqft,(90 sqm),Plot Area,Ready To Move,"For sale 968 sqft plot east facing bda scheme misrod phase 2 sector a hoshangabad road (Sardard vallabhbhai patel residential scheme) Price - 4500/sqft (43,56,000/-) (Kamlesh)","Plot area 968
(89.93 sq.m.)  
sq.ft.","₹ 43.56 Lac
@ 4,500 per sq.ft. View Price Details","BDA Scheme Sector A
, Bhopal",East,1.0,Park/Garden,Immediate,,Yes,,,,
"Residential land / Plot in Neelbad, Bhopal","Neelbad, Bhopal",₹31 Lac,"₹1,823 /sqft","1,700 sqft",(158 sqm),Plot Area,Ready To Move,1700 plot hai rate 1800 hai cavard caimpas hai shree ram colony hai light hai sivej line narmada ki line hai pani ki road se 100 mitar me hai plot,"Plot area 1700
(157.94 sq.m.)  
sq.ft.","₹ 31 Lac
@ 1,823 per sq.ft. (Negotiable)","Neelbad, Bhopal",,1.0,,Immediate,No,,,,,
"Residential land / Plot in Suraj Nagar, Bhopal","Suraj Nagar, Bhopal",₹1.1 Cr,"₹1,000 /sqft","11,000 sqft","(1,022 sqm)",Plot Area,Ready To Move,Plot for sale in suraj nagar is available in bhopal. This locality resonates with your modern lifestyle. The plot is around super built up area of 11000 sq.Ft. In size. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The type of ownership is freehold. The price of this massive plot...,"Plot area 11000
(1021.93 sq.m.)  
sq.ft.","₹ 1.1 Crore+ Govt Charges & Tax
@ 1,000 per sq.ft. (Negotiable)","Suraj Nagar, Bhopal",West,4.0,Main Road,Immediate,,,,,3 Floors,
"Residential land / Plot in Kolar Road, Bhopal",Danish Hills View,₹60 Lac,"₹6,000 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,New property in danish hills view kolar,"Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 60 Lac
@ 6,000 per sq.ft. (Negotiable) View Price Details","Danish Hills View
Kolar Road, Bhopal",North,1.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Bawadia Kalan, Bhopal","Bawadia Kalan, Bhopal",₹75 Lac,"₹5,000 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Check out this plot in bawadia kalan, bhopal, an ideal destination to build your dream residence. This 1500 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. Construction on this property can be easily done upto 2 floors. Immediately, possession of property can be transferred. The property is owned under freehold contract. The plot is available at a price of ...","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 75 Lac
@ 5,000 per sq.ft. (Negotiable) View Price Details","Bawadia Kalan, Bhopal",South,1.0,Park/Garden,,,Yes,,Yes,,
"Residential land / Plot in Kolar Road, Bhopal",Danish Hills View,₹75 Lac,"₹5,000 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Check out this plot in kolar road, bhopal, an ideal destination to build your dream residence. It spans over spectacular 1500 sq.Ft. Super built up area. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 75 lac. The owner is open for negotiation. It's a south-Facing plot.","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 75 Lac
@ 5,000 per sq.ft. (Negotiable) View Price Details","Danish Hills View
Kolar Road, Bhopal",South,1.0,"Park/Garden,Club",,,Yes,,Yes,,
"Residential land / Plot in Lalghati, Bhopal","Lalghati, Bhopal",₹1.63 Cr,"₹8,503 /sqft","1,911 sqft",(178 sqm),Plot Area,Ready To Move,Lalghati is an ideal location for buying residential plots in bhopal. This plot in lalghati is a great buy for you. It spreads over 1911 sq.Ft. Super built up area. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 1.63 crore. The owner is open for negotiation. The re...,"Plot area 1911
(177.54 sq.m.)  
sq.ft.","₹ 1.63 Crore
@ 8,503 per sq.ft. (Negotiable) View Price Details","Lalghati, Bhopal",East,1.0,,Immediate,,,,Yes,,Yes
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹39 Lac,"₹2,600 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Planning to purchase a plot in bhopal? This plot in awadhpuri is situated in one of the excellent locations of the city. The plot is around super built up area of 1500 sq.Ft. In size. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 39 lac. The owner is open for nego...,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 39 Lac
@ 2,600 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",South,1.0,Main Road,Immediate,,,,Yes,,
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹30 Lac,"₹2,631 /sqft","1,140 sqft",(106 sqm),Plot Area,Ready To Move,Plot for sale in awadhpuri is available in bhopal. This locality resonates with your modern lifestyle. The plot is around super built up area of 1140 sq.Ft. In size. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. The type of ownership is freehold. The price of this massive plot is just 30 lac. Further negotiations can be done. The residential plo...,"Plot area 1140
(105.91 sq.m.)  
sq.ft.","₹ 30 Lac
@ 2,631 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",South-East,1.0,Park/Garden,Immediate,,,,,2 Floors,
"Residential land / Plot in Misrod, Bhopal",Sage Nirvana Phase 1,₹66 Lac,"₹5,365 /sqft","1,230 sqft",(114 sqm),Plot Area,Ready To Move,Plot at good location in sage nirvana on hoshangabad road bhopal,,,,,,,,,,,,,
"Residential land / Plot in E 2 Arera Colony, Bhopal","E 2 Arera Colony, Bhopal",₹4.32 Cr,"₹18,000 /sqft","2,400 sqft",(223 sqm),Plot Area,Ready To Move,"Spacious, ready to build plot in e 2 arera colony, bhopal. It spreads over 2400 sq.Ft. Super built up area. Expected possession of property immediately. The type of ownership is freehold. The price of this massive plot is just 4.32 crore. Further negotiations can be done. This plot is facing the west direction.",,,,,,,,,,,,,
"Residential land / Plot in Bawadia Kalan, Bhopal",Shree Signature The Address,₹1.47 Cr,"₹10,500 /sqft","1,400 sqft",(130 sqm),Plot Area,Ready To Move,Plot for sale at prime location of rohit nagar in a covered campus with all modern amenities. It is large plot in a secured and standard campus. Best for residential purpose. Other options also available in covered campus. For more details contact komal.,"Plot area 1400
(130.06 sq.m.)  
sq.ft.","₹ 1.47 Crore
@ 10,500 per sq.ft. (All inclusive, Negotiable)","Shree Signature The Address
Bawadia Kalan, Bhopal",,2.0,,Immediate    View Construction Status,No,Yes,,,3 Floors,
"Residential land / Plot in Bawadia Kalan, Bhopal",Masters Residency,₹88 Lac,"₹7,652 /sqft","1,150 sqft",(107 sqm),Plot Area,Ready To Move,No brokerage plot for sale at prime location of bawadiya kalan in covered campus with all modern amenities and 3 big gardens. This is a garden facing plot and has 30 feet wide road with car parking facilities. For more details contact komal.,"Plot area 1150
(106.84 sq.m.)
l x b : 38.00 ft.(11.58 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 88 Lac
@ 7,652 per sq.ft. (All inclusive)","Masters Residency
Bawadia Kalan, Bhopal",East,1.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Gulmohar Colony, Bhopal","Gulmohar Colony, Bhopal",₹92 Lac,"₹7,666 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,Urgent plot for sale at prime location of gulmohar near hotel radisson and aura mall.This plot is located in a covered campus and is very close to main road and best suited for residential purpose .For more details contact komal.,"Plot area 1200
(111.48 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 92 Lac
@ 7,666 per sq.ft. View Price Details","Gulmohar Colony, Bhopal",,1.0,Main Road,Immediate,,,,Yes,3 Floors,
