pname,society,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area
"3 Bedroom House for sale in Ayodhya Nagar, Bhopal",phase vi,75.0,6818,Ready To Move,Located in geet mohini phase vi,"Plot area 1100
(102.19 sq.m.)  
sq.ft.",2,East,5 to 10 Year Old,"['1 Bed', '1 Fan', '1 Dining Table', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,3,2,Not Available,1100.03
"4 Bedroom House for sale in Bypass Road, Bhopal",bypass road,50.0,2500,Ready To Move,"We have a house/villa available for sale in bypass road, orai. Available at price of rs 50 lacs. It has plot area of 2000 sq ft. It has 4 bhk, 3 bathroom, 0 balcony.It is a freehold property","Plot area 2000
(185.81 sq.m.)  
sq.ft.",1,NA,5 to 10 Year Old,,,,4,3,0,Not Available,2000.0
"1 Bedroom House for sale in Bypass Road, Bhopal",bypass road,20.0,1481,Ready To Move,"We have a house/villa available for sale in bypass road, unnao. Available at price of rs 20 lacs. It has plot area of 1350 sq ft. It has 1 bhk, 1 bathroom, 1 balcony.It is a freehold property","Plot area 1350
(125.42 sq.m.)  
sq.ft.",1,NA,1 to 5 Year Old,,,,1,1,1,Not Available,1350.44
"4 Bedroom House for sale in Bagli, Bhopal",kajibaag,300.0,12000,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in bagli, kashipur. Available at price of rs 3 crores. It has plot area of 2500 sq ft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 2500
(232.26 sq.m.)  
sq.ft.",1,NA,10+ Year Old,,,,4,3,1,Not Available,2500.0
"6 Bedroom House for sale in Shakti Nagar, Bhopal",shakti nagar,200.0,13333,Ready To Move,House for sale 1500 sq. Ft. | prime location (Shakti nagar),"Plot area 1500
(139.35 sq.m.)  
sq.ft.",2,NA,10+ Year Old,,['Water Storage'],,6,6,1,Not Available,1500.04
"2 Bedroom House for sale in Kolar Road, Bhopal",sarvadharm colony,45.0,3750,Ready To Move,"We have a house/villa available for sale in kolar road, bhopal. Available at price of rs 45 lacs. It has plot area of 1200 sq ft. It has 2 bhk, 3 bathroom, 2 balcony.It is a freehold property","Plot area 1200
(111.48 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,2,3,2,Not Available,1200.0
"2 Bedroom House for sale in Sukhi Sewania, Bhopal",bhavishya metro city,25.0,2222,Ready To Move,A residential colony on vidisha road,"Plot area 1125
(104.52 sq.m.)  
sq.ft.",1,North,5 to 10 Year Old,"['2 Wardrobe', '1 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Park'],Park/Garden,2,2,0, others,1125.11
"3 Bedroom House for sale in Arera Colony, Bhopal",dk devsthali,135.0,10384,Ready To Move,Duplex for sale at prime location of bawadiya kalan near dana pani restaurant and new bridge in covered campus with all modern amenities and at reasonable price with parking space and east facing. For more details contact komal.,"Plot area 1300
(120.77 sq.m.)  
sq.ft.",3,NA,0 to 1 Year Old,"['1 Geyser', '1 Chimney', '1 Microwave', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Park', 'Rain Water Harvesting']",Park/Garden,3,3,2," pooja room,servant room",1300.08
"6 Bedroom House for sale in Shirdipuram, Bhopal",agrawal sagar premium towers,90.0,9000,Ready To Move,"We have a house/villa available for sale in kolar road, bhopal. Available at price of rs 90 lacs. It has plot area of 1000 sq ft. It has 6 bhk, 10 bathroom, balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.",2,NA,0 to 1 Year Old,,,,6,10,0,Not Available,1000.0
"3 Bedroom House for sale in Katara Hills, Bhopal",global park city,70.0,6666,Ready To Move,"I have a house/villa available for sale in katara hills, bhopal. Available at price of rs 70 lacs. It has plot area of 1050 sq ft. It has 3 bhk, 2 bathroom, 1 balcony. Mob 93407 and 54253 it is a freehold property","Plot area 1050
(97.55 sq.m.)  
sq.ft.",2,East,5 to 10 Year Old,,,,3,2,1,Not Available,1050.11
"3 Bedroom House for sale in Airport Road, Bhopal",airport road,135.0,10800,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in airport road, a well-Planned and well-Connected locality in bhopal. This residential property boasts proximity to key landmarks like close to school, close to hospital, close to market and close to airport. The house has over super built up area of 1250 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 2 balconies. Another added advantage of this 10+ years old house is that it is available for immediate possession. The type of ownership of this property is freehold. The price of this spacious independent house is 1.35 crore. Borewell/tank provides a regular supply of water to this residential house. The residential house is north-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 1250
(116.13 sq.m.)  
sq.ft.",2,North,10+ Year Old,,"['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Bank Attached Property', 'Natural Light', 'Airy Rooms']",Main Road,3,2,2,Not Available,1250.0
"3 Bedroom House for sale in Karamveer Nagar, Bhopal",bharat nagar karam veer nagar,125.0,8333,Ready To Move,Duplex for sale in karam veer nagar 1500 sq.Ft,"Plot area 1500
(139.35 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,3,2,2,Not Available,1500.06
"5 Bedroom House for sale in 1100 Quarters Arera Colony, Bhopal",1100 quarters arera colony,165.0,9166,Ready To Move,Very good location arera colony,"Plot area 1800
(167.23 sq.m.)  
sq.ft.",2,East,5 to 10 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",Park/Garden,5,4,2," pooja room,study room",1800.13
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",aakriti aqua city,36.9,5271,Ready To Move,"Airy rooms open balcony and modular kitchen and a car parking area just after the gate is opened. The flooring is of tiles. Pollution free area and parks of the colony offer a healthy environment and chance of spending l life with full qualitative style. So, grab the opportunity and book it before some other do so.","Plot area 700
(65.03 sq.m.)
Built Up area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.",1,NA,5 to 10 Year Old,,"['Park', 'Natural Light']",,3,3,1,Not Available,700.06
"4 Bedroom House for sale in Lalghati, Bhopal",globus greens,210.0,14000,Ready To Move,"We are proud owners of house/villa available for sale in nayapura, bhopal. Available at price of rs 2.1 crores. It has plot area of 1500 sq ft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 1500
(139.35 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,4,3,1,Not Available,1500.0
"5 Bedroom House for sale in Kohefiza, Bhopal",housing board colony,125.0,12500,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in housing board colony, bhopal. Available at price of rs 1.25 crores. It has plot area of 1000 sq ft. It has 5 bhk, 4 bathroom, 1 balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.",2,NA,1 to 5 Year Old,,,,5,4,1,Not Available,1000.0
"3 Bedroom House for sale in Kunjan nagar phase 1, Bhopal",kunjan nagar phase 1,75.0,7894,Ready To Move,"Kunjan nagar well-Connected residential pocket off hoshangabad road, bhopal","Plot area 950
(88.26 sq.m.)  
sq.ft.",,East,0 to 1 Year Old,,['Water Storage'],Main Road,3,2,1,Not Available,950.09
"2 Bedroom House for sale in Awadhpuri, Bhopal",girnar hills,40.0,7142,Ready To Move,For sale: 2bhk duplex garden facing (16x35 ft),"Plot area 560
(52.03 sq.m.)  
sq.ft.",2,North,1 to 5 Year Old    View Construction Status,,"['Private Garden / Terrace', 'Water Storage', 'Park']","Park/Garden,Main Road",2,2,1,Not Available,560.07
"6 Bedroom House for sale in Bawadia Kalan, Bhopal",priyadarshini the athenaeum,515.0,17758,Ready To Move,Plot with structure,"Plot area 2900
(269.42 sq.m.)
Built Up area: 7000 sq.ft. (650.32 sq.m.)  
sq.ft.",4,East,0 to 1 Year Old,,"['Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Visitor Parking']",,6,7,3,Not Available,2900.1
"9 Bedroom House for sale in Rachna Nagar, Bhopal",rachna nagar,180.0,3830,Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 9 bhk house in rachna nagar, which is an ideal choice for a family. Containing 9 bedrooms, 7 bathrooms , this independent house is spread over a built up area of 4700 sq.Ft. This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.8 crore, you can become the proud owner of this independent house.","Built Up area: 4700
(436.64 sq.m.)  
sq.ft.",3,NA,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,9,7,0,Not Available,4699.74
"2 Bedroom House for sale in Sector C Shahpura, Bhopal",sector c shahpura,35.0,7777,Ready To Move,"A well maintained east and garden facing duplex for sale at the very prime area of sahpura near bansal hospital ,","Plot area 450
(41.81 sq.m.)  
sq.ft.",2,East,10+ Year Old,,"['Private Garden / Terrace', 'False Ceiling Lighting', 'Park', 'Visitor Parking']",Park/Garden,2,2,1, pooja room,450.05
"5 Bedroom House for sale in B sector shahpura, Bhopal",b sector shahpura,1100.0,20560,Ready To Move,Vip address,"Plot area 5350
(497.03 sq.m.)
Built Up area: 4000 sq.ft. (371.61 sq.m.)  
sq.ft.",2,East,10+ Year Old,"['5 Wardrobe', '2 Geyser', '4 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Low Density Society']",Main Road,5,5,3," pooja room,servant room,store room,study room",5350.19
"3 Bedroom House for sale in Samardha, Bhopal",sage milestone,84.0,5250,Ready To Move,"Park facing , prime property on hoshangabad main road. Park, childrens play area, club house are some of the amenities. Sage shopping mall and upcoming proposed metro are adjacent to the property. The campus is well maintained with top notch security. Its on the main road and that adds more value to the project.","Plot area 850
(78.97 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.",2,North,0 to 1 Year Old,"['1 Bed', '1 Wardrobe', '3 Fan', '3 Geyser', '6 Light', '1 AC', '1 Curtains', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",Park/Garden,3,3,1,Not Available,1600.0
"3 Bedroom House for sale in Karond, Bhopal",globus coral casa,75.0,6944,Ready To Move,Independent house at best location and in best campus.,"Plot area 1008
(93.65 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,"['1 Bed', '2 Wardrobe', '3 Fan', '1 Exhaust Fan', '2 Geyser', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Visitor Parking']",,3,3,2,Not Available,1080.07
"3 Bedroom House for sale in Awadhpuri, Bhopal",vayu royal enclave 1,56.0,7000,Ready To Move,3 bhk semi furnished duplex close campus vayu enclave avadhpuri bhopal,"Plot area 800
(74.32 sq.m.)  
sq.ft.",,North,1 to 5 Year Old,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '6 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",Park/Garden,3,3,2," pooja room,others",800.0
"3 Bedroom House for sale in Bawadia Kalan, Bhopal",aakriti eco city,125.0,11061,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in bawadia kalan, a well-Planned and well-Connected locality in bhopal. The house has over super built up area of 1130 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. There is 1 covered & 1 open parking available with this house. Being a ready to move house, you can expect immediate possession of this 5-10 years old property. The nature of ownership of this independent house is freehold. This independent house is available at an attractive price of 1.3 crore. Many of the modern amenities being offered, like maintenance staff, visitor parking and park, will provide a pleasant living experience for you. The house provides continuous water supply from municipal corporation and borewell/tank. This is a east-Facing property. The house comes well built with vitrified flooring options.","Plot area 1130
(104.98 sq.m.)  
sq.ft.",2,East,5 to 10 Year Old,"['3 Fan', '1 Exhaust Fan', '2 Geyser', '5 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,3,3,2,Not Available,1130.1
"4 Bedroom House for sale in Chuna Bhatti, Bhopal",chuna bhatti,250.0,11363,Ready To Move,Best duplex in chuna bhatti bhopal location,"Plot area 2200
(204.39 sq.m.)  
sq.ft.",,NA,1 to 5 Year Old,"['4 Fan', '1 Fridge', '1 Dining Table', '1 Washing Machine', '1 Microwave', '3 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Exhaust Fan', 'No Geyser', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Waste Disposal', 'Club house / Community Center', 'Rain Water Harvesting']","Pool,Others,Park/Garden,Club,Main Road",4,4,2," pooja room,store room,study room,servant room",2200.12
"3 Bedroom House for sale in Jatkhedi, Bhopal",abdl aashima anupama city,71.0,9659,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in jatkhedi, a well-Planned and well-Connected locality in bhopal. This house occupies a super built up area of 735 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. This 3 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under freehold contract. By paying just 71 lac, you can become the proud owner of this independent house. Many of the modern amenities being offered, like park, maintenance staff and visitor parking, will provide a pleasant living experience for you. The house provides a continuous supply of water for its residents. This is a east-Facing property. The house comes well built with marble flooring options.","Plot area 735
(68.28 sq.m.)  
sq.ft.",2,East,1 to 5 Year Old    View Construction Status,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']",Park/Garden,3,3,2,Not Available,735.07
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",globus coral cottages,120.0,9090,Ready To Move,Near school c21 mall hospitals and market,"Plot area 1320
(122.63 sq.m.)  
sq.ft.",2,East,1 to 5 Year Old,"['2 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Park', 'Rain Water Harvesting']","Park/Garden,Main Road",4,4,2,Not Available,1320.13
"4 Bedroom House for sale in Gulmohar Colony, Bhopal",gulmohar colony,137.0,8562,Ready To Move,Duplex for sale at prime location of bawadiya kalan near dana pani bridge and gulmohar. This duplex is in a covered campus with jain mandir nearby and is best suited for residential purposes.,"Plot area 1600
(148.64 sq.m.)  
sq.ft.",2,NA,1 to 5 Year Old,"['1 Bed', '1 Wardrobe', '1 Geyser', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",Park/Garden,4,3,2," pooja room,study room",1600.09
"2 Bedroom House for sale in Khajuri Kalan , Bhopal",khajuri kalan,25.0,4166,Ready To Move,"1 hall, 2 bedrooms, kitchen lat bath.","Plot area 600
(55.74 sq.m.)  
sq.ft.",1,NA,10+ Year Old,,,,2,1,0,Not Available,600.1
"6 Bedroom House for sale in Ayodhya Bypass , Bhopal",ayodhya bypass,320.0,8000,Ready To Move,"Do you wish to buy an independent house in ayodhya bypass , bhopal. This 6 bhk house looks like an ideal choice for somebody looking for peace of mind. The house has over built up area of 4000 sq.Ft. And comes with 6 bedrooms, 5 bathrooms . This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 3.2 crore.","Built Up area: 4000
(371.61 sq.m.)
Carpet area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.",1,NA,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,6,5,0,Not Available,4000.0
"3 Bedroom House for sale in BDA Colony, Bhopal",bda colony,35.0,7000,Ready To Move,House for sale perfect family home in a prime location!,"Plot area 500
(46.45 sq.m.)  
sq.ft.",2,South-East,1 to 5 Year Old,"['3 Wardrobe', '1 TV', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],,3,2,2,Not Available,500.0
"4 Bedroom House for sale in Bawadia Kalan, Bhopal",fortune glory extension 2,130.0,8888,Ready To Move,"Duplex for sale at prime location of bawadiya kalan near aura mall and tilak nagar. It is located in a covered campus with all modern amenities and 4 gardens,hospital and banks are nearby. For more details contact komal.","Plot area 1300
(120.77 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,"['1 Wardrobe', '1 Sofa', '1 Geyser', '1 Washing Machine', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Water Purifier']","['Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,4,4,2," pooja room,others",1462.65
"4 Bedroom House for sale in Salaiya, Bhopal",salaiya,80.0,8264,Ready To Move,Newly constructed 4bhk duplex for sale at prime location of bawadiya kalan near sagar public school and flamingo campus. It is a semi furnished duplex with a garden nearby and is very close to main road. For more details contact komal,"Plot area 968
(89.93 sq.m.)  
sq.ft.",2,East,0 to 1 Year Old,"['1 Wardrobe', '1 Bed', '1 TV', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Waste Disposal', 'Rain Water Harvesting']",Park/Garden,4,3,2," study room,servant room",968.05
"2 Bedroom House for sale in Ratibad, Bhopal",ratibad,16.0,2123,Ready To Move,This house is separate and near road,"Plot area 730
(67.82 sq.m.)  
sq.ft.",1,NA,0 to 1 Year Old,,,,2,2,1,Not Available,753.65
"4 Bedroom House for sale in Adarsh Colony, Bhopal",adarsh colony,73.95,7395,Ready To Move,Corner plot maine road near by airport covered campus,"Plot area 1000
(92.9 sq.m.)
Built Up area: 1700 sq.ft. (157.94 sq.m.)  
sq.ft.",2,East,5 to 10 Year Old,"['1 Fan', '1 Exhaust Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']",,4,2,2,Not Available,1000.0
"3 Bedroom House for sale in Kolar Road, Bhopal",ultimate english villa,63.0,7875,Ready To Move,"East facing, park facing, corner, society is on the main 6 lane road, club house, gated society.","Plot area 800
(74.32 sq.m.)  
sq.ft.",2,East,5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","Pool,Club,Main Road,Park/Garden,Others",3,3,3," pooja room,study room",800.0
"2 Bedroom House for sale in Bypass Road, Bhopal",bypass road,22.0,2328,Ready To Move,"We have a house/villa available for sale in bypass road, meerut. Available at price of rs 22 lacs. It has plot area of 944.841 sq ft. It has 2 bhk, 2 bathroom, 1 balcony.It is a freehold property","Plot area 944.85
(87.78 sq.m.)  
sq.ft.",1,NA,0 to 1 Year Old,,,Park/Garden,2,2,1,Not Available,945.02
"4 Bedroom House for sale in Awadhpuri, Bhopal",awadhpuri,260.0,3250,Ready To Move,"This 4 bhk house for sale in awadhpuri, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. This house occupies a super built up area of 8000 sq.Ft. And contains 4 bedrooms, 4 bathrooms and 3 balconies. This 4 bhk house comes attached with 6 covered and 2 open parking for your vehicle(s). Another added advantage of this 1-5 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. The property is available for sale at a competitive price of 2.6 crore. Many of the modern amenities being offered, like swimming pool, will provide a pleasant living experience for you. The house provides continuous water supply from borewell/tank. This is a west-Facing property. The house comes well built with marble flooring options.","Plot area 8000
(743.22 sq.m.)  
sq.ft.",2,West,1 to 5 Year Old,,"['Swimming Pool', 'Separate entry for servant room', 'Piped-gas']","Park/Garden,Pool,Club,Main Road",4,4,3," others,servant room,pooja room,study room",8000.0
"4 Bedroom House for sale in E 7 Arera colony, Bhopal",e 7 arera colony,200.0,11111,Ready To Move,Best villa in arera colony bhopal,"Plot area 1800
(167.23 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,"['5 Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Pool,Others,Park/Garden,Club,Main Road",4,3,2," pooja room,store room,study room,servant room",1800.02
"4 Bedroom House for sale in E 7 Arera colony, Bhopal",e 7 arera colony,350.0,14510,Ready To Move,Prime location near to 11 nos market can be used as semicommercial or commercial. Good for restaurant hotel hospital clinic,"Plot area 2412
(224.08 sq.m.)  
sq.ft.",2,North,10+ Year Old,,"['Water Storage', 'Visitor Parking', 'Waste Disposal']",Main Road,4,4,3," pooja room,study room,servant room",2412.13
"4 Bedroom House for sale in Shakti Nagar, Bhopal",shakti nagar,375.0,9375,Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in shakti nagar, bhopal seems to be an ideal choice for a peaceful abode for a family. Constructed on a super built up area of 4000 sq.Ft., this house comprises 4 bedrooms, 4 bathrooms and 3 balconies. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This 10+ years old property is available for immediate possession as the house is ready to move. It is a leasehold property. This spacious house can be all yours at an attractive price of 3.75 crore. You enjoy a 24*7 water supply in your house. This independent house is facing the east direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 4000
(371.61 sq.m.)  
sq.ft.",2,East,10+ Year Old,,,"Park/Garden,Main Road",4,4,3, servant room,4000.0
"3 Bedroom House for sale in Awadhpuri, Bhopal",draupadi shivlok phase 5,60.0,6024,Ready To Move,"Do you wish to buy an independent house in awadhpuri, bhopal. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a super built up area of 996 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 3 balconies. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 60 lac. Borewell/tank provides a regular supply of water to this residential house. The residential house is north-West-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.","Plot area 996
(92.53 sq.m.)  
sq.ft.",2,North-West,1 to 5 Year Old,"['1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '1 Light', '1 Modular Kitchen', '1 TV', '1 Chimney', '1 Curtains', '1 AC', '1 Wardrobe', '1 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave']",,"Club,Main Road,Park/Garden",3,3,3,Not Available,996.02
