society,colony,property_type,price,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,mainarea,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
ruchi lifescapes,hoshangabad road,Flat,31.99,2285,1.0,East,3,2,2,1400.0,0,0,0,0,0,0,1,55,Amenity Facing Homes
ishita paradise,habib ganj,Flat,27.99,2883,0.0,South-East,3,2,1,971.0,0,0,0,0,0,1,1,3,Road Facing Homes
hoshangabad road,hoshangabad road,House,215.0,5375,3.0,North,5,4,2,4000.0,0,1,0,1,0,0,0,48,Green View Homes
ujjawala aamra valley,kolar road,Flat,27.22,3512,2.0,South-West,2,2,2,775.0,0,0,0,0,0,0,0,41,Amenity Facing Homes
bhanpur,karond,House,24.0,2000,2.0,,4,2,0,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
sagar life style towers,bawadia kalan,Flat,12.21,3488,5.0,North,1,1,1,350.0,0,0,0,0,0,0,1,74,Amenity Facing Homes
somya park land,awadhpuri,Flat,23.99,2555,3.0,East,2,2,2,939.0,0,0,0,0,0,0,1,23,Green View Homes
oceanic towers,bhopal,Flat,28.0,3733,3.0,,2,2,0,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
fortune soumya heritage,misrod,Flat,25.49,2712,2.0,,2,2,0,940.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
asnani spring valley dew,katara hills,Flat,25.99,2166,3.0,North-West,2,2,0,1200.0,0,0,0,0,0,0,1,56,Amenity Facing Homes
nirman sudhas parn kuti parisar,gandhinagar,Flat,30.0,4000,2.0,,2,1,3,750.0,0,0,0,0,0,0,1,4,Road Facing Homes
gopal nagar,patel nagar,House,44.69,6875,1.0,East,2,2,0,650.0,0,0,0,0,0,0,1,13,Road Facing Homes
karond bye pass road,karond,House,60.0,4000,,North-East,2,2,1,1500.0,0,0,0,0,0,0,1,10,Road Facing Homes
jharneshwar complex,central bhopal,Flat,32.9,4700,0.0,North-East,2,1,1,700.0,0,0,0,0,0,0,0,3,Road Facing Homes
kolar road,kolar road,House,130.0,8125,2.0,West,3,3,2,1600.0,1,0,0,1,1,0,1,34,Premium Scenic Homes
fast track heavens life,katara hills,Flat,36.0,3750,2.0,East,3,2,2,960.0,0,0,0,0,0,0,1,62,Green View Homes
mahabali nagar,gehu kheda,House,45.0,3947,2.0,East,2,3,1,1140.0,0,0,0,0,0,0,1,0,Road Facing Homes
amrit bindras pebble bay,bagmugaliya,House,664.96,12314,3.0,North,7,8,2,5400.0,0,1,0,1,1,0,2,23,Amenity Facing Homes
fortune pride extension,shahpura,House,174.99,11666,2.0,,5,3,1,1500.0,0,0,0,0,1,0,1,24,Green View Homes
shanti enclave,gandhinagar,House,42.0,5250,2.0,,3,3,2,800.0,0,0,0,0,0,0,1,9,Road Facing Homes
shaligram rudraksh park phase 2,bawadia kalan,Flat,55.0,5000,5.0,South-West,3,3,2,1100.0,0,0,0,0,0,0,1,50,Amenity Facing Homes
paras urbane park,bawadia kalan,Flat,236.94,10909,2.0,West,5,5,2,2172.0,0,0,0,0,0,0,0,124,Green View Homes
fast track heavens life,katara hills,House,125.0,5830,2.0,East,4,4,1,2144.0,0,0,0,0,1,0,1,16,Green View Homes
sheetal dham society,mandideep,Flat,20.0,2666,1.0,,2,2,1,750.0,0,0,0,0,0,0,1,35,Amenity Facing Homes
fourtune divin city,misrod,Flat,41.0,4505,4.0,,3,2,2,910.0,0,0,0,0,0,0,0,0,Road Facing Homes
fortune kasturi,misrod,Flat,10.0,3333,2.0,,1,1,1,300.0,0,0,0,0,0,0,1,46,Road Facing Homes
drishti enclave,bawadia kalan,Flat,55.99,3708,1.0,East,3,3,2,1510.0,0,0,0,0,0,0,1,28,Green View Homes
western courtyard,shirdipuram,Flat,94.99,4691,4.0,,4,4,1,2025.0,0,0,0,0,1,0,0,27,Road Facing Homes
sheetal dham,hoshangabad road,Flat,18.0,3000,3.0,East,1,1,1,600.0,0,0,0,0,1,0,1,53,Amenity Facing Homes
fortune soumya atlantis,katara hills,Flat,20.5,2562,6.0,,2,2,1,800.0,0,0,0,0,0,0,0,42,Amenity Facing Homes
agrawal sagar premium towers,shirdipuram,Flat,56.95,4411,7.0,,4,3,1,1291.0,0,0,0,0,0,0,0,98,Green View Homes
b sector shahpura,shahpura,House,289.99,12083,2.0,,3,3,3,2400.0,0,0,0,0,0,0,1,38,Road Facing Homes
windsor palms,kolar road,House,96.25,6875,2.0,West,3,3,2,1400.0,0,0,0,0,0,0,1,12,Green View Homes
samriddhi apartment,kolar road,Flat,23.0,2875,2.0,,2,2,1,800.0,0,0,0,0,0,0,1,13,Road Facing Homes
lala lajpat rai society,arera colony,House,224.96,16000,3.0,,5,6,3,1406.0,0,0,0,0,0,0,1,0,Road Facing Homes
aakar canal kinship,bawadia kalan,Flat,41.48,3771,1.0,East,3,2,2,1100.0,0,0,0,0,0,0,1,28,Amenity Facing Homes
tirupati nand vihar,katara hills,Flat,25.0,3125,3.0,West,2,2,2,800.0,0,0,0,0,0,0,1,23,Green View Homes
signature 360,katara hills,Flat,50.0,3333,2.0,,3,3,2,1500.0,0,0,0,0,0,0,1,34,Amenity Facing Homes
chopra kalan vidisha road,bhopal,House,45.0,3750,1.0,South-West,2,2,1,1200.0,0,0,0,1,0,0,0,53,Road Facing Homes
new minal residency,ayodhya nagar,House,135.0,8789,2.0,East,4,4,2,1536.0,0,0,0,1,0,0,1,3,Green View Homes
housing board,bhopal,House,20.45,4545,0.0,South,1,1,0,450.0,0,0,0,0,0,0,1,10,Road Facing Homes
fortune soumya heritage,misrod,Flat,27.5,2925,2.0,,2,2,0,940.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
shri aadinath parisar,bhopal,House,25.0,3676,1.0,,1,2,0,680.0,0,0,0,0,0,0,1,0,Road Facing Homes
rajharsh colony kolar road,kolar road,House,40.0,6666,1.0,,4,4,1,600.0,0,0,1,0,0,0,1,3,Road Facing Homes
ultimate sky villas,bawadia kalan,Flat,250.0,10000,6.0,,5,4,3,2500.0,0,0,0,0,0,0,0,18,Green View Homes
regal mohini homes,awadhpuri,House,120.0,7500,2.0,East,3,2,2,1600.0,0,0,0,0,1,0,1,22,Road Facing Homes
shankar nagar,bhopal,House,548.16,18272,2.0,North,6,6,3,3000.0,1,0,0,0,1,0,0,26,Road Facing Homes
faith imperial heights,kolar road,Flat,18.0,1969,3.0,,3,2,3,914.0,0,0,0,0,0,0,1,17,Green View Homes
landmark the prospera,bagmuliya,Flat,58.0,3515,3.0,North,3,2,1,1650.0,0,0,0,0,0,0,0,46,Amenity Facing Homes
bawadia kalan,bawadia kalan,House,61.0,6100,,South-East,3,2,2,1000.0,1,0,0,1,1,0,1,3,Green View Homes
shri rameshwaram,bagmuliya,House,799.9,7434,2.0,East,6,6,2,10760.0,1,1,1,1,0,0,0,85,Amenity Facing Homes
shaligram rudraksh park phase 2,bawadia kalan,Flat,35.49,4015,6.0,East,2,2,1,884.0,0,0,0,0,0,0,1,45,Amenity Facing Homes
ruchi lifescape,misrod,House,107.98,5966,2.0,East,4,4,3,1810.0,0,0,0,0,0,0,1,16,Green View Homes
krishna nagar street no 2,bypass road,House,16.0,2909,1.0,,1,1,1,550.0,0,0,0,0,0,0,1,0,Road Facing Homes
chitransh sai vihar  semrikalan,kolar road,House,65.0,6280,2.0,East,3,2,1,1035.0,0,0,0,0,0,0,1,0,Green View Homes
shri balaji swastik grand,misrod,Flat,53.68,3267,2.0,East,3,4,1,1643.0,0,1,0,0,0,0,2,75,Amenity Facing Homes
covered campus,kolar road,Flat,16.0,2051,5.0,North-East,2,2,2,780.0,0,0,0,0,0,0,0,43,Road Facing Homes
lakhumal nikhil nestles,hoshangabad road,Flat,42.52,2953,1.0,South-West,3,3,3,1440.0,1,1,0,1,1,0,2,136,Premium Scenic Homes
rsr opel regency,bawadia kalan,Flat,55.0,5467,2.0,North-East,3,2,2,1006.0,0,0,0,0,0,0,0,54,Road Facing Homes
sehore road,bhopal,House,249.99,16666,3.0,,4,4,3,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
essarjee sampada,khajuri kalan,Flat,17.0,2266,5.0,,2,2,3,750.0,0,0,0,0,0,0,1,22,Amenity Facing Homes
fortune soumya heritage,hoshangabad road,House,118.5,7500,2.0,West,3,3,1,1580.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
sagar royal homes,bagmugaliya,House,236.92,10769,2.0,North,4,4,2,2200.0,0,0,0,0,0,0,1,63,Amenity Facing Homes
shahpura,shahpura,House,44.99,4090,1.0,,4,2,0,1100.0,0,0,0,0,0,0,1,9,Green View Homes
amaltas hill view society,katara hills,Flat,25.5,2931,3.0,North-West,2,2,2,870.0,0,0,0,0,0,0,0,38,Road Facing Homes
neelbad,neelbad,House,30.0,4000,1.0,East,2,2,0,750.0,0,0,0,0,0,0,1,13,Road Facing Homes
ibd hallmark citii,mahawadiya,Flat,13.88,2547,3.0,,2,2,2,545.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
maa parvati nagar,gehu kheda,House,239.12,11956,3.0,North,7,6,2,2000.0,0,0,0,0,0,0,1,21,Green View Homes
kailash nagar,bhopal,House,75.0,8333,2.0,East,5,5,3,900.0,0,0,0,0,0,0,1,0,Green View Homes
new minal residency,ayodhya nagar,House,129.99,8463,2.0,West,4,4,2,1536.0,0,0,0,1,0,0,1,3,Green View Homes
awadhpuri,awadhpuri,House,60.0,6000,2.0,West,3,3,1,1000.0,0,0,0,0,0,0,1,23,Amenity Facing Homes
airport road,gandhinagar,House,99.99,8583,2.0,North,3,3,2,1165.0,0,0,0,0,1,0,2,104,Amenity Facing Homes
mphid dwarika parisar,bagmugaliya,Flat,46.66,3428,5.0,East,3,3,2,1361.0,0,0,0,0,1,0,0,77,Road Facing Homes
rivera hights,central bhopal,Flat,54.99,8208,6.0,,2,2,1,670.0,0,0,0,0,0,0,0,0,Road Facing Homes
tirupati abhinav homes,ayodhya bypass,House,270.0,6000,2.0,West,4,5,2,4500.0,0,1,0,1,0,0,0,31,Amenity Facing Homes
bda colony,awadhpuri,House,45.18,4518,0.0,,2,1,0,1000.0,0,0,1,1,0,0,1,13,Road Facing Homes
asnani spring valley dew,katara hills,Flat,36.75,4900,4.0,,2,2,2,750.0,0,0,0,0,0,0,1,56,Amenity Facing Homes
aashima royal city,hoshangabad road,Flat,41.0,3037,5.0,,3,2,2,1350.0,0,0,0,0,0,0,1,46,Amenity Facing Homes
parshav apartment,karond,Flat,22.5,3214,5.0,East,2,2,2,700.0,0,0,0,0,0,0,1,48,Green View Homes
chinar woodlands,chuna bhatti,Flat,37.99,6724,1.0,,2,2,2,565.0,0,0,0,0,0,0,1,0,Road Facing Homes
shri krishna campus,gehu kheda,Flat,19.0,2235,4.0,North-East,2,2,1,850.0,0,0,0,0,0,0,1,19,Road Facing Homes
regal treasure,ayodhya bypass,Flat,18.53,3369,3.0,South-West,1,1,2,550.0,0,0,0,0,0,0,0,35,Road Facing Homes
ab smart city phase 1,katara hills,House,136.94,6521,2.0,,4,3,2,2100.0,0,0,0,0,1,0,1,31,Road Facing Homes
bda colony,awadhpuri,House,35.0,7000,2.0,South-East,3,2,2,500.0,0,0,0,0,0,0,1,3,Road Facing Homes
raj harsh colony,gehu kheda,Flat,21.5,3071,2.0,East,2,2,2,700.0,0,0,0,0,0,0,1,0,Road Facing Homes
bagmugaliya,bagmugaliya,House,541.64,13541,2.0,East,5,5,3,4000.0,1,0,0,1,1,0,2,14,Green View Homes
indra nagar,bhopal,House,71.98,3999,3.0,East,10,4,2,1800.0,0,1,1,0,0,0,1,10,Road Facing Homes
mirchandani shalimar campus,bawadia kalan,Flat,32.0,4183,1.0,West,3,2,1,765.0,0,0,0,0,0,0,0,15,Green View Homes
berasia,karond,House,100.0,8000,,,7,7,0,1250.0,0,0,0,0,0,0,1,11,Road Facing Homes
shiva whispering woods,salaiya,Flat,44.99,4090,2.0,South-West,3,2,3,1100.0,0,0,0,0,0,0,1,25,Green View Homes
amra estate,gehu kheda,Flat,25.0,2500,4.0,West,3,2,1,1000.0,0,0,0,0,0,0,1,0,Green View Homes
fortune soumya tulip heights,kolar road,Flat,14.5,2290,0.0,,2,1,1,633.0,0,0,0,0,0,0,1,0,Road Facing Homes
bda swami vivekanand parisar,katara hills,Flat,13.5,3000,1.0,East,1,1,0,450.0,0,0,0,0,0,0,0,13,Green View Homes
citi vistaar,gehu kheda,House,47.0,7833,2.0,West,3,2,2,600.0,0,0,0,0,0,0,1,46,Green View Homes
ayodhya bypass,ayodhya bypass,House,320.0,8000,1.0,,6,5,0,4000.0,0,0,0,0,0,0,1,13,Green View Homes
kartik kasturi heights,navi bagh,Flat,24.99,2314,2.0,,2,2,3,1080.0,0,0,0,0,0,0,1,39,Green View Homes
gaurav nagar bairagarh chichli kolar road,gehu kheda,Flat,8.0,2272,3.0,,1,1,1,352.0,0,0,0,0,0,0,1,22,Road Facing Homes
fortune delight,hoshangabad road,House,134.93,11474,2.0,,4,3,2,1176.0,0,0,0,0,0,0,1,4,Green View Homes
lalita nagar,gehu kheda,House,364.56,5208,3.0,East,13,12,2,7000.0,1,1,0,1,1,0,1,21,Road Facing Homes
e 7 arera colony,arera colony,House,189.99,12666,,West,3,2,1,1500.0,0,0,0,0,0,0,1,4,Green View Homes
swastik grand,misrod,Flat,36.0,2500,6.0,,2,2,2,1440.0,0,0,0,0,0,0,1,0,Road Facing Homes
awadhpuri,awadhpuri,House,75.0,7500,2.0,,5,3,0,1000.0,0,0,0,0,0,0,1,23,Amenity Facing Homes
chanchal nagar sonagiri,piplani,House,58.0,5800,2.0,West,4,2,2,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
rudraksh kasturi,salaiya,Flat,35.29,2941,3.0,North,3,2,3,1200.0,0,0,0,0,0,0,1,65,Amenity Facing Homes
fortune delight,hoshangabad road,House,109.99,9166,2.0,North-East,3,3,2,1200.0,0,0,0,0,0,0,1,4,Green View Homes
bda complex,habib ganj,Flat,30.0,3000,2.0,,2,2,1,1000.0,0,0,0,0,0,0,0,16,Green View Homes
agrawal sagar lakeview homes,ayodhya bypass,Flat,32.49,3080,0.0,East,2,2,2,1055.0,0,0,0,0,0,0,1,93,Green View Homes
malik apartment,shahjahanabad,Flat,15.0,2727,1.0,East,2,1,0,550.0,0,0,0,0,0,0,1,7,Road Facing Homes
raj rishi parisar,central bhopal,Flat,85.0,11333,2.0,,3,1,0,750.0,0,0,0,0,0,0,0,0,Road Facing Homes
gharonda heights,khajuri kalan,Flat,30.0,3000,3.0,East,3,2,2,1000.0,0,0,0,0,0,0,1,41,Green View Homes
husna apartment,peer gate area,Flat,16.0,2667,0.0,,2,2,0,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
minal residency,ayodhya nagar,House,60.0,7500,2.0,West,3,3,1,800.0,0,0,0,0,0,0,1,0,Road Facing Homes
aakriti greens,salaiya,Flat,44.99,3157,5.0,South-West,3,2,2,1425.0,0,0,0,0,0,0,0,64,Green View Homes
trilanga,shahpura,House,299.98,14285,2.0,East,6,5,2,2100.0,0,0,0,1,0,0,2,10,Road Facing Homes
paras emperor phase 1,bawadia kalan,Flat,165.0,12692,11.0,,3,3,2,1300.0,0,0,0,0,0,0,1,38,Amenity Facing Homes
green heights,shahpura,Flat,78.0,6500,0.0,,3,3,0,1200.0,0,0,0,0,0,0,0,30,Road Facing Homes
mahendra city,arera colony,House,15.5,2583,1.0,,2,1,0,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
phase vi,ayodhya nagar,House,75.0,6818,2.0,East,3,3,2,1100.0,0,0,0,0,0,0,1,0,Road Facing Homes
amaltas ambreen homes,katara hills,Flat,19.35,3024,3.0,East,2,2,1,640.0,0,0,0,0,0,0,1,30,Green View Homes
bawadia kalan,bawadia kalan,House,159.99,10666,3.0,East,4,4,3,1500.0,1,1,0,1,0,0,1,12,Green View Homes
silver sand heights,peer gate area,Flat,27.0,4909,3.0,,2,2,1,550.0,0,0,0,0,0,0,1,0,Road Facing Homes
mahalaxmi awasiya parisar,bhopal,Flat,65.0,5909,10.0,North,3,3,2,1100.0,0,0,0,0,0,0,1,28,Green View Homes
amrit bindras pebble bay,bagmugaliya,House,231.41,9642,2.0,,3,4,1,2400.0,0,0,0,0,1,0,1,23,Amenity Facing Homes
amaltas westminster,ayodhya bypass,Flat,40.99,4270,1.0,,3,2,1,960.0,0,0,0,0,0,0,1,38,Amenity Facing Homes
aryavrat british park,hoshangabad road,Flat,45.56,3543,9.0,,3,3,3,1286.0,0,0,0,0,0,0,1,74,Road Facing Homes
karond chouraha,karond,House,104.99,3088,4.0,,5,10,3,3400.0,0,0,0,0,0,0,1,8,Road Facing Homes
karond,karond,House,26.24,2916,1.0,,3,2,0,900.0,0,0,0,0,0,0,1,4,Green View Homes
appartment girdhari,peer gate area,Flat,26.0,4000,2.0,,2,2,1,650.0,0,0,0,0,0,0,1,6,Road Facing Homes
fortune soumya heritage,misrod,Flat,16.0,2461,5.0,,2,1,1,650.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
aakriti greens,salaiya,Flat,28.0,3500,5.0,East,2,2,2,800.0,0,0,0,0,0,0,1,28,Amenity Facing Homes
signature business park,karond,House,29.7,4500,1.0,South-West,2,1,0,660.0,0,0,0,0,0,0,0,0,Road Facing Homes
bhavishya metro city,outside bhopal,House,25.0,2222,1.0,North,2,2,0,1125.0,0,0,0,0,1,0,1,4,Green View Homes
appartment,govindpura,Flat,8.0,2000,2.0,North,1,1,1,400.0,0,0,0,0,1,0,1,17,Green View Homes
madhuban heights,kolar road,Flat,45.0,3846,4.0,East,3,3,2,1170.0,0,0,0,0,0,0,0,65,Road Facing Homes
sundar nagar,ashoka garden,House,65.0,6500,2.0,North,7,5,1,1000.0,0,0,0,0,1,0,1,3,Road Facing Homes
neelbad,neelbad,House,120.0,5000,2.0,East,5,5,3,2400.0,0,0,0,0,0,0,1,13,Road Facing Homes
fortune acharya enclave,bawadia kalan,House,265.28,17005,2.0,East,4,3,2,1560.0,0,0,0,0,0,0,1,44,Amenity Facing Homes
shubhalay vihar,bawadia kalan,House,334.59,11153,1.0,South,4,5,2,3000.0,0,0,0,0,0,0,1,11,Green View Homes
chanchal nagar sonagiri,piplani,House,140.0,7000,2.0,,8,4,3,2000.0,1,0,1,0,0,0,1,0,Road Facing Homes
danish kunj,gehu kheda,House,399.98,11428,2.0,South-West,4,3,2,3500.0,0,0,0,0,0,0,1,24,Green View Homes
raja bhoj airport area,gandhinagar,House,156.38,7819,2.0,East,4,4,1,2000.0,0,0,0,0,0,0,1,32,Green View Homes
ibd hallmark city,mahawadiya,Flat,20.5,2562,3.0,East,3,2,3,800.0,0,0,0,0,0,0,1,24,Green View Homes
lala lajpat rai colony,aishbagh,House,150.0,10000,2.0,North-West,6,5,2,1500.0,1,1,0,0,0,0,1,6,Road Facing Homes
al-fiza tower,aishbagh,Flat,27.86,3714,2.0,,2,2,1,750.0,0,0,0,0,0,0,1,13,Road Facing Homes
paras hermitage,bagmugaliya,Flat,95.0,10555,1.0,,3,3,2,900.0,0,0,0,0,0,0,2,50,Road Facing Homes
saket nagar,habib ganj,House,148.99,12416,3.0,North,9,8,3,1200.0,0,0,0,0,0,0,1,12,Road Facing Homes
shankracharya nagar,aishbagh,House,53.0,3533,3.0,,2,2,1,1500.0,0,0,0,0,0,0,1,0,Green View Homes
sage milestone,mandideep,House,94.5,5250,2.0,North,3,3,1,1800.0,0,0,0,0,0,0,0,99,Green View Homes
girnar valley,ayodhya bypass,Flat,25.0,2958,4.0,North,2,2,1,845.0,0,0,0,0,0,0,1,21,Road Facing Homes
mp nagar,central bhopal,House,780.0,26000,2.0,West,3,2,2,3000.0,1,0,0,0,1,0,1,12,Green View Homes
imperial heights,shahjahanabad,Flat,24.99,3328,3.0,North,2,2,1,751.0,0,0,0,0,0,0,1,32,Road Facing Homes
chuna bhatti,chuna bhatti,House,699.97,16666,2.0,,5,5,3,4200.0,1,1,1,0,0,0,0,10,Road Facing Homes
khajoori sadak,bhopal,House,36.0,2000,2.0,East,3,3,3,1800.0,0,0,0,0,0,0,1,0,Road Facing Homes
ankur complex,central bhopal,Flat,36.62,4636,4.0,North,2,2,2,790.0,0,0,0,0,0,0,1,30,Green View Homes
danish hills view,kolar road,Flat,174.98,5468,4.0,East,5,5,3,3200.0,1,1,0,1,0,0,1,35,Green View Homes
sarc pacific blue,hoshangabad road,Flat,34.99,4117,6.0,North,2,2,1,850.0,0,0,0,0,0,0,1,102,Amenity Facing Homes
mp nagar,central bhopal,House,264.0,24000,1.0,North,3,3,2,1100.0,0,0,0,0,1,0,1,8,Road Facing Homes
bhagwan enclave phase 2,aishbagh,Flat,25.0,5555,3.0,East,2,2,1,450.0,0,0,0,0,0,0,1,5,Road Facing Homes
agrawal sagar eden garden,bagmugaliya,Flat,53.0,4015,1.0,East,3,3,2,1320.0,0,0,0,0,0,1,0,132,Amenity Facing Homes
shahpura,shahpura,House,437.5,8750,3.0,South,8,6,2,5000.0,1,0,0,1,1,0,1,9,Green View Homes
shiva apartment,arera colony,Flat,18.99,3453,1.0,North,2,2,1,550.0,0,0,0,0,0,0,0,5,Road Facing Homes
agrawal sagar premium towers,shirdipuram,Flat,24.48,2880,5.0,,2,2,2,850.0,0,0,0,0,0,0,1,61,Green View Homes
archana balaji towers,patel nagar,Flat,18.75,2500,1.0,,2,2,2,750.0,0,0,0,0,0,0,1,11,Road Facing Homes
vimla impireal,misrod,Flat,42.99,4777,2.0,North,3,2,2,900.0,0,0,0,0,0,0,0,22,Road Facing Homes
idgah hills,shahjahanabad,House,350.0,8750,3.0,,6,4,0,4000.0,0,0,0,0,0,0,1,22,Green View Homes
shri parasnath himanshu greens,awadhpuri,House,13.0,3611,1.0,East,1,1,2,360.0,0,0,0,0,0,0,1,30,Green View Homes
sagar avenue,ayodhya nagar,House,84.99,6538,1.0,,3,2,1,1300.0,0,0,0,0,0,0,1,68,Road Facing Homes
ivory-11,shahjahanabad,Flat,45.0,5000,2.0,,3,2,1,900.0,0,0,0,0,0,0,0,9,Road Facing Homes
windsor aralia,kolar road,Flat,35.71,2976,2.0,,3,3,2,1200.0,0,0,0,0,0,0,0,32,Premium Scenic Homes
nagar nigam colony,bhopal,House,210.0,6000,2.0,North,8,8,3,3500.0,1,1,0,1,1,0,1,4,Green View Homes
chuna bhatti,chuna bhatti,House,125.0,8333,2.0,,4,4,3,1500.0,0,0,0,0,0,0,1,20,Road Facing Homes
kolar road,kolar road,House,1512.0,84000,2.0,West,3,3,3,1800.0,0,0,0,0,1,0,1,79,Road Facing Homes
sarvadharm colony,kolar road,Flat,24.97,2774,3.0,East,1,2,1,900.0,0,0,0,0,0,0,1,32,Green View Homes
rachna nagar,govindpura,House,425.0,12500,2.0,West,4,4,2,3400.0,0,0,0,0,0,0,0,9,Road Facing Homes
rajved colony,kolar road,House,39.49,3038,2.0,East,3,3,2,1300.0,0,0,0,0,0,0,0,37,Road Facing Homes
fortune landmark,bawadia kalan,House,77.26,8585,2.0,,3,3,2,900.0,0,0,0,0,0,0,1,3,Green View Homes
shahpura,shahpura,House,270.0,11250,2.0,West,3,3,2,2400.0,0,0,0,0,1,0,1,34,Green View Homes
khajuri kalan,khajuri kalan,House,25.0,4166,1.0,,2,1,0,600.0,0,0,0,0,0,0,1,3,Road Facing Homes
shri balaji galaxy city,awadhpuri,House,133.12,9375,1.0,,3,3,1,1420.0,0,0,0,0,0,0,1,51,Amenity Facing Homes
tilak nagar bawadiya kalan,bawadia kalan,House,285.0,6224,3.0,,6,7,2,4579.0,0,0,0,0,0,0,1,30,Road Facing Homes
soumya evergreen,gehu kheda,Flat,18.0,2769,3.0,,2,2,1,650.0,0,0,0,0,0,0,1,30,Road Facing Homes
mirchandani shalimar fortleza,hoshangabad road,House,114.98,6388,17.0,,3,3,1,1800.0,0,0,0,0,1,0,0,13,Premium Scenic Homes
siddharth tower,kolar road,Flat,20.0,3333,5.0,West,2,2,3,600.0,0,0,0,0,0,0,1,19,Green View Homes
golden valley heights,gehu kheda,Flat,42.0,3500,2.0,,3,3,3,1200.0,0,0,0,0,0,0,0,0,Road Facing Homes
harshavardhan nagar,central bhopal,House,272.2,7777,2.0,South-East,9,6,2,3500.0,1,1,0,1,0,0,0,18,Road Facing Homes
bm coral casa,karond,Flat,34.0,3238,6.0,,3,2,1,1050.0,0,0,0,0,0,0,1,0,Green View Homes
dk bridge tower,lalgathi,Flat,48.0,3692,5.0,,3,2,2,1300.0,0,0,0,0,0,0,1,12,Road Facing Homes
fortune soumya heritage,misrod,Flat,24.3,3000,2.0,,3,2,1,810.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
lakhumal nikhil nestles,hoshangabad road,Flat,30.46,2769,5.0,South,3,3,2,1100.0,0,0,0,0,0,1,0,64,Road Facing Homes
agrawal sagar lakeview homes,ayodhya bypass,Flat,30.0,6000,2.0,,2,2,3,500.0,0,0,0,0,0,0,1,49,Green View Homes
nirupam royal palms,hoshangabad road,Flat,20.11,2682,1.0,East,3,2,2,750.0,0,0,0,0,0,0,1,43,Amenity Facing Homes
raj minal residency,ayodhya bypass,Flat,17.2,4300,0.0,West,1,1,0,400.0,0,0,0,0,0,0,1,25,Road Facing Homes
indus towne,misrod,House,40.0,6666,2.0,,5,3,1,600.0,0,0,0,0,0,0,1,3,Road Facing Homes
kolar road,kolar road,House,78.75,5625,2.0,West,3,3,1,1400.0,0,0,0,0,1,0,1,34,Premium Scenic Homes
bawadia kalan,bawadia kalan,House,60.0,6000,2.0,,3,2,2,1000.0,0,0,0,0,0,0,1,12,Green View Homes
bilal complex apartments,kolar road,Flat,30.0,3588,3.0,East,2,2,1,836.0,1,0,0,0,0,0,2,3,Road Facing Homes
fortune glory extension 2,bawadia kalan,House,115.54,8888,2.0,,4,4,2,1300.0,0,0,0,1,1,0,1,11,Road Facing Homes
yashoda disire,bagmugaliya,Flat,41.33,3757,3.0,North,3,3,2,1100.0,0,0,0,0,0,0,0,19,Green View Homes
kashi vishwanath,piplani,House,349.99,14583,3.0,,5,3,2,2400.0,0,0,0,0,0,0,1,0,Road Facing Homes
the prospera,bagmugaliya,Flat,55.0,4074,5.0,,3,2,1,1350.0,0,0,0,0,0,0,1,0,Road Facing Homes
dk rose,shahpura,Flat,30.0,4285,1.0,West,2,2,1,700.0,0,0,0,0,0,0,1,15,Road Facing Homes
aakar canal kinship,bawadia kalan,Flat,22.19,4109,4.0,North,2,1,1,540.0,0,0,0,0,0,0,0,37,Road Facing Homes
signature 360,katara hills,House,72.99,7934,2.0,West,3,3,1,920.0,0,0,0,0,0,0,1,34,Amenity Facing Homes
agrawal sagar green hills,kolar road,Flat,48.17,4189,1.0,East,3,3,3,1150.0,0,0,0,0,0,0,0,49,Road Facing Homes
agrawal sagar golden palm,katara hills,Flat,20.0,2000,5.0,East,2,2,2,1000.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
signature residency,shirdipuram,Flat,65.0,5225,3.0,East,3,3,2,1244.0,0,0,0,0,0,0,1,83,Amenity Facing Homes
ayodhya bypass rajeev nagar sector b,bhopal,House,22.0,5500,2.0,,3,2,1,400.0,0,0,0,0,0,0,0,3,Road Facing Homes
balaji tower kolar eoad,kolar road,Flat,20.0,2928,3.0,,2,2,2,683.0,0,0,0,0,0,0,1,18,Road Facing Homes
mp housing park colony,karond,House,39.99,4634,2.0,North,4,2,2,863.0,0,0,0,0,0,0,1,2,Green View Homes
danish kunj,gehu kheda,House,120.0,8000,2.0,,4,4,1,1500.0,0,0,0,0,0,0,1,24,Green View Homes
agrawal sagar golden palm,katara hills,Flat,39.99,6153,4.0,,2,2,0,650.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
