pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Property Age,furnishing,features,ratings,Facing,Possession in
"3 BHK Flat in Kohefiza, Bhopal",A and A Regalia Heights,₹50 Lac,"₹5,000 /sqft",Ready To Move,Looking for sale well maintained property,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 50 Lac
@ 5,000 per sq.ft. (Negotiable)","A and A Regalia Heights
Kohefiza, Bhopal",1st   of 5 Floors,Park/Garden,5 to 10 Year Old,"['1 Bed', '2 Fan', '1 Exhaust Fan', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,
"3 BHK Flat in Jatkhedi, Bhopal",AP Park Avenue,₹42 Lac,"₹2,796 /sqft",Ready To Move,"Well maintained , spacious , near ashima mall, semi furnished, modular kitchen","Built Up area: 1502
(139.54 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 42 Lac
@ 2,796 per sq.ft. (Negotiable)","AP Park Avenue
Jatkhedi, Bhopal",1st   of 4 Floors,,1 to 5 Year Old,"['1 Wardrobe', '4 Fan', '2 Geyser', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",[],,
"3 BHK Flat in Hoshangabad Road, Bhopal",Fortune Kasturi,₹60 Lac,"₹5,796 /sqft",Ready To Move,Ready to move in 3 bhk with 2 large balconies and wash area 2 bathrooms Modular kitchen with electric chinney and ro Puja sthal 1035.11 sq. Ft. 4th floor Front facing Excellent condition,"Built Up area: 1035.11
(96.16 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room,Study Room,Store Room","₹ 60 Lac+ Govt Charges & Tax
@ 5,796 per sq.ft. (All inclusive, Negotiable)","Fortune Kasturi
Hoshangabad Road, Bhopal",4th   of 6 Floors,"Pool,Park/Garden,Club,Main Road",5 to 10 Year Old    View Construction Status,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '7 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Power Back-up', 'Private Garden / Terrace', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"1 BHK Flat in Bypass Road, Bhopal",bhuvi madhurban phase 1,₹26 Lac,"₹4,333 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in bhuvi madhurban phase 1, bypass road, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 600 sq.Ft. . It has 1 bathroom(s). The ownership is freehold type.","Super Built up area 600
(55.74 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 26 Lac
@ 4,333 per sq.ft.","bhuvi madhurban phase 1
Bypass Road, Bhopal",1st   of 4 Floors,"Park/Garden,Club,Main Road",5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Park', 'Visitor Parking']",[],North,
"2 BHK Flat in Sarvadharam C Sector, Bhopal",Vaibhav apartment,₹12 Lac,"₹2,000 /sqft",Ready To Move,Prime location and best area. It is 2 bedroom apartment mostly for small family.,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 12 Lac
@ 2,000 per sq.ft.","Vaibhav apartment
Sarvadharam C Sector, Bhopal",4th   of 4 Floors,,10+ Year Old,[],[],[],,
"2 BHK Flat in Khajuri Kalan , Bhopal",Essarjee Sampada,₹17 Lac,"₹2,266 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in essarjee sampada, khajuri kalan , bhopal. This it is a and the unit is located on 5th floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 17 Lac
@ 2,266 per sq.ft.","Essarjee Sampada
Khajuri Kalan , Bhopal",5th   of 5 Floors,"Park/Garden,Club,Main Road",1 to 5 Year Old    View Construction Status,[],"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"1 BHK Flat in Lumbini complex, Mata Mandir, Bhopal",LIG-176,₹12 Lac,"₹2,000 /sqft",Ready To Move,"Located at center of bhopal, mata mandir, lumbhini complex, close to school & hospital","Carpet area: 600
(55.74 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 12 Lac+ Govt Charges & Tax
@ 2,000 per sq.ft. (Negotiable)","LIG-176
Lumbini complex, Mata Mandir, Bhopal",Ground of 0 Floors,,1 to 5 Year Old,[],"['Water Storage', 'Park', 'Visitor Parking']",[],,
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹25 Lac,"₹2,325 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in ibd hallmark citii, mahawadiya, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 1075 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1075
(99.87 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 25 Lac
@ 2,325 per sq.ft.","IBD Hallmark Citii
Mahawadiya, Bhopal",Ground of 4 Floors,Park/Garden,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"2 BHK Flat in Bhanpur, Bhopal",Bhanpur Height,₹32 Lac,"₹4,475 /sqft",Ready To Move,"Cctv ,covered campus, fully furnished,2 lift,near bus stand, railway station, hospital, collage, school","Carpet area: 715
(66.43 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 32 Lac+ Govt Charges & Tax
@ 4,475 per sq.ft.","Bhanpur Height
Bhanpur, Bhopal",3rd   of 9 Floors,"Park/Garden,Main Road",1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Peer Gate Area, Bhopal",Kidwai Manzil,₹16.53 Lac,"₹2,543 /sqft",Ready To Move,"2 bhk flat husna tower near al rashid hospital Noormahal road , main road se 50 mtr under 2 wheeler parking","Super Built up area 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 16.53 Lac
@ 2,543 per sq.ft. (Negotiable)","Kidwai Manzil
Peer Gate Area, Bhopal",1st   of 4 Floors,,5 to 10 Year Old,[],"['Lift(s)', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹35 Lac,"₹2,800 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in fortune soumya heritage, one of the most prominent projects for flats in misrod, bhopal. The flat is over 1250 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. This flat is situated on the 5th floor of this 6 floors tall residential building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The society is well equipped with many modern amenities, including swimming pool, water softening plant, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, lift(s) and visitor parking.","Super Built up area 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac+ Govt Charges & Tax
@ 2,800 per sq.ft. (Negotiable)","Fortune Soumya Heritage
Misrod, Bhopal",5th   of 6 Floors,,5 to 10 Year Old    View Construction Status,"['3 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Shahpura, Bhopal",Green Heights,₹78 Lac,"₹6,500 /sqft",Ready To Move,"Looking for a good 3 bhk apartment in gulmohar colony, bhopal? This property is in one of bhopals most popular locations. This is a no brokerage property. This apartment is available for rs 78.0 l. This modern unit has a built-Up area of 1200 square_feet. There are 3 bedrooms and 3 bathroom. It is very close to some of citys best hospitals, such as, bisoniya hospital cosmetic and plastic surgery, jaanki hospital, modi clinic dr sumil gupta (Paeds), dr rachna (Psychiatrist) green heights campus, bawadiya kalan, bhopal","Built Up area: 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 78 Lac
@ 6,500 per sq.ft.","Green Heights
Shahpura, Bhopal",Ground of 1 Floors,,0 to 1 Year Old,"['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Ibrahimpura, Bhopal",Madina Trade Center,₹15 Lac,"₹2,500 /sqft",Ready To Move,Nice property located at main market (Chowk bazar) of bhopal.,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 15 Lac
@ 2,500 per sq.ft. (Negotiable)","Madina Trade Center
Ibrahimpura, Bhopal",1st   of 4 Floors,,10+ Year Old,[],[],[],,
"3 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹55 Lac,"₹4,077 /sqft",Ready To Move,Excellent place and environment,"Carpet area: 1349
(125.33 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 55 Lac
@ 4,077 per sq.ft.","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",6th   of 6 Floors,"Club,Main Road",1 to 5 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '7 Light', '1 TV', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"3 BHK Flat in Jatkhedi, Bhopal",Shri Balaji Swastik Grand,₹37.8 Lac,"₹1,955 /sqft",Ready To Move,The property is located at very prime location of bhopal in hoshangabad road,"Super Built up area 1933
(179.58 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1450 sq.ft. (134.71 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 2 Balconies with Servant Room,Store Room","₹ 37.8 Lac+ Govt Charges & Tax
@ 1,955 per sq.ft. (Negotiable) View Price Details","Shri Balaji Swastik Grand
Jatkhedi, Bhopal",6th   of 7 Floors,Main Road,1 to 5 Year Old,"['2 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",[],East,
