pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"2 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹38 Lac,"₹3,838 /sqft",Ready To Move,"Presenting a well-Designed 2bhk flat for sale in the serene and well-Connected locality of coral woods, hoshangabad road. This spacious flat offers a carpet area of 735 sq.Ft. And a super built-Up area of 990 sq.Ft., providing ample space for comfortable living. Priced attractively at 38,00,000, this property is ideal for small families or individuals looking for a peaceful yet well-Connected home. With modern architecture, secure surroundings, and easy access to schools, markets, and transportation, this is a great opportunity for both end-Users and investors.","Super Built up area 990
(91.97 sq.m.)
Carpet area: 735 sq.ft. (68.28 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 38 Lac
@ 3,838 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",5th   of 6 Floors,,,1 to 5 Year Old    View Construction Status,"['4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Salaiya, Bhopal",Rudraksh Kasturi,₹60 Lac,"₹3,428 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in salaiya is available for sale in one of bhopal's most popular projects, rudraksh kasturi. This is a east-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1750 sq.Ft. This flat is situated on the 1st floor of this 10 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The floor of this flat is beautifully designed using marble flooring, giving the flat an alluring look. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park and lift(s), will provide a pleasant living experience for you.","Super Built up area 1750
(162.58 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies
View Floor Plan","₹ 60 Lac
@ 3,428 per sq.ft. (Negotiable) View Price Details","Rudraksh Kasturi
Salaiya, Bhopal",1st   of 10 Floors,East,"Park/Garden,Club",1 to 5 Year Old,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bawadia Kalan, Bhopal",Shaligram Rudraksh Park phase 2,₹72 Lac,"₹4,000 /sqft",Ready To Move,"This 3 bhk flat for sale in bhopal at bawadia kalan offers a fantastic living experience on the 6th floor of a well-Maintained building. Enjoy 1800 sq ft of well-Designed space with three bedrooms. The flat features a spacious living area with large windows, a modern kitchen and two balconies with beautiful views & reserved parking Call: Re/max","Carpet area: 1800
(167.23 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 72 Lac
@ 4,000 per sq.ft. (Negotiable) View Price Details","Shaligram Rudraksh Park phase 2
Bawadia Kalan, Bhopal",6th   of 7 Floors,East,"Park/Garden,Club",1 to 5 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bawadia Kalan, Bhopal",Paras Emperor Phase 1,₹1.75 Cr,"₹9,259 /sqft",Ready To Move,"This 3 bhk flat is located in paras emperor phase 1, which houses some of the most spacious flats in bawadia kalan, bhopal. This residential flat is east-Facing direction. Constructed on a super built up area of 1890 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The property is located on the 9th floor of a 16 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move. The flat comes well built with marble flooring options. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park and lift(s), will provide a pleasant living experience for you.","Super Built up area 1890
(175.59 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 1.75 Crore
@ 9,259 per sq.ft. (Negotiable) View Price Details","Paras Emperor Phase 1
Bawadia Kalan, Bhopal",9th   of 16 Floors,East,"Club,Park/Garden,Pool,Main Road",1 to 5 Year Old    View Construction Status,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bawadia Kalan, Bhopal",Prakrati Eden and Elite,₹62 Lac,"₹4,460 /sqft",Ready To Move,"Situated in bawadia kalan, bhopal, prakrati eden and elite is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. This is a east-Facing property. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1390 sq.Ft. This flat lies on the 3rd level of a 7 storey building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with marble flooring options. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, club house / community center, park and lift(s).","Super Built up area 1390
(129.14 sq.m.)
Built Up area: 1030 sq.ft. (95.69 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 62 Lac
@ 4,460 per sq.ft. (Negotiable) View Price Details","Prakrati Eden and Elite
Bawadia Kalan, Bhopal",3rd   of 7 Floors,East,,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Misrod, Bhopal",RSR Opel Orris,₹32 Lac,"₹3,131 /sqft",Ready To Move,"Property highlights: Location: 80 ft road, near rukmanidevi college Configuration: 3 bhk flats Super built-Up area: 1500 sq.Ft. | carpet area: 1022 sq.Ft. Floors available: 1st, 3rd, and 7th G+10 apartment building Dedicated parking: Ground and first floor Modern amenities: Fully-Equipped with lifestyle comforts All flats are corner flats for better ventilation and natural light Covered campus ensuring security and a peaceful environment","Super Built up area 1500
(139.35 sq.m.)
Carpet area: 1022 sq.ft. (94.95 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 32 Lac
@ 3,131 per sq.ft. View Price Details","RSR Opel Orris
Misrod, Bhopal",1st   of 8 Floors,East,"Pool,Park/Garden,Club,Main Road",0 to 1 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Misrod, Bhopal",Shrinath Sheetal Heights,₹35 Lac,"₹2,916 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in shrinath sheetal heights, a popular residential project that houses in-Demand flats in misrod, bhopal. The flat is facing the north direction. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1200 sq.Ft. The property is located on the 1st floor of a 7 floors tall building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The well built vitrified flooring enhances the aesthetic appeal of this flat. Another plus point for this is that it is situated near close to market and close to school. Shrinath sheetal heights is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, club house / community center, park, cctv surveillance, lift(s), security personnel, maintenance staff and visitor parking. The residents of this project enjoy a 24*7 access to clean water.","Super Built up area 1200
(111.48 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 35 Lac
@ 2,916 per sq.ft. View Price Details","Shrinath Sheetal Heights
Misrod, Bhopal",1st   of 7 Floors,North,,5 to 10 Year Old,"['4 Fan', '1 Exhaust Fan', '4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Trilanga, Bhopal",DK Rose,₹30 Lac,"₹4,285 /sqft",Ready To Move,"This lovely 2 bhk apartment/flat in trilanga is available for sale in one of bhopal's most popular projects, dk rose. The flat is facing the west direction. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 700 sq.Ft. This flat lies on the 1st level of a 3 storey building. This is a ready to move project and the property is 10+ years old. The floor of this flat is beautifully designed using ceramic flooring, giving the flat an alluring look. Another plus point for this is that it is situated near close to market, close to school and close to hospital. The society is well equipped with many modern amenities, including visitor parking, lift(s) and park.","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac
@ 4,285 per sq.ft. View Price Details","DK Rose
Trilanga, Bhopal",1st   of 3 Floors,West,,10+ Year Old,[],"['Lift(s)', 'Park', 'Visitor Parking']",[],
"2 BHK Flat in Bawadia Kalan, Bhopal",Nikhil Bunglows Phase 3,₹38 Lac,"₹5,066 /sqft",Ready To Move,"Looking for a 2 bhk property for sale in bhopal? Buy this 2 bhk flat in nikhil bunglows phase 3 that is situated in bawadia kalan, bhopal. The flat is west-Facing. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 750 sq.Ft. The property is located on the top floor of a 2 floors tall building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The beautifully designed vitrified flooring enhances the beauty of the flat. This flat is located near close to market, close to school and close to hospital. The society is well equipped with many modern amenities, including maintenance staff, visitor parking and park. The residents of this project enjoy a 24*7 access to clean water.","Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 38 Lac
@ 5,066 per sq.ft. (Negotiable) View Price Details","Nikhil Bunglows Phase 3
Bawadia Kalan, Bhopal",2nd   of 2 Floors,West,Others,5 to 10 Year Old,"['1 Water Purifier', '1 Fridge', '5 Fan', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '5 Light', '1 Chimney', '1 Modular Kitchen', '1 TV', '1 AC', '1 Curtains', '2 Wardrobe', '2 Bed', '1 Sofa', '1 Washing Machine', 'No Microwave']","['Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Misrod, Bhopal",vimla impireal,₹43 Lac,"₹4,777 /sqft",Ready To Move,"Located in the popular residential address of misrod, bhopal, vimla impireal is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. The flat is facing the north direction. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 900 sq.Ft. This flat lies on the 2nd level of a 5 storey building. This is a ready to move project and the property is 1-5 years old. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. The society complex is in the close vicinity of close to school, close to hospital and close to market, making it an ideal home for a relaxed lifestyle. Many of the modern amenities being offered, like maintenance staff, visitor parking, park and lift(s), will provide a pleasant living experience for you. The housing society ensures a continuous supply of water to your flat from borewell/tank.","Carpet area: 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 43 Lac
@ 4,777 per sq.ft. View Price Details","vimla impireal
Misrod, Bhopal",2nd   of 5 Floors,North,,1 to 5 Year Old,"['4 Fan', '1 Exhaust Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bagmugaliya, Bhopal",Amaltas Prospera,₹40 Lac,"₹4,000 /sqft",Ready To Move,"Amaltas prospera is one of bhopal's most sought after destination for apartments and this 3 bhk flat in bagmugaliya is your opportunity to be a part of this community. The flat is facing the east direction. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 1000 sq.Ft. The flat has a total of 6 floors and this property is situated on 2nd floor. This is a ready to move project and the property is 1-5 years old. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Another plus point for this is that it is situated near close to market, close to school and close to hospital. Amaltas prospera is designed very well to provide modern facilities such as maintenance staff, visitor parking, park and lift(s). The housing society ensures a continuous supply of water to your flat from borewell/tank.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 4,000 per sq.ft. View Price Details","Amaltas Prospera
Bagmugaliya, Bhopal",2nd   of 6 Floors,East,Park/Garden,1 to 5 Year Old,"['4 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bagmugaliya, Bhopal",GN TOWER,₹45 Lac,"₹4,500 /sqft",Ready To Move,"Gn tower is one of the most popular destination for buying apartments/ flats in bagmugaliya, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. This is a north-Facing property. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a built up area of 1000 sq.Ft. This flat lies on the 2nd level of a 3 storey building. This 5-10 years old property is available for immediate possession as the project is ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. This flat is located near close to market, close to school and close to hospital. An uninterrupted supply of clean water provides a hassle-Free experience for the residents.","Built Up area: 1000
(92.9 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac
@ 4,500 per sq.ft. View Price Details","GN TOWER
Bagmugaliya, Bhopal",2nd   of 3 Floors,North,Main Road,5 to 10 Year Old,"['1 Water Purifier', '1 Fridge', '5 Fan', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '5 Light', '1 TV', '1 Chimney', '1 Curtains', '1 Modular Kitchen', '1 AC', '2 Wardrobe', '2 Bed', '1 Sofa', '1 Microwave', '1 Washing Machine']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Parthsarthy Enclave, Bhopal",Landmark The Prospera,₹42 Lac,"₹4,666 /sqft",Ready To Move,"Located in the popular residential address of parthsarthy enclave, bhopal, landmark the prospera is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. This residential flat is east-Facing direction. Constructed on a built up area of 1200 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 2 balconies. This flat lies on the 4th level of a 7 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move. The well built vitrified flooring enhances the aesthetic appeal of this flat. The society complex is in the close vicinity of close to hospital, close to market and close to school, making it an ideal home for a relaxed lifestyle. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park, cctv surveillance and lift(s), will provide a pleasant living experience for you. The project provides access to clean water through borewell/tank supply.","Built Up area: 1200
(111.48 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 42 Lac
@ 4,666 per sq.ft. View Price Details","Landmark The Prospera
Parthsarthy Enclave, Bhopal",4th   of 7 Floors,East,Park/Garden,1 to 5 Year Old,"['5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",[],
"2 BHK Flat in Katara, Bhopal",Spring Valley,₹19 Lac,"₹2,533 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 750 Selling price- 19 lac. Accommodation 2 bedroom, d/d, kitchen, 1 balcony Toilets 2 toilet (1 attached) Floor 1st floor Furnishing status modular kitchen Feature covered campus, garden, campus on city bus route, Aiims bhopal 5.5 km Ashima mall 7 km Rani kamlapati railway station 8.5 km Brokerage percentage 2% Location spring valley Locality katara hills Property code -18 Loan facility available Note: For more properties you can see our whatsapp catalogue","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 19 Lac
@ 2,533 per sq.ft. View Price Details","Spring Valley
Katara, Bhopal",1st   of 2 Floors,North,Others,10+ Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Visitor Parking'],[],
"3 BHK Flat in Kolar Road, Bhopal",Aadhhaar Symphony,₹42 Lac,"₹2,470 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 1700 sq.Ft. Selling price- 42 lac. Accommodation 3 bedroom, d/d, kitchen , 3 balcony , Toilets 3 toilet Floor 5th & 7th floor Furnishing status un-Furnished J.K. Hospital 7.8 km D-Mart kolar -4.3 km Rani kamlapati railway station 13.6 km Isbt bus stand -13.6 km Brokerage percentage 2% Location aadhar symphony Locality kolar road Property code -172 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1700
(157.94 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 42 Lac+ Govt Charges & Tax
@ 2,470 per sq.ft. (All inclusive) View Price Details","Aadhhaar Symphony
Kolar Road, Bhopal",5th   of 10 Floors,,Others,1 to 5 Year Old,[],"['Lift(s)', 'Park', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Hoshangabad Road, Bhopal",Fortune Kasturi,₹35 Lac,"₹3,089 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 1150 sq.Ft. Selling price- 35 lac. Accommodation 2 bedroom, d/d, kitchen , 2 balcony Toilets 2 toilet Floor 2nd floor Furnishing status semi-Furnished Feature covered campus Shani mandir 2 km Noble hospital -3.3 km Capital mall 3 km D-Mart -3.6 km Rani kamlapati railway station 8 km Isbt bus stand -8 km Brokerage percentage 2% Location fortune kasturi Locality jatkhedi ,hoshangabad road Property code -115 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1133
(105.26 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,089 per sq.ft. View Price Details","Fortune Kasturi
Hoshangabad Road, Bhopal",2nd   of 6 Floors,North,,5 to 10 Year Old    View Construction Status,"['2 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Govindpura, Bhopal",Simran Residency,₹31.5 Lac,"₹3,539 /sqft",Ready To Move,"The property is located at very prime location of bhopal in punjabi bagh, govindpura, bhopal , near to metro station, school, hospital","Super Built up area 1100
(102.19 sq.m.)
Built Up area: 950 sq.ft. (88.26 sq.m.)
Carpet area: 890 sq.ft. (82.68 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Store Room","₹ 31.5 Lac+ Govt Charges & Tax
@ 3,539 per sq.ft. (Negotiable) View Price Details","Simran Residency
Govindpura, Bhopal",2nd   of 3 Floors,East,Main Road,5 to 10 Year Old,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bagmugaliya, Bhopal",MPHID Dwarika Parisar,₹58 Lac,"₹4,157 /sqft",Ready To Move,"Located in the popular residential address of bagmugaliya, bhopal, mphid dwarika parisar is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. This property faces the north direction. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 1395 sq.Ft. This flat lies on the 4th level of a 6 storey building. This is a ready to move project and the property is 1-5 years old. The well built vitrified flooring enhances the aesthetic appeal of this flat. Another plus point for this is that it is situated near close to school and close to hospital. Mphid dwarika parisar is designed very well to provide modern facilities such as maintenance staff, park, lift(s) and visitor parking. Municipal corporation provides a regular supply of water to this residential project.","Carpet area: 1395
(129.6 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 58 Lac
@ 4,157 per sq.ft. View Price Details","MPHID Dwarika Parisar
Bagmugaliya, Bhopal",4th   of 6 Floors,North,Park/Garden,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Kolar Road, Bhopal",Covered Campus,₹16 Lac,"₹2,051 /sqft",Ready To Move,"Looking for a 2 bhk property for sale in bhopal? Buy this 2 bhk flat in covered campus that is situated in kolar road, bhopal. The flat is north-East-Facing. Constructed on a carpet area of 780 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 11 floors and this property is situated on 5th floor. As the project is already ready to move, so you can easily move into this 0-1 year old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Many of the modern amenities being offered, like lift(s), maintenance staff, visitor parking, security personnel and club house / community center, will provide a pleasant living experience for you. The residents of this project enjoy a 24*7 access to clean water.","Carpet area: 780
(72.46 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 16 Lac+ Govt Charges & Tax
@ 2,051 per sq.ft.","Covered Campus
Kolar Road, Bhopal",5th   of 11 Floors,North-East,Main Road,0 to 1 Year Old,"['1 Wardrobe', '1 Water Purifier', '2 Fan', '1 Exhaust Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Club house / Community Center', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Katara Hills, Bhopal",Sterling Pride City,₹18 Lac,"₹2,769 /sqft",Ready To Move,"This 2 bhk flat is located in sterling pride city, which houses some of the most spacious flats in katara hills, bhopal. The flat is west-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 650 sq.Ft. The residential building has 7 floors in total and the flat for sale is located on the 4th floor. This is a ready to move project and the property is 1-5 years old. The marble flooring of this flat is beautifully designed and helps to give it a pleasing look. Many of the modern amenities being offered, like fitness centre / gym, club house / community center, park, cctv surveillance, lift(s), maintenance staff and visitor parking, will provide a pleasant living experience for you. Municipal corporation provides a regular supply of water to this residential project.","Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 18 Lac
@ 2,769 per sq.ft. (Negotiable) View Price Details","Sterling Pride City
Katara Hills, Bhopal",4th   of 7 Floors,West,"Park/Garden,Main Road,Club",1 to 5 Year Old    View Construction Status,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
